pollinator,rank,notes
Bombus terrestris terrestris,species,
Diptera sp1,morphospecies,
Eristalinus taeniops,species,
Lepidoptera sp1,morphospecies,
Diptera sp2,morphospecies,
Diptera sp3,morphospecies,
Diptera sp4,morphospecies,
Wild bee sp1,morphospecies,
Eristalis sp1,morphospecies,
Sphaerophoria rueppellii,species,
Sphaerophoria sp1,morphospecies,
Beetle sp1,morphospecies,
Trigona (Lepidotrigona) terminata,species,
"Trigona (Heterotrigona, Sulawesi) sp. 1",morphospecies,
Trigona (Sulawesi) sp.,genus,
"Trigona (Heterotrigona, Sulawesi) sp. 2",morphospecies,
Apis cerana,species,
Apis nigrocinta binghami,species,
Apis dorsata,species,
Heriades (Sulawesi) sp. 1,morphospecies,
Xylocopa (Zonohirsuta) dejeanii,species,
Xylocopa (Koptortosoma) smithii,species,
Xylocopa (Koptortosoma) aestuans,species,
Amegilla whiteheadi,species,
Amegilla (Sulawesi) sp. aff. samarensis,species,
Heriades (Sulawesi) sp. 2,morphospecies,
"Patellapis (Pachyhalictus, Sulawesi) sp.",genus,
Creightonella frontalis atrata,species,
Chalicodoma (Eumegachinana) tub. tuberculatum,species,
Chalicodoma (Callomegachile) terminale,species,
Paracella (Sulawesi) sp. 1,morphospecies,
Torridapis ducalis,species,
Megachile (Sulawesi) sp. aff. bakeri,morphospecies,
Paracella (Sulawesi) sp. 2,morphospecies,
Coelioxys smithii,species,
Nomia (Thoraconomia) thoracica,species,
Ceratina (Ceratinidia) rugifrons,species,
Lipotriches (Sulawesi) sp.,genus,
Halictidae (Sulawesi) sp. 21,morphospecies,
Halictidae (Sulawesi) sp. 22,morphospecies,
Thyreus nitidus quartinae,species,
Amegilla (Sulawesi) sp. zonata-group,morphospecies,
Chalicodoma (Callomegachile) incisum,species,
Halictidae (Sulawesi) sp. 9,morphospecies,
Halictidae (Sulawesi) sp. 18,morphospecies,
Andrena_2_brittaindataset,morphospecies,
Andrena_3_brittaindataset,morphospecies,
Andrena_4_brittaindataset,morphospecies,
Anthophora_5,morphospecies,
Apis_mellifera,species,
Bird,order,
Bombus_6,morphospecies,
Bombus_7,morphospecies,
Coccinellidae_sp.,family,
Coleoptera_sp.,order,
Dialictus_12,morphospecies,
Diptera_2,morphospecies,
Diptera_3,morphospecies,
Diptera_4,morphospecies,
Drosophila_5,morphospecies,
Eucera_16,morphospecies,
Evylaeus_13,morphospecies,
Habropoda_17,morphospecies,
Heteroptera_sp.,suborder,
Lasioglossum_8,morphospecies,
Lasioglossum_9,morphospecies,
Lasioglossum_10,morphospecies,
Lasioglossum_11,morphospecies,
Lasioglossum_14,morphospecies,
Muscidae_6,morphospecies,
Muscidae_7,morphospecies,
Osmia_18,morphospecies,
Osmia_19,morphospecies,
Panurginus_15,morphospecies,
spider,order,
Syrphid_1,morphospecies,
Syrphid_2,morphospecies,
Syrphid_3,morphospecies,
Andrena cerasifolii,species,
Bombus,genus,
Panurginus gracilis,species,
Lasioglossum Evylaeus sp. E,morphospecies,
Lasioglossum Evylaeus sp. F,morphospecies,
Bombus melanopygus,species,
Bombus vosnesenskii,species,
Andrena caerulea,species,
Andrena sp,genus,
Eucera lunata,species,
Fruit fly,genus,
Lasioglossum sp. 1,morphospecies,
Lasioglossum sp. 26f,morphospecies,
Lasioglossum sp. 36f,morphospecies,
Halictus sp. 6f,morphospecies,
Lasioglossum sp. 10f,morphospecies,
Lipotriches sp. 8,morphospecies,
Lasioglossum sp. 14,morphospecies,
Hypotrigona sp. 1,morphospecies,
Lasioglossum sp. 3,morphospecies,
Meliponula ferruginea,species,
Pseudapis sp. 1,morphospecies,
Lasioglossum sp. 4,morphospecies,
Lasioglossum sp. 11,morphospecies,
Lithurgus pullatus (Vachal),species,
Halictus sp. 1,morphospecies,
Patellapis sp. 4,morphospecies,
Lasioglossum sp. 13,morphospecies,
Hylaeus sp. 1,morphospecies,
Macrogalea candida,species,
Lasioglossum sp. 18f,morphospecies,
Lasioglossum sp. 16f,morphospecies,
Tetralonia sp. 1f,morphospecies,
Macrogalea candida (Smith),species,
Braunsapis sp.1,morphospecies,
Lasiolgossum sp. 3,morphospecies,
Megachile sp. 1f,morphospecies,
Xylocopa flavorufa (DeGeer),species,
Halictus sp.1,morphospecies,
Lasioglossum sp. 14f,morphospecies,
Ceratina sp. 1,morphospecies,
Meliponini sp. 1,morphospecies,
Lasioglossum sp. 20,morphospecies,
Lasioglossum sp. 24m,morphospecies,
Apoidea_smallerthanHoneybee,morphospecies,
Apoidea_largerthanHoneybee,morphospecies,
Hymenoptera_Nonbee_Aculeata,superfamily,
other_Diptera,order,
Apoidea_sizeequalsHoneybee,morphospecies,
Plebeia.nigriceps,species,
Plebeia.emerina,species,
Schwarziana.quadripunctata,species,
Tetragonisca.fiebrigi,species,
Trigona.spinipes,species,
Bombus.pauloensis,species,
Xylocopa.sp.,genus,
Exomalopsis.spp.,genus,
Neocorynura.sp.,genus,
Augochloropsis.spp.,genus,
Augochlora.spp.,genus,
Augochlorella.sp.,genus,
Psaenythia.sp.,genus,
Other.Hymenoptera,order,
Diptera,order,
Coleoptera,order,
Hemiptera,order,
Xylocopa spp.,genus,
Trigona spinipes,species,
Melitomella murihirta,species,
Ptilothrix plumata,species,
Melissoptila uncicornis,species,
Melissoptila sp.,genus,
Exomalopsis analis,species,
Melipona subnitida,species,
Ceratina Crewella sp. 1,morphospecies,
Ceratina Crewella sp. 2,morphospecies,
Dialictus af. opacus,species,
Lithurgus huberi,species,
Ancyloscelis sp1.,morphospecies,
Ancyloscelis sp.2,morphospecies,
Psaenythia sp.,genus,
Anthrenoides sp.,genus,
Augochlora sp1.,morphospecies,
Augochlora sp2.,morphospecies,
Augochlora sp3.,morphospecies,
Augochlora sp4.,morphospecies,
Augochlora sp5.,morphospecies,
Augochlora sp6.,morphospecies,
Augochlora sp7.,morphospecies,
Augochlora sp8.,morphospecies,
Augochlora sp9.,morphospecies,
Augochlora sp10.,morphospecies,
Augochlora sp11.,morphospecies,
Augochlora sp12.,morphospecies,
Augochlora sp13.,morphospecies,
Coccinella sp1,morphospecies,
Lycid sp1,morphospecies,
Lucilia sp1,morphospecies,
Sarcophaga sp1,morphospecies,
Helina sp1,morphospecies,
Stomorhina discolor,species,
Coccinella sp2,morphospecies,
Monolepta australis,species,
Micraspis sp2,morphospecies,
Coccinella sp4,morphospecies,
Micraspis sp1,morphospecies,
Tetragonula sp1,morphospecies,
Halmus chalybeus,species,
Chlororhinia exempta,species,
Lauxaniidae spp,family,
Syrphidae spp,family,
Diptera sp6,morphospecies,
Diptera. sp7,morphospecies,
Wasp sp2,morphospecies,
Chrysomya sp1,morphospecies,
Coleoptera sp5,morphospecies,
Diptera sp5,morphospecies,
Coleoptera sp6,morphospecies,
Coleoptera sp7,morphospecies,
Wasp sp4,morphospecies,
Iridomyrmex purpureus,species,
Xylocopa sp1,morphospecies,
Lassioglossum sp1,morphospecies,
Formicidae sp1,morphospecies,
Coleoptera sp2,morphospecies,
Wasp sp1,morphospecies,
Coleoptera sp3,morphospecies,
Coleoptera sp4,morphospecies,
Wasp sp3,morphospecies,
Eristalinus spp,genus,
Lepidoptera sp7,morphospecies,
Lepidoptera sp8,morphospecies,
Coleoptera sp11,morphospecies,
Lepidoptera sp6,morphospecies,
Homalictus spp,genus,
Cantharidae spp,family,
Diptera sp13,morphospecies,
Coleoptera sp10,morphospecies,
Wasp sp8,morphospecies,
Bee sp3,morphospecies,
Wasp sp9,morphospecies,
Formicidae sp2,morphospecies,
Formicidae sp3,morphospecies,
Bombylidae spp,family,
Wasp sp7,morphospecies,
Diptera sp11,morphospecies,
Diptera sp15,morphospecies,
Wasp sp10,morphospecies,
Wasp sp11,morphospecies,
Syritta spp,genus,
Euphorinae sp1,morphospecies,
Diptera sp22,morphospecies,
Wasp sp14,morphospecies,
Sarcophaga spp,genus,
Tabanidae spp,family,
Bee sp5,morphospecies,
Bee sp6,morphospecies,
Diptera sp21,morphospecies,
Wasp sp18,morphospecies,
Wasp sp19,morphospecies,
Wasp sp20,morphospecies,
Meloidae sp,family,
Calliphora augur,species,
Wasp sp6,morphospecies,
Metallea sp1,morphospecies,
Diptera sp27,morphospecies,
Lepidoptera sp10,morphospecies,
Wasp sp21,morphospecies,
Formicidae sp5,morphospecies,
Metallea spp,genus,
Dirioxa pornis,species,
Lasioglossum_sp2,morphospecies,
Tachinid spp,family,
Ichneumonidae sp1,morphospecies,
Diptera sp17,morphospecies,
Lepidoptera sp5,morphospecies,
Tiphiidae sp4,morphospecies,
Diptera sp8,morphospecies,
Lepidoptera sp4,morphospecies,
Meloidae sp1,morphospecies,
Xylocopa sp2,morphospecies,
Rhytidoponera metallica,species,
Diptera sp18,morphospecies,
Bee sp1,morphospecies,
Iridmomyrmex purpureus,species,
Coleoptera sp9,morphospecies,
Wasp sp5,morphospecies,
Coleoptera sp12,morphospecies,
Syrrita spp,genus,
Sapromyza spp,genus,
Diptera sp9,morphospecies,
Bee sp2,morphospecies,
Glycyphana stolata,species,
Diptera sp10,morphospecies,
Diptera sp23,morphospecies,
Diptera sp24,morphospecies,
Wasp sp15,morphospecies,
Diptera sp25,morphospecies,
Diptera sp26,morphospecies,
Diptera sp19,morphospecies,
Diptera sp20,morphospecies,
Wasp sp16,morphospecies,
Augochlora_sp.,genus,
Bibionidae_sp.,family,
Calliphoridae_sp.,family,
Ceratina_sp2,morphospecies,
Macrodactylus_fulvescens,species,
Polistinae_sp1_vergaradataset,morphospecies,
Polistinae_sp2_vergaradataset,morphospecies,
Plebeia_frontalis,species,
Scaptotrigona_mexicana,species,
Syrphid_1_vergara,morphospecies,
Syrphid_2_vergara,morphospecies,
Syrphid_3_vergara,morphospecies,
Trigona_nigerrima,species,
Trigona_corvina,species,
Andrena vicina,species,
Andrena carlini,species,
Bombus impatiens,species,
Bombus griseocollis,species,
Bombus bimaculatus,species,
Lasioglossum ephialtum,species,
Augochlorella aurata,species,
Andrena hippotes,species,
Bombus fervidus,species,
Bombus borealis,species,
Bombus ternarius,species,
Andrena rugosa,species,
Andrena rufosignata,species,
Andrena wilkella,species,
Lasioglossum cressoni,species,
Bombus vagans,species,
Andrena bradleyi,species,
Bombus perplexus,species,
Bombus sandersoni,species,
Andrena carolina,species,
Xylocopa virginica,species,
Osmia bucephala,species,
Augochlora pura,species,
Osmia albiventris,species,
Osmia inermis,species,
Lasioglossum versatum,species,
Lasioglossum imitatum,species,
Lasioglossum hitchensi,species,
Lasioglossum leucocomum,species,
Colletes inaequalis,species,
Lasioglossum heterognathum,species,
Andrena w-scripta,species,
Lasioglossum quebecense,species,
Lasioglossum pilosum,species,
Nomada composita,species,
Lasioglossum lineatulum,species,
Lasioglossum confusus,species,
Andrena nivalis,species,
Andrena commoda,species,
Lasioglossum nigroviride,species,
Andrena imitatrix,species,
Andrena mandibularis,species,
Andrena dunningi,species,
Lasioglossum coriaceum,species,
Augochloropsis metallica,species,
Andrena integra,species,
Bombus terricola,species,
Andrena miserabilis,species,
Andrena nasonii,species,
Lasioglossum truncatum,species,
Lasioglossum birkmanni,species,
Andrena crataegi,species,
Sphecodes ranunculi,species,
Andrena platyparia,species,
Halictus rubicundus,species,
Ceratina dupla,species,
Ceratina mikmaqi,species,
Andrena milwaukeensis,species,
Nomada pygmaea,species,
Andrena spiraeana,species,
Ceratina calcarata,species,
Osmia cornifrons,species,
Lasioglossum planatum,species,
Lasioglossum versans,species,
Nomada luteola,species,
Andrena forbesii,species,
Andrena robertsonii,species,
Nomada depressa,species,
Andrena cressoni,species,
Andrena perplexa,species,
Andrena brevipalpis,species,
Lasioglossum acuminatum,species,
Agapostemon texanus,species,
Agapostemon virescens,species,
Andrena regularis,species,
Agapostemon sericeus,species,
Lasioglossum foxii,species,
Lasioglossum subviridatum,species,
Lasioglossum macoupinense,species,
Lasioglossum coeruleum,species,
Colletes simulans,species,
Sphecodes cressoni,species,
Andrena frigida,species,
Nomada cuneata,species,
Andrena_gravida,species,
Andrena_haemorrhoa,species,
Andrena_nitida,species,
Chalcidoidea_sp,superfamily,
Diptera_sp.,order,
Empididae_sp.,family,
Polistes_sp,genus,
Pompilidae_cf,family,
Bombus_lapidarius,species,
Bombus_lucorum_terrestris,species,
Bombus_pascuorum,species,
Eristalis_sp.,genus,
Rhingia_campestris,species,
Bombus_hortorum,species,
Bombus_pratorum,species,
solitary_bee,superfamily,Apoidea? 
Bombus_spp.,genus,
Helophilus_sp,genus,
Vanessa_cardui,species,
Other solitary bee,superfamily ,Apoidea? 
Andrenidae.sp1,morphospecies,
Colletidae.sp1,morphospecies,
Lasioglossum.sp4,morphospecies,
Agapostemon.sp1,morphospecies,
Agapostemon.virescens,species,
Apidae.sp1,morphospecies,
Apidae.sp4,morphospecies,
Apis.mellifera,species,
Halictini.sp3,morphospecies,
Megachilidae.sp10,morphospecies,
Megachilidae.sp3,morphospecies,
Bombus.nevadensis,species,
Eucerini.sp6,morphospecies,
Lasioglossum.sp2,morphospecies,
Bombus.fervidus,species,
Bombus.rufocinctus,species,
Eucerini.sp1,morphospecies,
Eucerini.sp3,morphospecies,
Eucerini.sp7,morphospecies,
Eucerini.sp8,morphospecies,
Andrenidae.sp2,morphospecies,
Ceratina.sp1,morphospecies,
Eucerini.sp4,morphospecies,
Eucerini.sp5,morphospecies,
Megachilidae.sp2,morphospecies,
Megachilidae.sp5,morphospecies,
Megachilidae.sp6,morphospecies,
Ceratina.sp2,morphospecies,
Eucerini.sp9,morphospecies,
Megachilidae.sp9,morphospecies,
Bombus.griseocollis,species,
Bombus.appositus,species,
Eucerini.sp10,morphospecies,
Lasioglossum.sp3,morphospecies,
Megachilidae.sp1,morphospecies,
Megachilidae.sp4,morphospecies,
Bombus.bifarius,species,
Bombus.centralis,species,
Apidae.sp3,morphospecies,
Eucerini.sp2,morphospecies,
Bombus.insularis,species,
Halictini.sp2,morphospecies,
Lasioglossum.sp1,morphospecies,
Apidae.sp2,morphospecies,
Halictini.sp1,morphospecies,
Bombus.occidentalis,species,
Bombus.mixtus,species,
Eucerini.sp11,morphospecies,
Megachilidae.sp7,morphospecies,
Bombus.pensylvanicus,species,
Megachilidae.sp8,morphospecies,
Bombus.vagans,species,
Bombus.fernaldae,species,
Andrena mucida,species,
Halictus scabiosae,species,
Hylaeus punctulatissimus,species,
Andrena albopunctata,species,
Andrena minutula,species,
Hylaeus communis,species,
Andrena pilipes,species,
Andrena thoracica,species,
Bombus lucorum/terrestris,morphospecies,
Andrena agilissima,species,
Ceratina cucurbitina,species,
Lasioglossum discum,species,
Hylaeus soror,species,
Megachile pilidens,species,
Andrena decipiens,species,
Halictus subauratus,species,
Sphecodes gibbus,species,
wesp: cf. Allodynerus floricola,species,
Colletes cunicularius,species,
Ceratina nigrolabiata,species,
