"Crop_System" "Crop_yield" "Flower_Visitor_Density" "Flower_visitor_richness" "Field_size" "Vis_base" "Inten" "Isolation" "Yield_gap" "Vis_gap" "Dependence" "Latitude" "Longitude"
"1" "Argentina Rubus idaeus 2014" 4288.85 16.5 4 0.07 6.063 -3 0.1 59.3530225831055 63.7358693701777 25 -41.90298 -71.53611
"2" "Argentina Rubus idaeus 2014" 2843.34 6.063 2.5 0.13 6.063 -1 0.14 59.3530225831055 63.7358693701777 25 -42.08827 -71.48589
"3" "Argentina Rubus idaeus 2014" 8690.22 17.813 3.5 0.28 6.063 1 0.1 59.3530225831055 63.7358693701777 25 -42.01035 -71.52805
"4" "Argentina Rubus idaeus 2014" 2634.06 6.063 2.5 0.09 6.063 1 0.1 59.3530225831055 63.7358693701777 25 -42.12767 -71.58122
"5" "Argentina Rubus idaeus 2014" 7098.03 12.125 3.5 1.2 6.063 1 0.3 59.3530225831055 63.7358693701777 25 -41.94518 -71.52068
"6" "Argentina Rubus idaeus 2014" 2757.72 8.5 2.5 0.42 6.063 1 0.07 59.3530225831055 63.7358693701777 25 -42.11437 -71.5606
"7" "Argentina Rubus idaeus 2014" 3226.25 10.125 3 0.11 6.063 1 0.4 59.3530225831055 63.7358693701777 25 -42.0284 -71.58902
"8" "Argentina Rubus idaeus 2014" 4795.58 14.188 4.5 0.07 6.063 -1 0.09 59.3530225831055 63.7358693701777 25 -41.89527 -71.54998
"9" "Argentina Rubus idaeus 2014" 6129.25 8 4 0.1 6.063 2 0.17 59.3530225831055 63.7358693701777 25 -42.09997 -71.45272
"10" "Argentina Rubus idaeus 2014" 5695.81 10.5 3.5 0.3 6.063 1 1 59.3530225831055 63.7358693701777 25 -42.06602 -71.50452
"11" "Argentina Rubus idaeus 2014" 5091.73 4.125 3 0.27 6.063 2 0.03 59.3530225831055 63.7358693701777 25 -42.11578 -71.43862
"12" "Argentina Rubus idaeus 2014" 4770.7 16.938 4 0.22 6.063 1 0.15 59.3530225831055 63.7358693701777 25 -41.92471 -71.51414
"13" "Argentina Rubus idaeus 2014" 3132.09 7.688 3.5 0.25 6.063 2 0.2 59.3530225831055 63.7358693701777 25 -42.12587 -71.42318
"14" "Argentina Rubus idaeus 2014" 3851.27 13.5 3.5 0.12 6.063 -1 0.26 59.3530225831055 63.7358693701777 25 -42.04698 -71.51032
"15" "Argentina Rubus idaeus 2014" 3436.13 6.063 4 0.06 6.063 1 0.22 59.3530225831055 63.7358693701777 25 -42.09583 -71.51842
"16" "Argentina Rubus idaeus 2014" 6681.74 11.625 2 0.9 6.063 1 0.06 59.3530225831055 63.7358693701777 25 -41.99975 -71.55248
"17" "Brasil Coffea arabica 2013 ORG" 1218.19 1.188 0.075 3 0.488 -3 0.069 58.1788372328053 94.4702549575071 34 -13.44945 -47.30427
"18" "Brasil Coffea arabica 2013 ORG" 1023.53 4 0.038 2.5 0.488 -1 0.115 58.1788372328053 94.4702549575071 34 -13.39139 -47.2898
"19" "Brasil Coffea arabica 2013 ORG" 4076.28 0.938 0.025 33.5 0.488 3 0.09 58.1788372328053 94.4702549575071 34 -13.35405 -47.35177
