"Country","Crop_species","Year","Site_name","Crop_variety","Locality","TI","Poll_dep_percentage","Poll_dep_4cat","Poll_dep_2cat","Poll_dep_2cat_num","Latitude_decimal.degrees","Longitude_decimal.degrees","Field_size_ha","Size_3categories","Size_2categories","Distance_NaturalArea_km","Distance_NaturalArea_km.1","Monoculture","Landscape_Complexity","Landscape_Complexity_Num","hives.present","Mean_transect_Apis","Mean_transect_NonApis","Mean_transect_AllVisitors","Flowers_per_transect","AllVisitors_100flowers","Minutes_per_transect","Apis_dominance","SiteMean_Richness_NetSampling","Minutes_netsampling","SiteMean_Yield","Number_fl_ha","StudyTYPE","StudyID","siteID","graph_sp"
"Norway","Trifolium pratense","2013","Green0","Lea","Stokke","?","Haven't got specific number","great","Gread dependence",1,59.2533833476772,10.1862388371012,5,"1-10ha","large",0.2,0.2,"yes","Complex landscapes",1,"NA",0.75,2.28125,3.03125,400,0.7578125,"NA",0.247422680412371,4.25,30,60.825,3197500,"allVisitorRichness","Norway Trifolium pratense 2013","Norway redclover 2013 Green0","Trifolium pratense"
"Norway","Trifolium pratense","2013","Green1","Lea","Sande","?","Haven't got specific number","great","Gread dependence",1,59.6138601413751,10.2059449161926,4.1,"1-10ha","large",0.1,0.1,"yes","Complex landscapes",1,"NA",2.71875,0.9375,3.65625,400,0.9140625,"NA",0.743589743589744,4.5,30,44.225,2322500,"allVisitorRichness","Norway Trifolium pratense 2013","Norway redclover 2013 Green1","Trifolium pratense"
"Norway","Trifolium pratense","2013","Green2","Lea","Re","?","Haven't got specific number","great","Gread dependence",1,59.4380569910163,10.3149777402475,10,"1-10ha","large",0.25,0.25,"yes","Complex landscapes",1,"NA",8.975,1.94375,10.91875,400,2.7296875,"NA",0.821980538065255,3.75,30,48.975,3595000,"allVisitorRichness","Norway Trifolium pratense 2013","Norway redclover 2013 Green2","Trifolium pratense"
"Norway","Trifolium pratense","2013","Green4","Lea","Spydeberg","?","Haven't got specific number","great","Gread dependence",1,59.6585626103467,11.1350097962716,4.2,"1-10ha","large",0.05,0.05,"yes","Complex landscapes",1,"NA",1.75,4.3125,6.0625,400,1.515625,"NA",0.288659793814433,6,30,64.45,3032500,"allVisitorRichness","Norway Trifolium pratense 2013","Norway redclover 2013 Green4","Trifolium pratense"
"Norway","Trifolium pratense","2013","Green5","Lea","Re","?","Haven't got specific number","great","Gread dependence",1,59.4135437033053,10.1405573327137,3.6,"1-10ha","large",0.05,0.05,"yes","Complex landscapes",1,"NA",2.65625,0.84375,3.5,400,0.875,"NA",0.758928571428571,3.5,30,77.125,2692500,"allVisitorRichness","Norway Trifolium pratense 2013","Norway redclover 2013 Green5","Trifolium pratense"
"Norway","Trifolium pratense","2013","Red1","Lea","Re","?","Haven't got specific number","great","Gread dependence",1,59.3844167555202,10.2463999560659,5,"1-10ha","large",0.2,0.2,"yes","Complex landscapes",1,"NA",1.21875,1.15625,2.375,400,0.59375,"NA",0.513157894736842,4.25,30,72.825,2690000,"allVisitorRichness","Norway Trifolium pratense 2013","Norway redclover 2013 Red1","Trifolium pratense"
"Norway","Trifolium pratense","2013","Red2","Lea","Tonsberg","?","Haven't got specific number","great","Gread dependence",1,59.2935820519719,10.4349158751818,6,"1-10ha","large",0.16,0.16,"yes","Complex landscapes",1,"NA",0.34375,5.34375,5.6875,400,1.421875,"NA",0.0604395604395604,6.25,30,71.075,2520000,"allVisitorRichness","Norway Trifolium pratense 2013","Norway redclover 2013 Red2","Trifolium pratense"
"Norway","Trifolium pratense","2013","Red3","Lea","Re","?","Haven't got specific number","great","Gread dependence",1,59.371882799045,10.3707253750919,10,"1-10ha","large",0.25,0.25,"yes","Complex landscapes",1,"NA",3.01041666666667,3.53125,6.54166666666667,400,1.63541666666667,"NA",0.460191082802548,3.75,30,50.875,2507500,"allVisitorRichness","Norway Trifolium pratense 2013","Norway redclover 2013 Red3","Trifolium pratense"
"Norway","Trifolium pratense","2013","Red4","Lea","Holmestrand","?","Haven't got specific number","great","Gread dependence",1,59.4598510004919,10.2932688207811,11.2,"1-10ha","large",0.13,0.13,"yes","Complex landscapes",1,"NA",2.875,1.84375,4.71875,400,1.1796875,"NA",0.609271523178808,4.75,30,95.65,2907500,"allVisitorRichness","Norway Trifolium pratense 2013","Norway redclover 2013 Red4","Trifolium pratense"
"Norway","Trifolium pratense","2013","Red5","Lea","As","?","Haven't got specific number","great","Gread dependence",1,59.6601386014286,10.8076770803976,9,"1-10ha","large",0.11,0.11,"yes","Complex landscapes",1,"NA",1.1875,3.46875,4.65625,400,1.1640625,"NA",0.25503355704698,3.25,30,77.725,2100000,"allVisitorRichness","Norway Trifolium pratense 2013","Norway redclover 2013 Red5","Trifolium pratense"
"Norway","Trifolium pratense","2014","Black1","Lea","Lardal","?","Haven't got specific number","great","Gread dependence",1,59.4122315353084,9.97457801757012,15,"1-10ha","large",0.06,0.06,"yes","Complex landscapes",1,"NA",2.0625,2.46875,4.53125,400,1.1328125,"NA",0.455172413793103,4.91666666666667,30,62.05,2850000,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Black1","Trifolium pratense"
"Norway","Trifolium pratense","2014","Black2","Lea","Re","?","Haven't got specific number","great","Gread dependence",1,59.446983347299,10.2666563762821,7,"1-10ha","large",0.03,0.03,"yes","Complex landscapes",1,"NA",2.875,7.125,10,400,2.5,"NA",0.2875,3.91666666666667,30,82.5776861425,2800000,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Black2","Trifolium pratense"
"Norway","Trifolium pratense","2014","Black3","Lea","Ovre Eiker","?","Haven't got specific number","great","Gread dependence",1,59.7490630820658,9.91034015089354,7.5,"1-10ha","large",0.1,0.1,"yes","Complex landscapes",1,"NA",2.75,2.36458333333333,5.11458333333333,400,1.27864583333333,"NA",0.537678207739308,3.79166666666667,30,90.7293266075,4700000,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Black3","Trifolium pratense"
"Norway","Trifolium pratense","2014","Black4","Lea","Rakkestad","?","Haven't got specific number","great","Gread dependence",1,59.4447307546319,11.3429074959062,5,"1-10ha","large",0.1,0.1,"yes","Complex landscapes",1,"NA",0.8125,5.6875,6.5,400,1.625,"NA",0.125,5.54166666666667,30,70.2327873625,2800000,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Black4","Trifolium pratense"
"Norway","Trifolium pratense","2014","Black5","Lea","Ovre Eiker","?","Haven't got specific number","great","Gread dependence",1,59.8652839643837,9.81098190235566,8,"1-10ha","large",0.07,0.07,"yes","Complex landscapes",1,"NA",5.25,3.3125,8.5625,400,2.140625,"NA",0.613138686131387,4.625,30,49.2686498225,3297500,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Black5","Trifolium pratense"
"Norway","Trifolium pratense","2014","Blue1","Lea","Hobol","?","Haven't got specific number","great","Gread dependence",1,59.6005138334804,10.9086891714469,6,"1-10ha","large",0.28,0.28,"yes","Complex landscapes",1,"NA",4.3125,5.3125,9.625,400,2.40625,"NA",0.448051948051948,5.125,30,62.525,3672500,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Blue1","Trifolium pratense"
"Norway","Trifolium pratense","2014","Blue2","Lea","Spydeberg","?","Haven't got specific number","great","Gread dependence",1,59.6455546191207,11.0474324399322,8,"1-10ha","large",0.3,0.3,"yes","Complex landscapes",1,"NA",3.3125,3.125,6.4375,400,1.609375,"NA",0.514563106796116,5.20833333333333,30,78.825,3485000,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Blue2","Trifolium pratense"
"Norway","Trifolium pratense","2014","Blue3","Lea","Kongsberg","?","Haven't got specific number","great","Gread dependence",1,59.5334829400454,9.82410625314316,9.5,"1-10ha","large",0.03,0.03,"yes","Complex landscapes",1,"NA",1.3125,0.5625,1.875,400,0.46875,"NA",0.7,3.29166666666667,30,49.25,2827500,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Blue3","Trifolium pratense"
"Norway","Trifolium pratense","2014","Blue4","Lea","Eidsberg","?","Haven't got specific number","great","Gread dependence",1,59.549247790802,11.2773104386548,6.1,"1-10ha","large",0.05,0.05,"yes","Complex landscapes",1,"NA",1.8125,4.3125,6.125,400,1.53125,"NA",0.295918367346939,5.625,30,72.575,2930000,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Blue4","Trifolium pratense"
"Norway","Trifolium pratense","2014","Blue5","Lea","Stokke","?","Haven't got specific number","great","Gread dependence",1,59.2766063345797,10.2912680911574,7,"1-10ha","large",0.05,0.05,"yes","Complex landscapes",1,"NA",8.3125,5.5625,13.875,400,3.46875,"NA",0.599099099099099,4.375,30,87.025,3787500,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Blue5","Trifolium pratense"
"Norway","Trifolium pratense","2014","Green1","Lea","Sande","?","Haven't got specific number","great","Gread dependence",1,59.5572561036571,10.2319623343555,9,"1-10ha","large",0.2,0.2,"yes","Complex landscapes",1,"NA",1.125,3.40625,4.53125,400,1.1328125,"NA",0.248275862068966,3.70833333333333,30,63.8,1522500,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Green1","Trifolium pratense"
"Norway","Trifolium pratense","2014","Green2","Lea","Andebu","?","Haven't got specific number","great","Gread dependence",1,59.3048570483309,10.0871678619373,10,"1-10ha","large",0.05,0.05,"yes","Complex landscapes",1,"NA",2.25,2.5625,4.8125,400,1.203125,"NA",0.467532467532468,3,30,40.6,3822500,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Green2","Trifolium pratense"
"Norway","Trifolium pratense","2014","Green4","Lea","Spydeberg","?","Haven't got specific number","great","Gread dependence",1,59.6602702442221,11.132369425134,7,"1-10ha","large",0.1,0.1,"yes","Complex landscapes",1,"NA",2.125,7.4375,9.5625,400,2.390625,"NA",0.222222222222222,4.625,30,46.1,3525000,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Green4","Trifolium pratense"
"Norway","Trifolium pratense","2014","Green5","Lea","Re","?","Haven't got specific number","great","Gread dependence",1,59.4052963145698,10.1341767747711,7,"1-10ha","large",0.24,0.24,"yes","Complex landscapes",1,"NA",3.4375,1.6875,5.125,400,1.28125,"NA",0.670731707317073,3.625,30,56.275,1842500,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Green5","Trifolium pratense"
"Norway","Trifolium pratense","2014","Green6","Lea","Stokke","?","Haven't got specific number","great","Gread dependence",1,59.3168942060333,10.217645960612,4,"1-10ha","large",0.04,0.04,"yes","Complex landscapes",1,"NA",3.9375,3.3125,7.25,400,1.8125,"NA",0.543103448275862,4.08333333333333,30,94.25,3815000,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Green6","Trifolium pratense"
"Norway","Trifolium pratense","2014","Red1","Lea","Re","?","Haven't got specific number","great","Gread dependence",1,59.3939497270738,10.2764374587834,5.8,"1-10ha","large",0.08,0.08,"yes","Complex landscapes",1,"NA",2.75,4.125,6.875,400,1.71875,"NA",0.4,4.20833333333333,30,77.5,2387500,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Red1","Trifolium pratense"
"Norway","Trifolium pratense","2014","Red2","Lea","Tonsberg","?","Haven't got specific number","great","Gread dependence",1,59.2942842526615,10.441363323564,3.9,"1-10ha","large",0.5,0.5,"yes","Complex landscapes",1,"NA",0.125,11.6875,11.8125,400,2.953125,"NA",0.0105820105820106,4.45833333333333,30,77.45,2005000,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Red2","Trifolium pratense"
"Norway","Trifolium pratense","2014","Red3","Lea","Re","?","Haven't got specific number","great","Gread dependence",1,59.3782264313187,10.3627413182931,10,"1-10ha","large",0.13,0.13,"yes","Complex landscapes",1,"NA",1.3125,2.875,4.1875,400,1.046875,"NA",0.313432835820896,4.20833333333333,30,100.425,3955000,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Red3","Trifolium pratense"
"Norway","Trifolium pratense","2014","Red4","Lea","Andebu","?","Haven't got specific number","great","Gread dependence",1,59.3717890879197,10.1175456814386,10,"1-10ha","large",0.2,0.2,"yes","Complex landscapes",1,"NA",4.625,3.75,8.375,400,2.09375,"NA",0.552238805970149,2.70833333333333,30,35.6,3702500,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Red4","Trifolium pratense"
"Norway","Trifolium pratense","2014","Red5","Lea","As","?","Haven't got specific number","great","Gread dependence",1,59.6526140038978,10.7768393046926,12.5,"1-10ha","large",0.13,0.13,"yes","Complex landscapes",1,"NA",0.9375,4.5625,5.5,400,1.375,"NA",0.170454545454545,4.91666666666667,30,127.2,5237500,"allVisitorRichness","Norway Trifolium pratense 2014","Norway redclover 2014 Red5","Trifolium pratense"
