crop,state,site,year,transect,honey_bee,bumble_bee,habropoda,xylocopa,other_bee,wild_bees,all_bees,mean_berry_wt_open_minus_bagged,mean_berry_wt_hand_minus_open,mean_berry_wt_open,mean_berry_wt_bagged,mean_berry_wt_hand,fruit_set_open,fruit_set_bagged,fruit_set_hand
blueberry,fl,1,2015,0,9.666666667,0.333333333,NA,NA,0,0.333333333,10,-0.17,-0.013333333,0.605,0.775,0.591666667,0.527777778,0.283333333,1
blueberry,fl,1,2015,25,11,0.333333333,NA,NA,1,1.333333333,12.33333333,0.127777778,-1.161111111,1.377777778,1.25,0.216666667,0.75,0.444444444,0.5
blueberry,fl,1,2015,50,13.66666667,0.666666667,NA,NA,1,1.666666667,15.33333333,-0.076666667,0.520416667,0.923333333,1,1.44375,0.544642857,0.154761905,0.738095238
blueberry,fl,2,2015,0,1.333333333,2.333333333,NA,NA,5.333333333,7.666666667,9,-1.115789474,-0.231829574,0.684210526,1.8,0.452380952,1.055555556,0.05,1.166666667
blueberry,fl,2,2014,100,17.5,1,2,0,2,5,22.5,0.451982872,0.006129682,1.020316206,0.568333333,1.026445887,1.276190476,0.16975913,0.836597554
blueberry,fl,2,2015,100,5.333333333,16.66666667,NA,NA,8,24.66666667,30,0.23974359,-0.228959276,0.623076923,0.383333333,0.394117647,0.684210526,0.315789474,0.80952381
blueberry,fl,2,2014,25,23.5,0.5,1.5,0.5,2,4.5,28,-0.117708333,0.126496212,0.832291667,0.95,0.958787879,0.633333333,0.058333333,0.758223684
blueberry,fl,2,2015,25,1,3.666666667,NA,NA,11.33333333,15,16,-0.244444444,0.04619883,0.422222222,0.666666667,0.468421053,0.6,0.5,1.266666667
blueberry,fl,2,2015,50,2,18.33333333,NA,NA,4.333333333,22.66666667,24.66666667,-0.275,0.101923077,0.175,0.45,0.276923077,0.25,0.125,0.764705882
blueberry,fl,3,2014,25,14,1.333333333,0.333333333,0.333333333,0.666666667,2.666666667,16.66666667,0.65,-0.144117647,0.95,0.3,0.805882353,1.111111111,0.052631579,0.739130435
blueberry,fl,3,2014,50,10,1.333333333,0,0,0,1.333333333,11.33333333,0.54375,-0.798295455,1.54375,1,0.745454545,0.592592593,0.0625,0.578947368
blueberry,fl,4,2014,0,21.66666667,0.333333333,0,0,0,0.333333333,22,0.85,0.483333333,1.316666667,0.466666667,1.8,0.375,0.111111111,0.147058824
blueberry,fl,4,2014,100,13.33333333,0.333333333,0,0,0,0.333333333,13.66666667,-0.051666667,0.35753876,0.873333333,0.925,1.230872093,0.820261438,0.0825,1.36863711
blueberry,fl,4,2014,25,18,0.666666667,0,0,0,0.666666667,18.66666667,0.356417112,0.637537136,0.973083779,0.616666667,1.610620915,0.490961199,0.082953761,0.327541973
blueberry,fl,4,2014,50,10.33333333,0.333333333,0,0,0,0.333333333,10.66666667,0.245138889,0.509657557,0.95625,0.711111111,1.465907557,0.249898364,0.081630358,0.505608265
blueberry,fl,5,2014,0,6.333333333,1.666666667,2,0,2,5.666666667,12,0.337912088,0.011462912,1.787912088,1.45,1.799375,1.047619048,0.167832168,0.720588235
blueberry,fl,5,2014,100,3.333333333,0.333333333,0,0,0,0.333333333,3.666666667,0.29,-0.147142857,0.59,0.3,0.442857143,0.909090909,0.083333333,0.318181818
blueberry,fl,5,2014,50,5,1.666666667,0,0,0,1.666666667,6.666666667,0.367857143,-0.137857143,0.767857143,0.4,0.63,1.217391304,0.04,0.909090909
blueberry,fl,6,2015,0,5,1.5,NA,NA,0,1.5,6.5,0.6875,0.126666667,1.525,0.8375,1.651666667,0.230263158,0.276315789,0.617647059
blueberry,fl,6,2014,100,20.75,1.25,2,0.25,2.25,5.75,26.5,-0.054545455,0.375081169,0.745454545,0.8,1.120535714,0.690196078,0.050505051,0.560526316
blueberry,fl,6,2015,100,21,1.5,NA,NA,0,1.5,22.5,0.113333333,-1.0925,1.88,1.766666667,0.7875,0.681818182,0.631578947,0.32
blueberry,fl,6,2014,25,21.25,2.25,1.5,0.75,2.25,6.75,28,-0.375656566,0.059857169,0.924343434,1.3,0.984200603,0.699553571,0.105795348,0.529987374
blueberry,fl,6,2014,50,17.25,2,1.5,0.75,2.25,6.5,23.75,-0.099044289,0.451266511,1.017622378,1.116666667,1.468888889,0.633386497,0.161111111,0.696428571
blueberry,fl,6,2015,50,19.5,2,NA,NA,2,4,23.5,0.157323232,0.354040404,1.532323232,1.375,1.886363636,0.712820513,0.106334842,0.75952381
blueberry,fl,7,2015,0,15,9,NA,NA,1,10,25,1.133846154,0.141722028,1.608846154,0.475,1.750568182,0.611111111,0.075,0.525
blueberry,fl,7,2015,100,13,3,NA,NA,0,3,16,0.722222222,0.13968254,0.988888889,0.266666667,1.128571429,0.75,0.230769231,0.466666667
blueberry,fl,7,2015,25,19,2,NA,NA,0,2,21,0.833425926,-0.347578563,1.37787037,0.544444444,1.030291807,0.410458077,0.058618114,0.735719771
