OrganismID,Family
 Andrena haemorrhoa,Andrenidae
 Andrena helvola,Andrenidae
 Andrena nitida,Andrenidae
 Andrena subopaca,Andrenidae
 Bombus pascuorum,Apidae
 Bombus pascuorum,pascuorum
 Bombus terrestris,Apidae
 Halictus tumolorum,Halictidae
(Dialictus) sp. D,Halictidae
“Lagria” cf. aeneipennis Fåhraeus,Tenebrionidae
0,NA
A. mellifera,Apidae
A_mellifera,Apidae
Abax.parallelepipedus,NA
Abeja abdomen naranja,Andrenidae
Abeja brillante sin pelos rayas en abdomen,Halictidae
Abeja marron cola negra,NA
Abeja negra,NA
Agapostemon,Halictidae
Agapostemon sericeus,Halictidae
Agapostemon sp,Halictidae
Agapostemon splendens,Halictidae
Agapostemon texana,Halictidae
Agapostemon texanus,Halictidae
Agapostemon virescens,Halictidae
Aglais_urticae,Nymphalidae
Agonum.muelleri,NA
Agonum.sexpunctatum,NA
Agromyzidae_sp1,Agromyzidae
ALLECULINAE_sp1,Tenebrionidae
Allobacha sp.,Syrphidae
Allograpta exotica,Syrphidae
Allograpta exotica cf.,Sirfidae
Allograpta iavana,Syrphidae
Allograpta sp.,Syrphidae
Allograpta sp1,Syrphidae
Allograpta sp2,Syrphidae
Allograpta sp3,Syrphidae
Amara.aenea,NA
Amara.convexior,NA
Amara.familiaris,NA
Amara.montivaga,NA
Amara.ovata,NA
Amara.plebeja,NA
Amara.similata,NA
Amata cerbera L.,Arctiidae
Amegilla quadrifasciata,Apidae
Amegilla zonata/ A. confusa,Apidae
Amobia oculata,Sarcophagidae
Amobia sp,Sarcophagidae
Anchmenus.dorsalis,NA
Ancistrocerus oviventris ,NA
Ancyloscelis apiformes,Apidae
Ancyloscelis apiformis,Apidae
Andrena,Andrenidae
Andrena  ,Andrenidae
Andrena agilissima,Andrenidae
Andrena albopunctata,Andrenidae
Andrena algida,Andrenidae
Andrena allegheniensis,Andrenidae
Andrena angustior,Andrenidae
Andrena barbilabris,Andrenidae
Andrena bicolor,Andrenidae
Andrena bimaculata,Andrenidae
Andrena bucephala,Andrenidae
Andrena canadensis,Andrenidae
Andrena carantonica,NA
Andrena carantonica,Andrenidae
Andrena carantonica,Apidae
Andrena carlini,Andrenidae
Andrena ceanothi,Andrenidae
Andrena cf. limata,Andrenidae
Andrena chlorosoma,Andrenidae
Andrena chrysosceles,Andrenidae
Andrena chrysosceles,Apidae
Andrena cineraria,NA
Andrena cineraria,Andrenidae
Andrena cineraria,Apidae
Andrena commoda,Andrenidae
Andrena crataegi,Andrenidae
Andrena cressonii,Andrenidae
Andrena decipiens,Andrenidae
Andrena distans,Andrenidae
Andrena dorsata,Andrenidae
Andrena dunningi,Andrenidae
Andrena erigeniae,Andrenidae
Andrena erythrogaster,Andrenidae
Andrena erythronii,Andrenidae
Andrena fenningeri,Andrenidae
Andrena flavipes,NA
Andrena flavipes,Andrenidae
Andrena flavipes,Andrenidae 
Andrena florea,Andrenidae
Andrena forbesii,Andrenidae
Andrena frigida,Andrenidae
Andrena fucata,Andrenidae
Andrena fulva,NA
Andrena fulva,Andrenidae
Andrena gravida,Andrenidae
Andrena gravida,Apidae
