study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
87_TaylorRickettsCoffee_2001,1,Coffea arabica,Caturra,NA,Costa Rica,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,only bees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flowers visited per hour,684,192,0,492,0,0,0,0,0,0,0,10.1073/pnas.0405147101,"Taylor H. Ricketts, Gretchen C. Daily, Paul R. Ehrlich, and Charles D. Michener",taylor.ricketts@UVM.EDU
87_TaylorRickettsCoffee_2001,2,Coffea arabica,Caturra,NA,Costa Rica,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,only bees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flowers visited per hour,612,186,0,426,0,0,0,0,0,0,0,10.1073/pnas.0405147101,"Taylor H. Ricketts, Gretchen C. Daily, Paul R. Ehrlich, and Charles D. Michener",taylor.ricketts@UVM.EDU
87_TaylorRickettsCoffee_2001,3,Coffea arabica,Caturra,NA,Costa Rica,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,only bees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flowers visited per hour,132,126,0,6,0,0,0,0,0,0,0,10.1073/pnas.0405147101,"Taylor H. Ricketts, Gretchen C. Daily, Paul R. Ehrlich, and Charles D. Michener",taylor.ricketts@UVM.EDU
87_TaylorRickettsCoffee_2001,4,Coffea arabica,Caturra,NA,Costa Rica,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,only bees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flowers visited per hour,162,132,0,30,0,0,0,0,0,0,0,10.1073/pnas.0405147101,"Taylor H. Ricketts, Gretchen C. Daily, Paul R. Ehrlich, and Charles D. Michener",taylor.ricketts@UVM.EDU
87_TaylorRickettsCoffee_2001,5,Coffea arabica,Caturra,NA,Costa Rica,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,only bees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flowers visited per hour,288,270,0,18,0,0,0,0,0,0,0,10.1073/pnas.0405147101,"Taylor H. Ricketts, Gretchen C. Daily, Paul R. Ehrlich, and Charles D. Michener",taylor.ricketts@UVM.EDU
87_TaylorRickettsCoffee_2001,6,Coffea arabica,Caturra,NA,Costa Rica,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,only bees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flowers visited per hour,138,138,0,0,0,0,0,0,0,0,0,10.1073/pnas.0405147101,"Taylor H. Ricketts, Gretchen C. Daily, Paul R. Ehrlich, and Charles D. Michener",taylor.ricketts@UVM.EDU
87_TaylorRickettsCoffee_2001,7,Coffea arabica,Caturra,NA,Costa Rica,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,only bees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flowers visited per hour,114,102,0,12,0,0,0,0,0,0,0,10.1073/pnas.0405147101,"Taylor H. Ricketts, Gretchen C. Daily, Paul R. Ehrlich, and Charles D. Michener",taylor.ricketts@UVM.EDU
87_TaylorRickettsCoffee_2001,8,Coffea arabica,Caturra,NA,Costa Rica,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,only bees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flowers visited per hour,114,114,0,0,0,0,0,0,0,0,0,10.1073/pnas.0405147101,"Taylor H. Ricketts, Gretchen C. Daily, Paul R. Ehrlich, and Charles D. Michener",taylor.ricketts@UVM.EDU
87_TaylorRickettsCoffee_2001,9,Coffea arabica,Caturra,NA,Costa Rica,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,only bees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flowers visited per hour,126,114,0,12,0,0,0,0,0,0,0,10.1073/pnas.0405147101,"Taylor H. Ricketts, Gretchen C. Daily, Paul R. Ehrlich, and Charles D. Michener",taylor.ricketts@UVM.EDU
87_TaylorRickettsCoffee_2001,10,Coffea arabica,Caturra,NA,Costa Rica,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,only bees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flowers visited per hour,96,96,0,0,0,0,0,0,0,0,0,10.1073/pnas.0405147101,"Taylor H. Ricketts, Gretchen C. Daily, Paul R. Ehrlich, and Charles D. Michener",taylor.ricketts@UVM.EDU
