study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
66_AlexKleinAlmond_2009,Tim Mueller 1,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Tim Mueller 1,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Tim Mueller 1,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Tim Mueller 1,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Tim Mueller 1,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Tim Mueller 1,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Tim Mueller 1,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Tim Mueller 1,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Tim Mueller 1,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Tim Mueller 1,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Tim Mueller 1,Andrena cerasifolii,other_wild_bees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Tim Mueller 1,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Tim Mueller 1,Andrena cerasifolii,other_wild_bees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Scofield 1,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Scofield 1,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Scofield 1,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Full Belly,Apis mellifera,honeybees,observation,2,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Full Belly,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Full Belly,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Full Belly,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Full Belly,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Full Belly,Apis mellifera,honeybees,observation,3,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Full Belly,Apis mellifera,honeybees,observation,2,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Full Belly,Apis mellifera,honeybees,observation,2,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Full Belly,Apis mellifera,honeybees,observation,2,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Full Belly,Apis mellifera,honeybees,observation,2,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Full Belly,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
66_AlexKleinAlmond_2009,Full Belly,Apis mellifera,honeybees,observation,1,NA,13,NA,"On each orchard, 5 trees were observed. At each tree, eight groups of flowers were observed for three times 20 seconds each (total of around 13 min per orchard)."
