study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
88_TaylorRickettsCoffee_2002,21,Apis mellifera,honeybees,samples of flower visitors,6,NA,NA,NA,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
88_TaylorRickettsCoffee_2002,21,Nannotrigona mellaria,other_wild_bees,samples of flower visitors,4,NA,NA,NA,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
88_TaylorRickettsCoffee_2002,21,Plebeia jatiformis,other_wild_bees,samples of flower visitors,40,NA,NA,NA,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
88_TaylorRickettsCoffee_2002,21,Plebia frontalis,other_wild_bees,samples of flower visitors,7,NA,NA,NA,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
88_TaylorRickettsCoffee_2002,21,Trigona (tetragonisca) angustula,other_wild_bees,samples of flower visitors,6,NA,NA,NA,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
88_TaylorRickettsCoffee_2002,21,Trigona dorsalis,other_wild_bees,samples of flower visitors,1,NA,NA,NA,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
88_TaylorRickettsCoffee_2002,21,Trigonisca sp.,other_wild_bees,samples of flower visitors,18,NA,NA,NA,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
88_TaylorRickettsCoffee_2002,21,Native-summ,other_wild_bees,samples of flower visitors,3,NA,NA,NA,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
88_TaylorRickettsCoffee_2002,22,Apis mellifera,honeybees,samples of flower visitors,2,NA,NA,NA,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
88_TaylorRickettsCoffee_2002,22,Nannotrigona mellaria,other_wild_bees,samples of flower visitors,4,NA,NA,NA,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
88_TaylorRickettsCoffee_2002,22,Plebeia jatiformis,other_wild_bees,samples of flower visitors,56,NA,NA,NA,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
88_TaylorRickettsCoffee_2002,22,Plebia frontalis,other_wild_bees,samples of flower visitors,35,NA,NA,NA,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
88_TaylorRickettsCoffee_2002,22,Trigona (tetragonisca) angustula,other_wild_bees,samples of flower visitors,4,NA,NA,NA,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
88_TaylorRickettsCoffee_2002,22,Trigona dorsalis,other_wild_bees,samples of flower visitors,3,NA,NA,NA,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
88_TaylorRickettsCoffee_2002,22,Trigonisca sp.,other_wild_bees,samples of flower visitors,29,NA,NA,NA,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
