study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
14_MikeGarratt_FieldBean2005,Whitepond Farm,Vicia faba,NA,NA,UK,51.60611743,-0.922647887,NA,NA,NA,5,6,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,0,125,5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael Garratt,m.p.garratt@reading.ac.uk
14_MikeGarratt_FieldBean2005,Ewelme Park,Vicia faba,NA,NA,UK,51.59605473,-1.00518756,NA,NA,NA,5,6,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,0,138,6,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael Garratt,m.p.garratt@reading.ac.uk
14_MikeGarratt_FieldBean2005,Cold Ash,Vicia faba,NA,NA,UK,51.4137184,-1.280954732,NA,NA,NA,5,6,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,0,77,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael Garratt,m.p.garratt@reading.ac.uk
14_MikeGarratt_FieldBean2005,Mortimer; Gt. Park Farm,Vicia faba,NA,NA,UK,51.37410504,-1.025811658,NA,NA,NA,5,6,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,65,9,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael Garratt,m.p.garratt@reading.ac.uk
14_MikeGarratt_FieldBean2005,Red Lion Farm; Britwell Salome,Vicia faba,NA,NA,UK,51.63855379,-1.033162478,NA,NA,NA,5,6,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,89,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael Garratt,m.p.garratt@reading.ac.uk
14_MikeGarratt_FieldBean2005,Chaddleworth,Vicia faba,NA,NA,UK,51.52910488,-1.328157573,NA,NA,NA,5,6,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,0,125,8,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael Garratt,m.p.garratt@reading.ac.uk
14_MikeGarratt_FieldBean2005,Little Haseley,Vicia faba,NA,NA,UK,51.70090625,-1.520986138,NA,NA,NA,5,6,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,0,103,12,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael Garratt,m.p.garratt@reading.ac.uk
14_MikeGarratt_FieldBean2005,Childrey,Vicia faba,NA,NA,UK,51.57394151,-1.480470686,NA,NA,NA,5,6,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,0,76,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael Garratt,m.p.garratt@reading.ac.uk
14_MikeGarratt_FieldBean2005,S. Fawley,Vicia faba,NA,NA,UK,51.51361111,-1.430277778,NA,NA,NA,5,6,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,0,73,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael Garratt,m.p.garratt@reading.ac.uk
14_MikeGarratt_FieldBean2005,Manor Road Farm,Vicia faba,NA,NA,UK,51.56583333,-1.404444444,NA,NA,NA,5,6,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,0,79,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael Garratt,m.p.garratt@reading.ac.uk
