study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
47_RachaelWinfreeTomato_2005,bar,Solanum lycopersicum,NA,NA,USA,40.1726,-75.4038,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8.938,Chao1,only non-Apis bees,8,0,4,4,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
47_RachaelWinfreeTomato_2005,bra,Solanum lycopersicum,NA,NA,USA,40.3848,-75.2614,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.9,Chao1,only non-Apis bees,10,0,3,7,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
47_RachaelWinfreeTomato_2005,bri,Solanum lycopersicum,NA,NA,USA,40.5273,-75.0688,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,13.111,Chao1,only non-Apis bees,9,0,4,5,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
47_RachaelWinfreeTomato_2005,ker,Solanum lycopersicum,NA,NA,USA,40.342,-74.7685,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.833,Chao1,only non-Apis bees,6,0,0,6,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
47_RachaelWinfreeTomato_2005,kim,Solanum lycopersicum,NA,NA,USA,40.1428,-75.5832,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,Chao1,only non-Apis bees,3,0,1,2,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
47_RachaelWinfreeTomato_2005,lee,Solanum lycopersicum,NA,NA,USA,40.2653,-74.5641,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,only non-Apis bees,1,0,1,0,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
47_RachaelWinfreeTomato_2005,lit,Solanum lycopersicum,NA,NA,USA,40.3088,-74.7546,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4.5,Chao1,only non-Apis bees,4,0,0,4,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
47_RachaelWinfreeTomato_2005,pen,Solanum lycopersicum,NA,NA,USA,40.4362,-75.1721,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Chao1,only non-Apis bees,4,0,0,4,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
47_RachaelWinfreeTomato_2005,phi,Solanum lycopersicum,NA,NA,USA,40.57,-75.1588,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.417,Chao1,only non-Apis bees,6,0,3,3,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
47_RachaelWinfreeTomato_2005,ray,Solanum lycopersicum,NA,NA,USA,40.3189,-75.3741,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15.412,Chao1,only non-Apis bees,17,0,13,4,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
47_RachaelWinfreeTomato_2005,ter,Solanum lycopersicum,NA,NA,USA,40.3282,-74.7261,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,Chao1,only non-Apis bees,3,0,0,3,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
47_RachaelWinfreeTomato_2005,tra,Solanum lycopersicum,NA,NA,USA,40.5651,-75.1816,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10.143,Chao1,only non-Apis bees,7,0,4,3,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
47_RachaelWinfreeTomato_2005,wat,Solanum lycopersicum,NA,NA,USA,40.3512,-74.7697,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8.938,Chao1,only non-Apis bees,8,0,3,5,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
