study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
69_GreenleafKremenTomato2001,BLU,Solanum lycopersicum,SunGold,organic,USA,NA,NA,NA,NA,NA,7,8,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,only bees,33,0,33,0,0,0,0,0,0,0,0,240,24,visits to flowers per hour,1.375,0,1.375,0,0,0,0,0,0,0,0,10.1016/j.biocon.2006.05.025,"Sarah S. Greenleaf, Claire Kremen",sgreenleaf@ucdavis.edu
69_GreenleafKremenTomato2001,DAV,Solanum lycopersicum,SunGold,organic,USA,NA,NA,NA,NA,NA,7,8,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,18,visits to flowers per hour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.biocon.2006.05.025,"Sarah S. Greenleaf, Claire Kremen",sgreenleaf@ucdavis.edu
69_GreenleafKremenTomato2001,DUR,Solanum lycopersicum,SunGold,organic,USA,NA,NA,NA,NA,NA,7,8,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,Chao1,only bees,37,4,0,33,0,0,0,0,0,0,0,1920,192,visits to flowers per hour,0.19270833333333334,0.020833333333333332,0,0.171875,0,0,0,0,0,0,0,10.1016/j.biocon.2006.05.025,"Sarah S. Greenleaf, Claire Kremen",sgreenleaf@ucdavis.edu
69_GreenleafKremenTomato2001,ECK,Solanum lycopersicum,SunGold,organic,USA,NA,NA,NA,NA,NA,7,8,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,6,visits to flowers per hour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.biocon.2006.05.025,"Sarah S. Greenleaf, Claire Kremen",sgreenleaf@ucdavis.edu
69_GreenleafKremenTomato2001,EVE,Solanum lycopersicum,SunGold,organic,USA,NA,NA,NA,NA,NA,8,8,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5.846,Chao1,only bees,13,1,9,3,0,0,0,0,0,0,0,1080,108,visits to flowers per hour,0.12037037037037036,0.009259259259259259,0.08333333333333333,0.027777777777777776,0,0,0,0,0,0,0,10.1016/j.biocon.2006.05.025,"Sarah S. Greenleaf, Claire Kremen",sgreenleaf@ucdavis.edu
69_GreenleafKremenTomato2001,FID,Solanum lycopersicum,SunGold,organic,USA,NA,NA,NA,NA,NA,7,8,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Chao1,only bees,28,0,17,11,0,0,0,0,0,0,0,960,96,visits to flowers per hour,0.2916666666666667,0,0.17708333333333334,0.11458333333333333,0,0,0,0,0,0,0,10.1016/j.biocon.2006.05.025,"Sarah S. Greenleaf, Claire Kremen",sgreenleaf@ucdavis.edu
69_GreenleafKremenTomato2001,FUL3,Solanum lycopersicum,SunGold,organic,USA,NA,NA,NA,NA,NA,7,8,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Chao1,only bees,94,0,87,7,0,0,0,0,0,0,0,360,36,visits to flowers per hour,2.611111111111111,0,2.4166666666666665,0.19444444444444445,0,0,0,0,0,0,0,10.1016/j.biocon.2006.05.025,"Sarah S. Greenleaf, Claire Kremen",sgreenleaf@ucdavis.edu
69_GreenleafKremenTomato2001,GOO,Solanum lycopersicum,SunGold,organic,USA,NA,NA,NA,NA,NA,7,8,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,only bees,134,0,0,134,0,0,0,0,0,0,0,720,72,visits to flowers per hour,1.8611111111111112,0,0,1.8611111111111112,0,0,0,0,0,0,0,10.1016/j.biocon.2006.05.025,"Sarah S. Greenleaf, Claire Kremen",sgreenleaf@ucdavis.edu
69_GreenleafKremenTomato2001,JOH,Solanum lycopersicum,SunGold,organic,USA,NA,NA,NA,NA,NA,7,8,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,only bees,10,0,0,10,0,0,0,0,0,0,0,720,72,visits to flowers per hour,0.1388888888888889,0,0,0.1388888888888889,0,0,0,0,0,0,0,10.1016/j.biocon.2006.05.025,"Sarah S. Greenleaf, Claire Kremen",sgreenleaf@ucdavis.edu
69_GreenleafKremenTomato2001,RIV4,Solanum lycopersicum,SunGold,organic,USA,NA,NA,NA,NA,NA,7,8,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,Chao1,only bees,250,1,117,132,0,0,0,0,0,0,0,1440,144,visits to flowers per hour,1.7361111111111112,0.006944444444444444,0.8125,0.9166666666666666,0,0,0,0,0,0,0,10.1016/j.biocon.2006.05.025,"Sarah S. Greenleaf, Claire Kremen",sgreenleaf@ucdavis.edu
