study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
84_RuanVeldtmanApple_2011,Deepdale Farm - far,Malus domestica,Royal Gala,NA,South Africa,-34.20679,19.07202,NA,NA,NA,10,10,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,only bees,231,231,0,0,0,0,0,0,0,0,0,70,80,visits per 100 flowers and hour,2.8551417270929464,2.8551417270929464,0,0,0,0,0,0,0,0,0,10.1038/ncomms8414,"J.F. Colville, R. Veldtman",veldtman@sun.ac.za
84_RuanVeldtmanApple_2011,Graymead - far,Malus domestica,Royal Gala,NA,South Africa,-34.04225,19.12177,NA,NA,NA,10,10,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,only bees,192,192,0,0,0,0,0,0,0,0,0,70,80,visits per 100 flowers and hour,2.373104812129202,2.373104812129202,0,0,0,0,0,0,0,0,0,10.1038/ncomms8414,"J.F. Colville, R. Veldtman",veldtman@sun.ac.za
84_RuanVeldtmanApple_2011,Monteith 1 - near,Malus domestica,Royal Gala,NA,South Africa,-34.26931,19.03437,NA,NA,NA,10,10,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,only bees,149,149,0,0,0,0,0,0,0,0,0,70,80,visits per 100 flowers and hour,1.841628213579433,1.841628213579433,0,0,0,0,0,0,0,0,0,10.1038/ncomms8414,"J.F. Colville, R. Veldtman",veldtman@sun.ac.za
84_RuanVeldtmanApple_2011,Monteith 2 - near,Malus domestica,Royal Gala,NA,South Africa,-34.26404,19.03297,NA,NA,NA,10,10,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,only bees,192,192,0,0,0,0,0,0,0,0,0,70,80,visits per 100 flowers and hour,2.373104812129202,2.373104812129202,0,0,0,0,0,0,0,0,0,10.1038/ncomms8414,"J.F. Colville, R. Veldtman",veldtman@sun.ac.za
84_RuanVeldtmanApple_2011,Riverside - far,Malus domestica,Royal Gala,NA,South Africa,-34.00231,19.29695,NA,NA,NA,10,10,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,only bees,200,200,0,0,0,0,0,0,0,0,0,70,80,visits per 100 flowers and hour,2.4719841793012525,2.4719841793012525,0,0,0,0,0,0,0,0,0,10.1038/ncomms8414,"J.F. Colville, R. Veldtman",veldtman@sun.ac.za
84_RuanVeldtmanApple_2011,Rosenhof - far,Malus domestica,Royal Gala,NA,South Africa,-34.23093,19.08172,NA,NA,NA,10,10,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,only bees,371,371,0,0,0,0,0,0,0,0,0,70,80,visits per 100 flowers and hour,4.585530652603824,4.585530652603824,0,0,0,0,0,0,0,0,0,10.1038/ncomms8414,"J.F. Colville, R. Veldtman",veldtman@sun.ac.za
84_RuanVeldtmanApple_2011,Southfield - far,Malus domestica,Royal Gala,NA,South Africa,-33.96964,19.30815,NA,NA,NA,10,10,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,only bees,176,176,0,0,0,0,0,0,0,0,0,70,80,visits per 100 flowers and hour,2.175346077785102,2.175346077785102,0,0,0,0,0,0,0,0,0,10.1038/ncomms8414,"J.F. Colville, R. Veldtman",veldtman@sun.ac.za
84_RuanVeldtmanApple_2011,Transpalmiet Ratel - near,Malus domestica,Royal Gala,NA,South Africa,-34.23869,19.02767,NA,NA,NA,10,10,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,only bees,265,265,0,0,0,0,0,0,0,0,0,70,80,visits per 100 flowers and hour,3.2753790375741594,3.2753790375741594,0,0,0,0,0,0,0,0,0,10.1038/ncomms8414,"J.F. Colville, R. Veldtman",veldtman@sun.ac.za
84_RuanVeldtmanApple_2011,Transpalmiet Water site - near,Malus domestica,Royal Gala,NA,South Africa,-34.243978,19.02399,NA,NA,NA,10,10,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,only bees,167,167,0,0,0,0,0,0,0,0,0,70,80,visits per 100 flowers and hour,2.0641067897165457,2.0641067897165457,0,0,0,0,0,0,0,0,0,10.1038/ncomms8414,"J.F. Colville, R. Veldtman",veldtman@sun.ac.za
84_RuanVeldtmanApple_2011,Vredelust Farm  - near,Malus domestica,Royal Gala,NA,South Africa,-34.02232,19.3026,NA,NA,NA,10,10,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Chao1,only bees,190,189,0,1,0,0,0,0,0,0,0,70,80,visits per 100 flowers and hour,2.34838497033619,2.3360250494396837,0,0.012359920896506262,0,0,0,0,0,0,0,10.1038/ncomms8414,"J.F. Colville, R. Veldtman",veldtman@sun.ac.za
