study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Barth,Prunus dulcis,Nonpareil,NA,USA,38.7246236,-122.0091204,NA,NA,10,2,2,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,mostly bees,52,52,0,0,0,0,0,0,0,0,0,NA,13.333333333333334,visited flowers per hour,306,306,0,0,0,0,0,0,0,0,0,10.1038/ncomms8414,Alexandra-Maria Klein,alexandra.klein@nature.uni-freiburg.de
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Bramlett,Prunus dulcis,Neplus + Nonpareil,NA,USA,38.8905338,-122.2290552,NA,NA,10,2,2,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10.247,Chao1,mostly bees,96,51,8,37,0,0,0,0,0,0,0,NA,13.333333333333334,visited flowers per hour,531,315,36,180,0,0,0,0,0,0,0,10.1038/ncomms8414,Alexandra-Maria Klein,alexandra.klein@nature.uni-freiburg.de
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Etters,Prunus dulcis,Nonpareil,NA,USA,38.7679852,-122.1633011,NA,NA,10,3,3,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.479,Chao1,mostly bees,24,18,0,6,0,0,0,0,0,0,0,NA,13.333333333333334,visited flowers per hour,144,117,0,27,0,0,0,0,0,0,0,10.1038/ncomms8414,Alexandra-Maria Klein,alexandra.klein@nature.uni-freiburg.de
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Full Belly,Prunus dulcis,Neplus + Nonpareil,NA,USA,38.8708174,-122.2289264,NA,NA,10,2,2,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7.496,Chao1,mostly bees,112,91,8,13,0,0,0,0,0,0,0,NA,13.333333333333334,visited flowers per hour,909,792,45,72,0,0,0,0,0,0,0,10.1038/ncomms8414,Alexandra-Maria Klein,alexandra.klein@nature.uni-freiburg.de
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Laury,Prunus dulcis,"NA",NA,USA,38.9016493,-122.2408052,NA,NA,10,2,2,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,Chao1,mostly bees,41,16,3,22,0,0,0,0,0,0,0,NA,13.333333333333334,visited flowers per hour,225,99,18,108,0,0,0,0,0,0,0,10.1038/ncomms8414,Alexandra-Maria Klein,alexandra.klein@nature.uni-freiburg.de
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Lauwerjissen,Prunus dulcis,Neplus,NA,USA,39.0062838,-122.0967143,NA,NA,10,2,2,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,mostly bees,34,34,0,0,0,0,0,0,0,0,0,NA,13.333333333333334,visited flowers per hour,202.5,202.5,0,0,0,0,0,0,0,0,0,10.1038/ncomms8414,Alexandra-Maria Klein,alexandra.klein@nature.uni-freiburg.de
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Scheuring,Prunus dulcis,Nonpareil,NA,USA,38.7024385,-121.9547633,NA,NA,10,2,2,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,mostly bees,19,19,0,0,0,0,0,0,0,0,0,NA,13.333333333333334,visited flowers per hour,112.5,112.5,0,0,0,0,0,0,0,0,0,10.1038/ncomms8414,Alexandra-Maria Klein,alexandra.klein@nature.uni-freiburg.de
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Scofield 1,Prunus dulcis,Nonpareil,NA,USA,38.9529857,-122.0592857,NA,NA,10,2,2,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,mostly bees,3,3,0,0,0,0,0,0,0,0,0,NA,13.333333333333334,visited flowers per hour,13.5,13.5,0,0,0,0,0,0,0,0,0,10.1038/ncomms8414,Alexandra-Maria Klein,alexandra.klein@nature.uni-freiburg.de
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Scofield 2,Prunus dulcis,Nonpareil,NA,USA,38.911686,-122.0382642,NA,NA,10,2,2,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,mostly bees,48,48,0,0,0,0,0,0,0,0,0,NA,13.333333333333334,visited flowers per hour,297,297,0,0,0,0,0,0,0,0,0,10.1038/ncomms8414,Alexandra-Maria Klein,alexandra.klein@nature.uni-freiburg.de
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,T&P1,Prunus dulcis,Price,NA,USA,39.0072476,-122.1334631,NA,NA,10,2,2,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Chao1,mostly bees,10,9,0,0,0,0,1,0,0,0,0,NA,13.333333333333334,visited flowers per hour,58.5,54,0,0,0,0,4.5,0,0,0,0,10.1038/ncomms8414,Alexandra-Maria Klein,alexandra.klein@nature.uni-freiburg.de
