study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Breno_cotton,1,Gossypium hirsutum,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Fruit-set (%),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits per unit of time,11,4.8,0,6.2,0,0,0,0,0,0,0,10.1126/science.1230200,Breno M. Freitas,freitas@ufc.br
Breno_cotton,2,Gossypium hirsutum,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.8,Fruit-set (%),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits per unit of time,11.8,5.4,0,6.4,0,0,0,0,0,0,0,10.1126/science.1230200,Breno M. Freitas,freitas@ufc.br
Breno_cotton,3,Gossypium hirsutum,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8,Fruit-set (%),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits per unit of time,14.2,5.8,0,8.4,0,0,0,0,0,0,0,10.1126/science.1230200,Breno M. Freitas,freitas@ufc.br
Breno_cotton,4,Gossypium hirsutum,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Fruit-set (%),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits per unit of time,14,5.6,0,8.4,0,0,0,0,0,0,0,10.1126/science.1230200,Breno M. Freitas,freitas@ufc.br
Breno_cotton,5,Gossypium hirsutum,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Fruit-set (%),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits per unit of time,13,3.8,0,9.2,0,0,0,0,0,0,0,10.1126/science.1230200,Breno M. Freitas,freitas@ufc.br
Breno_cotton,6,Gossypium hirsutum,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Fruit-set (%),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits per unit of time,12.2,4.6,0,7.6000000000000005,0,0,0,0,0,0,0,10.1126/science.1230200,Breno M. Freitas,freitas@ufc.br
Breno_cotton,7,Gossypium hirsutum,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Fruit-set (%),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits per unit of time,13.2,4.4,0,8.6,0,0,0,0,0,0.2,0,10.1126/science.1230200,Breno M. Freitas,freitas@ufc.br
Breno_cotton,8,Gossypium hirsutum,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Fruit-set (%),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits per unit of time,12.6,4.8,0,7.8,0,0,0,0,0,0,0,10.1126/science.1230200,Breno M. Freitas,freitas@ufc.br
Breno_cotton,9,Gossypium hirsutum,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.6,Fruit-set (%),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits per unit of time,11.2,4,0,7.2,0,0,0,0,0,0,0,10.1126/science.1230200,Breno M. Freitas,freitas@ufc.br
Breno_cotton,10,Gossypium hirsutum,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Fruit-set (%),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits per unit of time,11.8,3.8,0,7.800000000000001,0,0,0,0,0,0.2,0,10.1126/science.1230200,Breno M. Freitas,freitas@ufc.br
