study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
David_Crowder_Brassica_napus_USA_2014,beck2,Brassica napus,unknown,conventional,USA,46.52049516,-116.8654018,NA,NA,NA,6,6,2014,30.35145,385.48089743519995,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.2,3.2,Only bees,5,1,0,4,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_2014,clar4,Brassica napus,unknown,conventional,USA,46.82851615,-117.1829879,NA,NA,NA,7,7,2014,28.32802,367.12466422399996,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,Only bees,5,0,0,5,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_2014,conr4,Brassica napus,DKL.30-42,conventional,USA,46.80452402,-117.3863142,NA,NA,NA,6,6,2014,86.602804,357.9465476184,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10.143,10.143,Only bees,7,1,0,6,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_2014,conr5,Brassica napus,DKL.30-42,conventional,USA,46.76715511,-117.4239025,NA,NA,NA,6,6,2014,80.127828,312.0559645904,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11.667,11.667,Only bees,6,2,1,3,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_2014,druf3,Brassica napus,unknown,conventional,USA,46.54601958,-117.0951377,NA,NA,NA,7,7,2014,30.35145,385.48089743519995,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,Only bees,1,0,0,1,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_2014,jens3,Brassica napus,HyCLASS.955,conventional,USA,46.62818398,-116.9656215,NA,NA,NA,7,7,2014,60.7029,385.48089743519995,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,Only bees,10,0,0,10,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_2014,jens4,Brassica napus,HyCLASS.955,conventional,USA,46.5844899,-117.0123397,NA,NA,NA,6,6,2014,40.4686,367.12466422399996,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,Only bees,2,0,0,2,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_2014,odbe2,Brassica napus,HyCLASS.955,conventional,USA,46.5121441,-116.8315732,NA,NA,NA,6,6,2014,89.840292,365.10547857076796,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6.571,6.571,Only bees,7,1,1,5,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_2014,olso2,Brassica napus,Oasis.beyondtolerant,conventional,USA,47.06353596,-117.1162823,NA,NA,NA,7,7,2014,60.32654202,211.0966819288,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_2014,olso3,Brassica napus,Oasis.beyondtolerant,conventional,USA,46.78988156,-117.8018531,NA,NA,NA,6,6,2014,20.2343,169.7951572036,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,Only bees,12,0,0,12,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_2014,pcfs4,Brassica napus,unknown,conventional,USA,46.7621798,-117.1967765,NA,NA,NA,7,7,2014,4.6134204,122.98676251503998,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
