study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
David_Kleijn_Malus_domestica_Netherlands_2013,E1,Malus domestica,NA,conventional,Netherlands,51.8601613,5.80627209999999,NA,NA,NA,NA,NA,2013,5,161500,kg/hectare,29,Fruit number on fixed branch length per tree,NA,NA,17,14,NA,NA,NA,NA,NA,NA,5,5.24,Chao1,NA,25,17,5,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
David_Kleijn_Malus_domestica_Netherlands_2013,E2,Malus domestica,NA,conventional,Netherlands,51.8703706,5.4417973,NA,NA,NA,NA,NA,2013,1.25,NA,NA,20,Fruit number on fixed branch length per tree,NA,NA,4,30,NA,NA,NA,NA,NA,NA,14,53.343,Chao1,NA,35,11,4,5,15,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
David_Kleijn_Malus_domestica_Netherlands_2013,E3,Malus domestica,NA,conventional,Netherlands,51.9029795,5.5128768,NA,NA,NA,NA,NA,2013,NA,NA,NA,22,Fruit number on fixed branch length per tree,NA,NA,10,27,NA,NA,NA,NA,NA,NA,6,10.368,Chao1,NA,34,25,4,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
David_Kleijn_Malus_domestica_Netherlands_2013,E4,Malus domestica,NA,conventional,Netherlands,51.8282669,5.1994014,NA,NA,NA,NA,NA,2013,4.5,157500,kg/hectare,18,Fruit number on fixed branch length per tree,NA,NA,21,26,NA,NA,NA,NA,NA,NA,18,31.395,Chao1,NA,128,72,29,4,23,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
David_Kleijn_Malus_domestica_Netherlands_2013,E5,Malus domestica,NA,conventional,Netherlands,51.7477187,5.1439569,NA,NA,NA,NA,NA,2013,7,NA,NA,20,Fruit number on fixed branch length per tree,NA,NA,13,19,NA,NA,NA,NA,NA,NA,9,33.15,Chao1,NA,70,61,4,2,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
David_Kleijn_Malus_domestica_Netherlands_2013,E6,Malus domestica,NA,conventional,Netherlands,52.0425936,5.125056,NA,NA,NA,NA,NA,2013,3,123500,kg/hectare,NA,Fruit number on fixed branch length per tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.987,Chao1,NA,79,67,10,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
David_Kleijn_Malus_domestica_Netherlands_2013,E7,Malus domestica,NA,conventional,Netherlands,51.8442913,5.6505153,NA,NA,NA,NA,NA,2013,5.3,126349.99999999999,kg/hectare,30,Fruit number on fixed branch length per tree,NA,NA,22,9,NA,NA,NA,NA,NA,NA,13,52.789,Chao1,NA,57,37,2,1,17,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
David_Kleijn_Malus_domestica_Netherlands_2013,E8,Malus domestica,NA,conventional,Netherlands,51.9036083,5.2891051,NA,NA,NA,NA,NA,2013,0.98,NA,NA,27,Fruit number on fixed branch length per tree,NA,NA,3,11,NA,NA,NA,NA,NA,NA,3,3,Chao1,NA,75,66,8,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
David_Kleijn_Malus_domestica_Netherlands_2013,E9,Malus domestica,NA,conventional,Netherlands,52.0070326,5.2756257,NA,NA,NA,NA,NA,2013,3.25,131625,kg/hectare,29,Fruit number on fixed branch length per tree,NA,NA,13,22,NA,NA,NA,NA,NA,NA,12,24.18,Chao1,NA,174,156,6,2,10,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
David_Kleijn_Malus_domestica_Netherlands_2013,E10,Malus domestica,NA,conventional,Netherlands,52.0039453,5.2189094,NA,NA,NA,NA,NA,2013,NA,NA,NA,30,Fruit number on fixed branch length per tree,NA,NA,12,29,NA,NA,NA,NA,NA,NA,11,17.222,Chao1,NA,222,185,19,6,12,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
David_Kleijn_Malus_domestica_Netherlands_2013,E11,Malus domestica,NA,conventional,Netherlands,51.8751674,5.2435112,NA,NA,NA,NA,NA,2013,6,180000,kg/hectare,30,Fruit number on fixed branch length per tree,NA,NA,15,23,NA,NA,NA,NA,NA,NA,6,8.22,Chao1,NA,76,69,0,0,7,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
David_Kleijn_Malus_domestica_Netherlands_2013,E12,Malus domestica,NA,conventional,Netherlands,52.0388246,5.1987092,NA,NA,NA,NA,NA,2013,1.5,20000,kg/hectare,8,Fruit number on fixed branch length per tree,NA,NA,4,25,NA,NA,NA,NA,NA,NA,5,5.236,Chao1,NA,18,9,7,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
David_Kleijn_Malus_domestica_Netherlands_2013,E13,Malus domestica,NA,conventional,Netherlands,51.8536685,5.2779504,NA,NA,NA,NA,NA,2013,1.25,59500,kg/hectare,5,Fruit number on fixed branch length per tree,NA,NA,10,13,NA,NA,NA,NA,NA,NA,6,11.882,Chao1,NA,51,43,2,1,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
David_Kleijn_Malus_domestica_Netherlands_2013,E14,Malus domestica,NA,conventional,Netherlands,51.8654452,5.3574102,NA,NA,NA,NA,NA,2013,5.95,277704,kg/hectare,17,Fruit number on fixed branch length per tree,NA,NA,25,21,NA,NA,NA,NA,NA,NA,8,13.936,Chao1,NA,94,74,7,1,12,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
David_Kleijn_Malus_domestica_Netherlands_2013,E15,Malus domestica,NA,conventional,Netherlands,51.9172435,5.7995369,NA,NA,NA,NA,NA,2013,25,900000,kg/hectare,30,Fruit number on fixed branch length per tree,NA,NA,30,28,NA,NA,NA,NA,NA,NA,7,11.2,Chao1,NA,15,3,7,1,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
