study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
James_Reilly_Citrullus_lanatus_USA_2013,watermelon_ca_1_0,Citrullus lanatus,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,10.05,number of fruits,13.79555556,kg/m2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,0.415,0.37,0,0.044999999999999984,0,NA,NA,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Citrullus_lanatus_USA_2013,watermelon_ca_1_25,Citrullus lanatus,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,8.95,number of fruits,14.03333333,kg/m2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,0.6,0.51,0,0.08499999999999996,0.005,NA,NA,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Citrullus_lanatus_USA_2013,watermelon_ca_1_50,Citrullus lanatus,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,9.45,number of fruits,14.32666667,kg/m2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,0.75,0.575,0,0.16500000000000004,0.01,NA,NA,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Citrullus_lanatus_USA_2014,watermelon_ca_2_0,Citrullus lanatus,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2014,NA,12.3,number of fruits,14.12222222,kg/m2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,0.71875,0.61875,0,0.09999999999999998,0,NA,NA,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Citrullus_lanatus_USA_2014,watermelon_ca_2_25,Citrullus lanatus,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2014,NA,14.05,number of fruits,15.65555556,kg/m2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,0.475,0.4125,0,0.05625000000000002,0.00625,NA,NA,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Citrullus_lanatus_USA_2014,watermelon_ca_2_50,Citrullus lanatus,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2014,NA,11.5,number of fruits,12.71555556,kg/m2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,0.5625,0.5,0,0.0625,0,NA,NA,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Citrullus_lanatus_USA_2014,watermelon_ca_2_100,Citrullus lanatus,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2014,NA,11,number of fruits,12.77111111,kg/m2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,0.375,0.35,0,0.025000000000000022,0,NA,NA,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Citrullus_lanatus_USA_2013,watermelon_ca_3_0,Citrullus lanatus,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,1.3,number of fruits,2.648888889,kg/m2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,0.235,0.2,0,0.034999999999999976,0,NA,NA,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Citrullus_lanatus_USA_2013,watermelon_ca_3_25,Citrullus lanatus,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,1.7,number of fruits,3.618888889,kg/m2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,0.48,0.465,0,0.014999999999999958,0,NA,NA,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Citrullus_lanatus_USA_2013,watermelon_ca_3_50,Citrullus lanatus,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,1.95,number of fruits,4.431666667,kg/m2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,0.185,0.165,0,0.01999999999999999,0,NA,NA,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
