study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Mia_Park_Malus_domestica_USA_2011,BakersAcres,Malus domestica,NA,IPM,USA,42.606647,-76.499462,NA,NA,NA,4,5,2011,2.1043672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,59.805,Chao1,only bees,185,12,5,168,0,0,0,0,0,0,0,600,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1038/ncomms8414,Mia Park,mia.park@ndsu.edu
Mia_Park_Malus_domestica_USA_2011,BartlesonAlton,Malus domestica,NA,IPM,USA,43.210033,-76.985768,NA,NA,NA,4,5,2011,4.04686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,43.063,Chao1,only bees,326,112,6,208,0,0,0,0,0,0,0,1200,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1038/ncomms8414,Mia Park,mia.park@ndsu.edu
Mia_Park_Malus_domestica_USA_2011,BartlesonHome,Malus domestica,NA,IPM,USA,43.215188,-77.018801,NA,NA,NA,4,5,2011,18.21087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,34.517,Chao1,only bees,166,81,12,73,0,0,0,0,0,0,0,1200,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1038/ncomms8414,Mia Park,mia.park@ndsu.edu
Mia_Park_Malus_domestica_USA_2011,Cornell01,Malus domestica,NA,IPM,USA,42.444969,-76.461382,NA,NA,NA,4,5,2011,7.284348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,16.114,Chao1,only bees,99,7,1,91,0,0,0,0,0,0,0,600,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1038/ncomms8414,Mia Park,mia.park@ndsu.edu
Mia_Park_Malus_domestica_USA_2011,Cornell02,Malus domestica,NA,IPM,USA,42.572777,-76.594966,NA,NA,NA,4,5,2011,12.14058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,40.042,Chao1,only bees,182,95,8,79,0,0,0,0,0,0,0,1200,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1038/ncomms8414,Mia Park,mia.park@ndsu.edu
Mia_Park_Malus_domestica_USA_2011,Endres,Malus domestica,NA,IPM,USA,43.249082,-77.045889,NA,NA,NA,4,5,2011,26.30459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,30.557,Chao1,only bees,326,66,4,256,0,0,0,0,0,0,0,1200,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1038/ncomms8414,Mia Park,mia.park@ndsu.edu
Mia_Park_Malus_domestica_USA_2011,GrisamoreFarms,Malus domestica,NA,IPM,USA,42.656582,-76.471825,NA,NA,NA,4,5,2011,5.665604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,33.7,Chao1,only bees,134,26,26,82,0,0,0,0,0,0,0,1100,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1038/ncomms8414,Mia Park,mia.park@ndsu.edu
Mia_Park_Malus_domestica_USA_2011,Hastings,Malus domestica,NA,IPM,USA,42.842984,-77.018433,NA,NA,NA,4,5,2011,4.856232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7.949,Chao1,only bees,39,18,14,7,0,0,0,0,0,0,0,600,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1038/ncomms8414,Mia Park,mia.park@ndsu.edu
Mia_Park_Malus_domestica_USA_2011,HomeSouth,Malus domestica,NA,IPM,USA,42.853851,-77.021808,NA,NA,NA,4,5,2011,12.949952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,34.943,Chao1,only bees,77,27,11,39,0,0,0,0,0,0,0,1200,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1038/ncomms8414,Mia Park,mia.park@ndsu.edu
Mia_Park_Malus_domestica_USA_2011,IndianCreek,Malus domestica,NA,IPM,USA,42.469951,-76.550223,NA,NA,NA,4,5,2011,5.867947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,40.755,Chao1,only bees,49,7,3,39,0,0,0,0,0,0,0,400,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1038/ncomms8414,Mia Park,mia.park@ndsu.edu
