study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Silvia_Castro_Helianthus_annuus_Spain_several_years,AUS-EGI1,Helianthus annuus,Koipesol OLEKO,conventional,Spain,42.22003936767578,-3.614569902420044,NA,NA,NA,7,8,2017,1.26,2366.100884586,kg/ha,NA,NA,NA,NA,NA,NA,1275.29,0.045,4.274,1,1275.29,4.341,3,NA,NA,NA,564,558,0,3,0,NA,NA,NA,NA,NA,NA,2400,160,NA,3408,3371.74468085106,0,18.1276595744681,0,NA,NA,NA,NA,NA,NA,In preparation,"Lucie Mota, Sílvia Castro, João Loureiro","scastro@bot.uc.pt, luciemota.bio@gmail.com"
Silvia_Castro_Helianthus_annuus_Spain_several_years,AUS-EGI2,Helianthus annuus,Fortimi,conventional,Spain,42.23714065551758,-3.5623300075531006,NA,NA,NA,7,8,2017,1.06,1542.96452778,kg/ha,NA,NA,NA,NA,NA,NA,1097.22,0.035,4.082,1,1097.22,3.445,11,NA,NA,NA,842,826,0,7,0,NA,NA,NA,NA,NA,NA,2400,160,NA,5166,5067.83372921615,0,42.9477434679335,0,NA,NA,NA,NA,NA,NA,In preparation,"Lucie Mota, Sílvia Castro, João Loureiro","scastro@bot.uc.pt, luciemota.bio@gmail.com"
Silvia_Castro_Helianthus_annuus_Spain_several_years,AUS-NGI1,Helianthus annuus,Fortimi,conventional,Spain,42.250770568847656,-3.617650032043457,NA,NA,NA,7,8,2017,1.08,948.989221936,kg/ha,NA,NA,NA,NA,NA,NA,855.61,0.029,4.007,1,855.61,2.768,1,NA,NA,NA,542,542,0,0,0,NA,NA,NA,NA,NA,NA,2400,160,NA,3336,3336,0,0,0,NA,NA,NA,NA,NA,NA,In preparation,"Lucie Mota, Sílvia Castro, João Loureiro","scastro@bot.uc.pt, luciemota.bio@gmail.com"
Silvia_Castro_Helianthus_annuus_Spain_several_years,AUS-NON1,Helianthus annuus,Koipesol OLEKO,conventional,Spain,42.2221794128418,-3.6210899353027344,NA,NA,NA,7,8,2017,1.1,1583.519192136,kg/ha,NA,NA,NA,NA,NA,NA,793.47,0.043,4.221,1,793.47,4.728,4,NA,NA,NA,271,266,0,0,0,NA,NA,NA,NA,NA,NA,2400,160,NA,2988,2932.87084870849,0,0,0,NA,NA,NA,NA,NA,NA,In preparation,"Lucie Mota, Sílvia Castro, João Loureiro","scastro@bot.uc.pt, luciemota.bio@gmail.com"
Silvia_Castro_Helianthus_annuus_Spain_several_years,MEL-EGI1,Helianthus annuus,Fortimi,conventional,Spain,42.41695022583008,-4.319990158081055,NA,NA,NA,7,8,2017,1.07,685.140822432,kg/ha,NA,NA,NA,NA,NA,NA,537.84,0.04,3.253,1,537.84,3.916,11,NA,NA,NA,211,192,1,7,0,NA,NA,NA,NA,NA,NA,2400,160,NA,960,873.554502369668,4.54976303317536,31.8483412322275,0,NA,NA,NA,NA,NA,NA,In preparation,"Lucie Mota, Sílvia Castro, João Loureiro","scastro@bot.uc.pt, luciemota.bio@gmail.com"
Silvia_Castro_Helianthus_annuus_Spain_several_years,MEL-NGI1,Helianthus annuus,Fortimi,conventional,Spain,42.39973068237305,-4.270599842071533,NA,NA,NA,7,8,2017,1.08,1298.924142432,kg/ha,NA,NA,NA,NA,NA,NA,630.39,0.072,3.092,1,630.39,6.664,16,NA,NA,NA,374,353,4,7,0,NA,NA,NA,NA,NA,NA,2400,160,NA,2112,1993.41176470588,22.5882352941176,39.5294117647059,0,NA,NA,NA,NA,NA,NA,In preparation,"Lucie Mota, Sílvia Castro, João Loureiro","scastro@bot.uc.pt, luciemota.bio@gmail.com"
Silvia_Castro_Helianthus_annuus_Spain_several_years,MEL-NON1,Helianthus annuus,Fortimi,conventional,Spain,42.40388107299805,-4.267300128936768,NA,NA,NA,7,8,2017,1.11,1277.346802683,kg/ha,NA,NA,NA,NA,NA,NA,939.81,0.038,3.787,1,939.81,3.589,11,NA,NA,NA,563,551,1,1,3,NA,NA,NA,NA,NA,NA,2400,160,NA,2586,2530.8809946714,4.59325044404973,4.59325044404973,13.7797513321492,NA,NA,NA,NA,NA,NA,In preparation,"Lucie Mota, Sílvia Castro, João Loureiro","scastro@bot.uc.pt, luciemota.bio@gmail.com"
Silvia_Castro_Helianthus_annuus_Spain_several_years,PRE-EGI1,Helianthus annuus,Rivollia,conventional,Spain,42.201019287109375,-3.8765499591827393,NA,NA,NA,7,8,2017,1.11,1194.86315475,kg/ha,NA,NA,NA,NA,NA,NA,841.29,0.034,4.35,1,841.29,3.265,5,NA,NA,NA,7,3,0,1,0,NA,NA,NA,NA,NA,NA,2400,160,NA,30,12.8571428571429,0,4.28571428571429,0,NA,NA,NA,NA,NA,NA,In preparation,"Lucie Mota, Sílvia Castro, João Loureiro","scastro@bot.uc.pt, luciemota.bio@gmail.com"
Silvia_Castro_Helianthus_annuus_Spain_several_years,PRE-EGI2,Helianthus annuus,Nautic,conventional,Spain,42.187591552734375,-3.829619884490967,NA,NA,NA,7,8,2017,1.55,895.24396593,kg/ha,NA,NA,NA,NA,NA,NA,665.19,0.031,4.714,1,665.19,2.855,7,NA,NA,NA,93,77,0,6,0,NA,NA,NA,NA,NA,NA,2400,160,NA,504,417.290322580645,0,32.5161290322581,0,NA,NA,NA,NA,NA,NA,In preparation,"Lucie Mota, Sílvia Castro, João Loureiro","scastro@bot.uc.pt, luciemota.bio@gmail.com"
Silvia_Castro_Helianthus_annuus_Spain_several_years,PRE-NGI2,Helianthus annuus,Rivollia,conventional,Spain,42.175201416015625,-3.9032199382781982,NA,NA,NA,7,8,2017,1.08,1618.5486581,kg/ha,NA,NA,NA,NA,NA,NA,979.15,0.034,4.994,1,979.15,3.31,1,NA,NA,NA,3,3,0,0,0,NA,NA,NA,NA,NA,NA,2400,160,NA,12,12,0,0,0,NA,NA,NA,NA,NA,NA,In preparation,"Lucie Mota, Sílvia Castro, João Loureiro","scastro@bot.uc.pt, luciemota.bio@gmail.com"
