study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Sunflowers_SouthAfrica_2011,A1,Helianthus annuus,"NA",NA,South Africa,-24.99804,28.54212,NA,NA,NA,3,3,2011,420.3696,0.8248435059523809,Weight of 10 sunflower heads (kg),NA,NA,NA,NA,NA,NA,NA,NA,10760,NA,NA,NA,7,7,Chao1,NA,436,368,0,48,17,0,3,0,0,0,0,NA,136,visits per 100 sunflowers heads and hour,48.08823529411765,40.58823529411765,0,5.294117647058823,1.875,0,0.33088235294117646,0,0,0,0,10.1126/science.aac7287,Ruan Veldtman & Jonathan Colville,R.Veldtman@sanbi.org.za
Sunflowers_SouthAfrica_2011,A2,Helianthus annuus,"NA",NA,South Africa,-25.0084,28.54034,NA,NA,NA,3,3,2011,351.562,0.8633140937500001,Weight of 10 sunflower heads (kg),NA,NA,NA,NA,NA,NA,NA,NA,11445.43,NA,NA,NA,8,12.487,Chao1,NA,353,284,0,59,6,0,0,0,4,0,0,NA,104,visits per 100 sunflowers heads and hour,50.91346153846154,40.96153846153846,0,8.509615384615385,0.8653846153846153,0,0,0,0.576923076923077,0,0,10.1126/science.aac7287,Ruan Veldtman & Jonathan Colville,R.Veldtman@sanbi.org.za
Sunflowers_SouthAfrica_2011,A3,Helianthus annuus,"NA",NA,South Africa,-25.03055,28.50256,NA,NA,NA,3,3,2011,449.5013,0.6071937416666667,Weight of 10 sunflower heads (kg),NA,NA,NA,NA,NA,NA,NA,NA,23000,NA,NA,NA,8,12.491,Chao1,NA,493,460,0,24,6,0,1,1,1,0,0,NA,134,visits per 100 sunflowers heads and hour,55.1865671641791,51.49253731343284,0,2.6865671641791042,0.6716417910447761,0,0.11194029850746269,0.11194029850746269,0.11194029850746269,0,0,10.1126/science.aac7287,Ruan Veldtman & Jonathan Colville,R.Veldtman@sanbi.org.za
Sunflowers_SouthAfrica_2011,A4,Helianthus annuus,"NA",NA,South Africa,-25.01007,28.39907,NA,NA,NA,3,3,2011,174.0775,0.5910204055555556,Weight of 10 sunflower heads (kg),NA,NA,NA,NA,NA,NA,NA,NA,25750,NA,NA,NA,6,7.991,Chao1,NA,225,208,0,3,3,0,0,0,1,0,10,NA,140,visits per 100 sunflowers heads and hour,24.107142857142858,22.285714285714285,0,0.32142857142857145,0.32142857142857145,0,0,0,0.10714285714285714,0,1.0714285714285714,10.1126/science.aac7287,Ruan Veldtman & Jonathan Colville,R.Veldtman@sanbi.org.za
Sunflowers_SouthAfrica_2011,A5,Helianthus annuus,"NA",NA,South Africa,-25.03486,28.40107,NA,NA,NA,3,3,2011,245.407,0.8100133722222222,Weight of 10 sunflower heads (kg),NA,NA,NA,NA,NA,NA,NA,NA,9611.11,NA,NA,NA,7,12.979,Chao1,NA,290,274,0,4,8,0,1,0,3,0,0,NA,102,visits per 100 sunflowers heads and hour,42.64705882352941,40.294117647058826,0,0.5882352941176471,1.1764705882352942,0,0.14705882352941177,0,0.4411764705882353,0,0,10.1126/science.aac7287,Ruan Veldtman & Jonathan Colville,R.Veldtman@sanbi.org.za
Sunflowers_SouthAfrica_2011,N1,Helianthus annuus,"NA",NA,South Africa,-25.01626,28.48907,NA,NA,NA,3,3,2011,392.4519,0.9396728794642858,Weight of 10 sunflower heads (kg),NA,NA,NA,NA,NA,NA,NA,NA,11875,NA,NA,NA,11,13.242,Chao1,NA,280,152,0,110,2,0,3,0,8,0,5,NA,153,visits per 100 sunflowers heads and hour,27.45098039215686,14.901960784313726,0,10.784313725490197,0.19607843137254904,0,0.29411764705882354,0,0.7843137254901962,0,0.4901960784313726,10.1126/science.aac7287,Ruan Veldtman & Jonathan Colville,R.Veldtman@sanbi.org.za
Sunflowers_SouthAfrica_2011,N2,Helianthus annuus,"NA",NA,South Africa,-24.94432,28.46757,NA,NA,NA,3,3,2011,405.4108,0.4934462698412698,Weight of 10 sunflower heads (kg),NA,NA,NA,NA,NA,NA,NA,NA,27000,NA,NA,NA,10,10.665,Chao1,NA,403,353,0,32,10,0,3,0,5,0,0,NA,134,visits per 100 sunflowers heads and hour,45.11194029850746,39.51492537313433,0,3.582089552238806,1.1194029850746268,0,0.33582089552238803,0,0.5597014925373134,0,0,10.1126/science.aac7287,Ruan Veldtman & Jonathan Colville,R.Veldtman@sanbi.org.za
Sunflowers_SouthAfrica_2011,N3,Helianthus annuus,"NA",NA,South Africa,-24.94365,28.4476,NA,NA,NA,3,3,2011,249.338,0.7270666729166667,Weight of 10 sunflower heads (kg),NA,NA,NA,NA,NA,NA,NA,NA,21000,NA,NA,NA,18,22.488,Chao1,NA,383,330,0,22,3,0,1,5,21,1,0,NA,114,visits per 100 sunflowers heads and hour,50.39473684210527,43.42105263157895,0,2.894736842105263,0.39473684210526316,0,0.13157894736842105,0.6578947368421052,2.763157894736842,0.13157894736842105,0,10.1126/science.aac7287,Ruan Veldtman & Jonathan Colville,R.Veldtman@sanbi.org.za
Sunflowers_SouthAfrica_2011,N4,Helianthus annuus,"NA",NA,South Africa,-24.92749,28.50247,NA,NA,NA,3,3,2011,447.2708,0.7098472569444445,Weight of 10 sunflower heads (kg),NA,NA,NA,NA,NA,NA,NA,NA,23500,NA,NA,NA,10,27.949,Chao1,NA,353,332,0,11,3,0,0,0,6,0,1,NA,114,visits per 100 sunflowers heads and hour,46.44736842105263,43.684210526315795,0,1.4473684210526314,0.39473684210526316,0,0,0,0.7894736842105263,0,0.13157894736842105,10.1126/science.aac7287,Ruan Veldtman & Jonathan Colville,R.Veldtman@sanbi.org.za
Sunflowers_SouthAfrica_2011,N5,Helianthus annuus,"NA",NA,South Africa,-24.9285,28.56098,NA,NA,NA,3,3,2011,137.1338,0.4272099134920635,Weight of 10 sunflower heads (kg),NA,NA,NA,NA,NA,NA,NA,NA,14625,NA,NA,NA,14,18.16,Chao1,NA,610,564,0,22,4,0,0,2,12,0,6,NA,139,visits per 100 sunflowers heads and hour,65.8273381294964,60.86330935251798,0,2.3741007194244603,0.43165467625899284,0,0,0.21582733812949642,1.2949640287769784,0,0.6474820143884892,10.1126/science.aac7287,Ruan Veldtman & Jonathan Colville,R.Veldtman@sanbi.org.za
