study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Taki01,1,Fagopyrum esculentum,NA,conventional,Japan,36.58494,140.44174,NA,NA,NA,NA,NA,2007,0.25507399999999997,10.55751014677475,seed set,NA,NA,0.17006802721088435,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12.461,Chao1,38,14,0,3,6,0,4,5,2,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and forest products research institute",htaki@affrc.go.jp
Taki01,2,Fagopyrum esculentum,NA,conventional,Japan,36.5875,140.44562,NA,NA,NA,NA,NA,2007,0.305298,9.341299141846378,seed set,NA,NA,2.324973876698015,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,20.926,Chao1,34,15,0,3,4,0,4,2,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and forest products research institute",htaki@affrc.go.jp
Taki01,3,Fagopyrum esculentum,NA,conventional,Japan,36.59589,140.43996,NA,NA,NA,NA,NA,2007,0.546323,12.87497989892185,seed set,NA,NA,1.0822510822510822,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,18.71,Chao1,31,15,0,9,2,0,1,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and forest products research institute",htaki@affrc.go.jp
Taki01,4,Fagopyrum esculentum,NA,conventional,Japan,36.58083,140.46078,NA,NA,NA,NA,NA,2007,0.323393,21.61964268209972,seed set,NA,NA,0.1792114695340502,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,78.29,Chao1,50,9,0,12,5,0,8,1,3,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and forest products research institute",htaki@affrc.go.jp
Taki01,5,Fagopyrum esculentum,NA,conventional,Japan,36.56832,140.46266,NA,NA,NA,NA,NA,2007,0.17464400000000002,7.62269393751941,seed set,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,18.806,Chao1,31,9,0,2,4,0,4,3,4,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and forest products research institute",htaki@affrc.go.jp
Taki01,6,Fagopyrum esculentum,NA,conventional,Japan,36.62001,140.44448,NA,NA,NA,NA,NA,2007,0.307412,15.8795518530909,seed set,NA,NA,1.185747663551402,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,16.067,Chao1,42,5,0,15,2,0,7,1,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and forest products research institute",htaki@affrc.go.jp
Taki01,7,Fagopyrum esculentum,NA,conventional,Japan,36.62213,140.4498,NA,NA,NA,NA,NA,2007,0.154535,11.390306451748097,seed set,NA,NA,1.668263090676884,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,44.385,Chao1,52,5,0,27,2,0,5,0,1,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and forest products research institute",htaki@affrc.go.jp
Taki01,8,Fagopyrum esculentum,NA,conventional,Japan,36.63956,140.45187,NA,NA,NA,NA,NA,2007,0.192711,10.598462721589476,seed set,NA,NA,0.7212885154061625,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,35.8,Chao1,35,0,0,15,9,0,5,1,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and forest products research institute",htaki@affrc.go.jp
Taki01,9,Fagopyrum esculentum,NA,conventional,Japan,36.63495,140.45381,NA,NA,NA,NA,NA,2007,0.31643800000000005,18.94381095054694,seed set,NA,NA,3.0701131804072976,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,23.951,Chao1,41,1,0,21,6,0,6,0,1,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and forest products research institute",htaki@affrc.go.jp
Taki01,10,Fagopyrum esculentum,NA,conventional,Japan,36.62191,140.46072,NA,NA,NA,NA,NA,2007,0.173633,14.400601187793303,seed set,NA,NA,0.30864197530864196,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,66.864,Chao1,44,11,0,9,4,0,8,2,2,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and forest products research institute",htaki@affrc.go.jp
