study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
fije02,IT01,Allium porrum,NA,conventional,Italy,NA,NA,NA,NA,NA,5,6,2016,NA,-0.16341473339298762,z-score Seeds produced (average of female lines),-0.1252380716246628,"z-score Seed set (%, average of female lines)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,46.149,Chao1,NA,860,27,5,80,82,0,0,0,0,6,0,600,60,visits per 100 flowers and hour,0.004682622268470343,3.121748178980229e-4,0,0.002497398543184183,0.0018730489073881373,0,0,0,0,0,0,NA,Thijs Fijen,thijs.fijen@wur.nl
fije02,IT02,Allium porrum,NA,conventional,Italy,NA,NA,NA,NA,NA,5,6,2016,NA,-0.5473477747666653,z-score Seeds produced (average of female lines),-0.7015191330998274,"z-score Seed set (%, average of female lines)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,23.973,Chao1,NA,954,68,27,185,8,0,0,0,0,6,0,600,60,visits per 100 flowers and hour,0.005190311418685121,0.0010380622837370243,1.2975778546712804e-4,0.0012975778546712802,0.0024653979238754326,0,0,0,0,2.595155709342561e-4,0,NA,Thijs Fijen,thijs.fijen@wur.nl
fije02,IT03,Allium porrum,NA,conventional,Italy,NA,NA,NA,NA,NA,5,6,2016,NA,-0.5548819446645882,z-score Seeds produced (average of female lines),-0.4855103589515966,"z-score Seed set (%, average of female lines)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,38.47,Chao1,NA,940,45,241,85,25,0,0,0,0,49,0,450,45,visits per 100 flowers and hour,0.002,3.333333333333333e-4,5e-4,3.333333333333333e-4,1.6666666666666666e-4,0,0,0,0,6.666666666666666e-4,0,NA,Thijs Fijen,thijs.fijen@wur.nl
fije02,IT04,Allium porrum,NA,conventional,Italy,NA,NA,NA,NA,NA,5,6,2016,NA,-0.4289684203431147,z-score Seeds produced (average of female lines),-0.2220504033346763,"z-score Seed set (%, average of female lines)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,42.471,Chao1,NA,1120,11,6,172,22,0,0,0,0,249,0,600,60,visits per 100 flowers and hour,0.0028599605522682445,0,0,0.001282051282051282,3.944773175542406e-4,0,0,0,0,0.001183431952662722,0,NA,Thijs Fijen,thijs.fijen@wur.nl
fije02,IT05,Allium porrum,NA,conventional,Italy,NA,NA,NA,NA,NA,5,6,2016,NA,0.4062923602582744,z-score Seeds produced (average of female lines),0.8205203569523938,"z-score Seed set (%, average of female lines)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,47.217,Chao1,NA,1117,108,34,293,100,0,0,0,0,87,0,450,45,visits per 100 flowers and hour,0.013333333333333332,0.004166666666666667,3.333333333333333e-4,0.006166666666666667,0.0026666666666666666,0,0,0,0,0,0,NA,Thijs Fijen,thijs.fijen@wur.nl
fije02,IT06,Allium porrum,NA,conventional,Italy,NA,NA,NA,NA,NA,5,6,2016,NA,0.5884541392971285,z-score Seeds produced (average of female lines),0.3779412810410742,"z-score Seed set (%, average of female lines)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,36.493,Chao1,NA,1490,92,5,197,57,0,0,0,0,314,0,750,75,visits per 100 flowers and hour,0.004536489151873767,3.944773175542406e-4,0,0.003254437869822485,6.903353057199211e-4,0,0,0,0,1.972386587771203e-4,0,NA,Thijs Fijen,thijs.fijen@wur.nl
fije02,IT07,Allium porrum,NA,conventional,Italy,NA,NA,NA,NA,NA,5,6,2016,NA,0.6623509289808768,z-score Seeds produced (average of female lines),0.7325294280054543,"z-score Seed set (%, average of female lines)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,43.993,Chao1,NA,1969,130,723,339,122,0,0,0,0,160,0,450,45,visits per 100 flowers and hour,0.0140625,0.0015625,0.004166666666666667,0.00390625,0.0026041666666666665,0,0,0,0,0.0018229166666666667,0,NA,Thijs Fijen,thijs.fijen@wur.nl
fije02,IT08,Allium porrum,NA,conventional,Italy,NA,NA,NA,NA,NA,5,6,2016,NA,0.6610092274922076,z-score Seeds produced (average of female lines),0.09999448323774324,"z-score Seed set (%, average of female lines)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,33.093,Chao1,NA,973,18,13,103,23,0,1,0,0,155,0,600,60,visits per 100 flowers and hour,0.004214360041623309,7.804370447450572e-4,0,0.0026534859521331945,3.121748178980229e-4,0,0,0,0,4.682622268470343e-4,0,NA,Thijs Fijen,thijs.fijen@wur.nl
fije02,IT09,Allium porrum,NA,conventional,Italy,NA,NA,NA,NA,NA,5,6,2016,NA,0.6629701758218052,z-score Seeds produced (average of female lines),0.7031635491093701,"z-score Seed set (%, average of female lines)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,76.538,Chao1,NA,1961,237,171,415,106,0,0,0,0,207,0,750,75,visits per 100 flowers and hour,0.011634349030470914,0.0014542936288088643,0.002389196675900277,0.005401662049861496,0.0011426592797783935,0,0,0,0,0.0012465373961218836,0,NA,Thijs Fijen,thijs.fijen@wur.nl
fije02,IT10,Allium porrum,NA,conventional,Italy,NA,NA,NA,NA,NA,5,6,2016,NA,-0.4570409437983946,z-score Seeds produced (average of female lines),0.1891462992721954,"z-score Seed set (%, average of female lines)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,25.498,Chao1,NA,1177,23,503,93,42,0,0,0,0,21,0,450,45,visits per 100 flowers and hour,0.006333333333333333,0,0.0031666666666666666,0.0015,0.001,0,0,0,0,6.666666666666666e-4,0,NA,Thijs Fijen,thijs.fijen@wur.nl
