study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,pollinator_richness,richness_estimator_method,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
grab011,BH,Fragaria x ananassa,NA,organic,USA,42.604006151108464,-76.85941013009894,347470.631799999,4718517.5862,18N,NA,NA,2012,NA,12.04,grams (mean fruit weight for 10 fruits per field),NA,NA,9.65,12.48,NA,NA,NA,NA,NA,NA,NA,NA,4,Chao1,27,15,0,12,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.agee.2015.05.004,USDA NASS,hlc66@cornell.edu
grab011,BS,Fragaria x ananassa,NA,organic,USA,42.51115215019923,-76.35759498983792,388470.57,4707424.3461,18N,NA,NA,2012,NA,12.04,grams (mean fruit weight for 10 fruits per field),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.agee.2015.05.004,USDA NASS,hlc66@cornell.edu
grab011,BT,Fragaria x ananassa,NA,organic,USA,42.61117409064394,-76.30619017609804,392864.9451,4718464.66049999,18N,NA,NA,2012,NA,10.74,grams (mean fruit weight for 10 fruits per field),NA,NA,4.55,10.53,NA,NA,NA,NA,NA,NA,NA,NA,11.333,Chao1,27,11,0,16,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.agee.2015.05.004,USDA NASS,hlc66@cornell.edu
grab011,DAR,Fragaria x ananassa,NA,conventional,USA,42.87823316934299,-77.05088126690387,332503.622,4749333.18249999,18N,NA,NA,2012,NA,8.2,grams (mean fruit weight for 10 fruits per field),NA,NA,2.2,6.79,NA,NA,NA,NA,NA,NA,NA,NA,1,Chao1,1,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.agee.2015.05.004,USDA NASS,hlc66@cornell.edu
grab011,ELD,Fragaria x ananassa,NA,organic,USA,42.97335153900863,-76.4948172837445,378106.263899999,4758939.55059999,18N,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,Chao1,10,0,0,10,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.agee.2015.05.004,USDA NASS,hlc66@cornell.edu
grab011,FLZ,Fragaria x ananassa,NA,organic,USA,42.941115120588215,-77.03702997376763,333804.005099999,4756288.86229999,18N,NA,NA,2012,NA,8.45,grams (mean fruit weight for 10 fruits per field),NA,NA,10.92,20.3,NA,NA,NA,NA,NA,NA,NA,NA,15.091,Chao1,11,1,0,10,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.agee.2015.05.004,USDA NASS,hlc66@cornell.edu
grab011,FV,Fragaria x ananassa,NA,conventional,USA,42.520299397655194,-76.3320139065232,390588.1072,4708406.73259999,18N,NA,NA,2012,NA,3.26,grams (mean fruit weight for 10 fruits per field),NA,NA,2.63,3.84,NA,NA,NA,NA,NA,NA,NA,NA,4.45,Chao1,10,0,0,10,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.agee.2015.05.004,USDA NASS,hlc66@cornell.edu
grab011,GS,Fragaria x ananassa,NA,conventional,USA,43.16673194757785,-77.3351880002594,310174.689,4781977.5425,18N,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.agee.2015.05.004,USDA NASS,hlc66@cornell.edu
grab011,GRS,Fragaria x ananassa,NA,conventional,USA,42.65832884515483,-76.47461542455544,379141.588899999,4723927.93689999,18N,NA,NA,2012,NA,6.91,grams (mean fruit weight for 10 fruits per field),NA,NA,7.61,13.95,NA,NA,NA,NA,NA,NA,NA,NA,6.667,Chao1,9,6,0,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.agee.2015.05.004,USDA NASS,hlc66@cornell.edu
grab011,KP,Fragaria x ananassa,NA,organic,USA,42.443289737251916,-76.5402703140424,373326.2543,4700145.29549999,18N,NA,NA,2012,NA,8.77,grams (mean fruit weight for 10 fruits per field),NA,NA,9.41,15.85,NA,NA,NA,NA,NA,NA,NA,NA,5.472,Chao1,18,9,0,9,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.agee.2015.05.004,USDA NASS,hlc66@cornell.edu
