study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
grab012,BTPT,Fragaria x ananassa,NA,organic,USA,42.61134751871361,-76.30609247164412,392873.256299999,4718483.7948,18N,NA,NA,2014,0.005,4.170769231,grams (average fruit weight),71.15384614999999,pollination rate (% seed set per fruit),NA,3.715,NA,73.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,only bees,65,2,0,63,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USDA NASS,hlc66@cornell.edu
grab012,BTH,Fragaria x ananassa,NA,organic,USA,42.60997537232833,-76.30346319112861,393086.567999999,4718328.1018,18N,NA,NA,2014,0.005,5.114285714,grams (average fruit weight),92.142857143,pollination rate (% seed set per fruit),NA,6.175,NA,98.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,only bees,111,0,0,111,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USDA NASS,hlc66@cornell.edu
grab012,CRTCEM,Fragaria x ananassa,NA,organic,USA,42.87795411180331,-77.01165704264595,335706.441499999,4749224.87989999,18N,NA,NA,2014,0.005,6.482941176,grams (average fruit weight),89.41176471,pollination rate (% seed set per fruit),NA,7.184285714,NA,94.642857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,only bees,123,0,0,123,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USDA NASS,hlc66@cornell.edu
grab012,CRTSB,Fragaria x ananassa,NA,organic,USA,42.87997543768019,-77.01299240119215,335602.746899999,4749451.9579,18N,NA,NA,2014,0.005,6.146363636,grams (average fruit weight),96.818181818,pollination rate (% seed set per fruit),NA,6.357777778,NA,96.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,only bees,86,0,0,86,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USDA NASS,hlc66@cornell.edu
grab012,CRTGRA,Fragaria x ananassa,NA,organic,USA,42.880853483901475,-77.01883900985767,335127.589499999,4749560.90279999,18N,NA,NA,2014,0.005,5.719444444,grams (average fruit weight),92.222222222,pollination rate (% seed set per fruit),NA,6.247333333,NA,96.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,only bees,168,0,0,168,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USDA NASS,hlc66@cornell.edu
grab012,CRTPMP,Fragaria x ananassa,NA,organic,USA,42.879319044132394,-77.01536571895811,335407.171099999,4749383.70319999,18N,NA,NA,2014,0.005,5.832083333,grams (average fruit weight),93.75,pollination rate (% seed set per fruit),NA,3.759090909,NA,91.363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,only bees,90,0,0,90,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USDA NASS,hlc66@cornell.edu
grab012,DARWEB,Fragaria x ananassa,NA,organic,USA,42.878824384030395,-77.0536488686622,332279.185399999,4749404.34919999,18N,NA,NA,2014,0.005,6.766190476,grams (average fruit weight),93.095238095,pollination rate (% seed set per fruit),NA,6.422,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,only bees,120,0,0,120,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USDA NASS,hlc66@cornell.edu
grab012,DARPD,Fragaria x ananassa,NA,organic,USA,42.875386769414334,-77.05118111561431,332471.429299999,4749017.6829,18N,NA,NA,2014,0.005,6.432173913,grams (average fruit weight),94.130434783,pollination rate (% seed set per fruit),NA,3.8025,NA,93.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,only bees,100,0,0,100,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USDA NASS,hlc66@cornell.edu
grab012,EIWT,Fragaria x ananassa,NA,organic,USA,42.44080824696399,-76.47020545034874,379083.821,4699767.56189999,18N,NA,NA,2014,0.005,9.783125,grams (average fruit weight),96.40625,pollination rate (% seed set per fruit),NA,8.658571429,NA,94.285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,only bees,131,0,0,131,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USDA NASS,hlc66@cornell.edu
grab012,EIT,Fragaria x ananassa,NA,organic,USA,42.441962839867976,-76.47210568763442,378929.757399999,4699898.47739999,18N,NA,NA,2014,0.005,8.396111111,grams (average fruit weight),96.388888889,pollination rate (% seed set per fruit),NA,8.769130435,NA,95.869565217,NA,NA,NA,NA,NA,NA,NA,NA,NA,only bees,167,6,0,161,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USDA NASS,hlc66@cornell.edu
grab012,ELDALF,Fragaria x ananassa,NA,organic,USA,42.97290625044393,-76.49321821757256,378235.781999999,4758887.7828,18N,NA,NA,2014,0.005,5.646923077,grams (average fruit weight),89.61538462,pollination rate (% seed set per fruit),NA,6.6036,NA,96.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,only bees,104,0,0,104,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USDA NASS,hlc66@cornell.edu
