study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,pollinator_richness,richness_estimator_method,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
krish011,kushal org,Coffea canephora,NA,organic,India,76.00502,12.16945,NA,NA,NA,NA,NA,2014,NA,742.2659502172589,kg/ha (dried and hulled beans),1826.7285063962095,kg/ha (dried berries),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.979,Chao1,48,1,0,7,0,0,0,0,0,0,40,NA,135,(average number of) visits per inflorescence and hour,0.08465608465608465,0.001763668430335097,0,0.012345679012345678,0,0,0,0,0,0,0.07054673721340388,NA,"Smitha Krishnan, ETH Zurich and Ms. Maike Nesper (The PI of the project MOCA is Prof. Jaboury Ghazoul)",smithakrishnan@gmail.com / smitha.krishnan@env.ethz.ch/maike.nesper@gmail.com/mnesper@ethz.ch
krish011,bharath,Coffea canephora,NA,organic,India,75.92194,12.27235,NA,NA,NA,NA,NA,2014,NA,941.783551162785,kg/ha (dried and hulled beans),2324.2570222175677,kg/ha (dried berries),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.455,Chao1,99,5,0,45,1,0,1,2,0,1,44,NA,135,(average number of) visits per inflorescence and hour,0.1746031746031746,0.008818342151675485,0,0.07936507936507936,0.001763668430335097,0,0.001763668430335097,0.003527336860670194,0,0.001763668430335097,0.07760141093474426,NA,"Smitha Krishnan, ETH Zurich and Ms. Maike Nesper (The PI of the project MOCA is Prof. Jaboury Ghazoul)",smithakrishnan@gmail.com / smitha.krishnan@env.ethz.ch/maike.nesper@gmail.com/mnesper@ethz.ch
krish011,govindan,Coffea canephora,NA,organic,India,75.83965,12.36488,NA,NA,NA,NA,NA,2014,NA,1194.5455877943639,kg/ha (dried and hulled beans),3308.419338217532,kg/ha (dried berries),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Chao1,18,0,0,0,0,0,0,0,0,0,18,NA,135,(average number of) visits per inflorescence and hour,0.031746031746031744,0,0,0,0,0,0,0,0,0,0.031746031746031744,NA,"Smitha Krishnan, ETH Zurich and Ms. Maike Nesper (The PI of the project MOCA is Prof. Jaboury Ghazoul)",smithakrishnan@gmail.com / smitha.krishnan@env.ethz.ch/maike.nesper@gmail.com/mnesper@ethz.ch
krish011,hamsa,Coffea canephora,NA,organic,India,75.78829,12.24645,NA,NA,NA,NA,NA,2014,NA,426.3324138231152,kg/ha (dried and hulled beans),954.8134577056654,kg/ha (dried berries),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Chao1,15,10,0,5,0,0,0,0,0,0,0,NA,90,(average number of) visits per inflorescence and hour,0.05952380952380952,0.03968253968253968,0,0.01984126984126984,0,0,0,0,0,0,0,NA,"Smitha Krishnan, ETH Zurich and Ms. Maike Nesper (The PI of the project MOCA is Prof. Jaboury Ghazoul)",smithakrishnan@gmail.com / smitha.krishnan@env.ethz.ch/maike.nesper@gmail.com/mnesper@ethz.ch
krish011,vasanti,Coffea canephora,NA,organic,India,75.94505,12.14675,NA,NA,NA,NA,NA,2014,NA,1395.7499754130822,kg/ha (dried and hulled beans),3551.41803865825,kg/ha (dried berries),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Chao1,99,0,0,89,0,0,0,0,0,0,10,NA,90,(average number of) visits per inflorescence and hour,0.39285714285714285,0,0,0.3531746031746032,0,0,0,0,0,0,0.03968253968253968,NA,"Smitha Krishnan, ETH Zurich and Ms. Maike Nesper (The PI of the project MOCA is Prof. Jaboury Ghazoul)",smithakrishnan@gmail.com / smitha.krishnan@env.ethz.ch/maike.nesper@gmail.com/mnesper@ethz.ch
krish011,uthaiah,Coffea canephora,NA,organic,India,75.8537,12.12274,NA,NA,NA,NA,NA,2014,NA,728.5941699197382,kg/ha (dried and hulled beans),1943.612429073061,kg/ha (dried berries),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.333,Chao1,3,0,0,1,0,0,0,0,0,0,2,NA,135,(average number of) visits per inflorescence and hour,0.005291005291005291,0,0,0.001763668430335097,0,0,0,0,0,0,0.003527336860670194,NA,"Smitha Krishnan, ETH Zurich and Ms. Maike Nesper (The PI of the project MOCA is Prof. Jaboury Ghazoul)",smithakrishnan@gmail.com / smitha.krishnan@env.ethz.ch/maike.nesper@gmail.com/mnesper@ethz.ch
krish011,BBtC org,Coffea canephora,NA,organic,India,75.91512,12.28536,NA,NA,NA,NA,NA,2014,NA,2585.1086819979027,kg/ha (dried and hulled beans),7349.7977212993455,kg/ha (dried berries),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Chao1,145,93,0,35,0,0,0,0,0,0,17,NA,135,(average number of) visits per inflorescence and hour,0.25573192239858905,0.164021164021164,0,0.06172839506172839,0,0,0,0,0,0,0.029982363315696647,NA,"Smitha Krishnan, ETH Zurich and Ms. Maike Nesper (The PI of the project MOCA is Prof. Jaboury Ghazoul)",smithakrishnan@gmail.com / smitha.krishnan@env.ethz.ch/maike.nesper@gmail.com/mnesper@ethz.ch
krish011,karumbaiah,Coffea canephora,NA,organic,India,75.9791,12.14531,NA,NA,NA,NA,NA,2014,NA,3739.1980405425943,kg/ha (dried and hulled beans),9898.64785499217,kg/ha (dried berries),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Chao1,36,1,0,35,0,0,0,0,0,0,0,NA,135,(average number of) visits per inflorescence and hour,0.06349206349206349,0.001763668430335097,0,0.06172839506172839,0,0,0,0,0,0,0,NA,"Smitha Krishnan, ETH Zurich and Ms. Maike Nesper (The PI of the project MOCA is Prof. Jaboury Ghazoul)",smithakrishnan@gmail.com / smitha.krishnan@env.ethz.ch/maike.nesper@gmail.com/mnesper@ethz.ch
krish011,muthanna,Coffea canephora,NA,organic,India,75.89725,12.29617,NA,NA,NA,NA,NA,2014,NA,1399.6763782356038,kg/ha (dried and hulled beans),3299.9883893549777,kg/ha (dried berries),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.947,Chao1,19,0,0,4,0,0,1,0,1,3,10,NA,135,(average number of) visits per inflorescence and hour,0.03350970017636684,0,0,0.007054673721340388,0,0,0.001763668430335097,0,0.001763668430335097,0.005291005291005291,0.01763668430335097,NA,"Smitha Krishnan, ETH Zurich and Ms. Maike Nesper (The PI of the project MOCA is Prof. Jaboury Ghazoul)",smithakrishnan@gmail.com / smitha.krishnan@env.ethz.ch/maike.nesper@gmail.com/mnesper@ethz.ch
krish011,kushal Nt,Coffea canephora,NA,conventional,India,76.01575,12.18033,NA,NA,NA,NA,NA,2014,NA,1199.2304478753044,kg/ha (dried and hulled beans),3000.045217658373,kg/ha (dried berries),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.497,Chao1,171,26,0,128,0,0,0,0,0,0,17,NA,135,(average number of) visits per inflorescence and hour,0.30158730158730157,0.04585537918871252,0,0.2257495590828924,0,0,0,0,0,0,0.029982363315696647,NA,"Smitha Krishnan, ETH Zurich and Ms. Maike Nesper (The PI of the project MOCA is Prof. Jaboury Ghazoul)",smithakrishnan@gmail.com / smitha.krishnan@env.ethz.ch/maike.nesper@gmail.com/mnesper@ethz.ch
