study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
scil01,AR,Fragaria x ananassa,NA,organic,USA,36.3722,-121.51261,NA,NA,NA,NA,NA,2012,NA,21.910811,mean_berry_weight,1,mean_marketability,20.489189,NA,1,NA,NA,NA,NA,NA,NA,NA,18,25.978,Chao1,362,89,22,134,18,0,73,21,0,1,4,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amber Sciligo, Claire Kremen (UC Berkeley)",amber.sciligo@berkeley.edu
scil01,C,Fragaria x ananassa,NA,organic,USA,36.83217,-121.7667,NA,NA,NA,NA,NA,2012,NA,23.983333,mean_berry_weight,1,mean_marketability,22.885294,NA,0.9705882,NA,NA,NA,NA,NA,NA,NA,19,34.9,Chao1,160,52,22,33,28,0,10,2,0,2,11,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amber Sciligo, Claire Kremen (UC Berkeley)",amber.sciligo@berkeley.edu
scil01,CB,Fragaria x ananassa,NA,organic,USA,36.91617,-121.83333,NA,NA,NA,NA,NA,2012,NA,22.658974,mean_berry_weight,0.9090909,mean_marketability,22.56,NA,0.8809524,NA,NA,NA,NA,NA,NA,NA,17,34.923,Chao1,234,99,12,69,4,0,27,17,0,3,3,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amber Sciligo, Claire Kremen (UC Berkeley)",amber.sciligo@berkeley.edu
scil01,DS,Fragaria x ananassa,NA,organic,USA,36.89917,-121.64,NA,NA,NA,NA,NA,2012,NA,18.752632,mean_berry_weight,0.9736842,mean_marketability,17.294444,NA,0.9189189,NA,NA,NA,NA,NA,NA,NA,11,13.245,Chao1,460,413,0,11,4,0,2,18,0,0,12,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amber Sciligo, Claire Kremen (UC Berkeley)",amber.sciligo@berkeley.edu
scil01,F,Fragaria x ananassa,NA,organic,USA,37.02467,-121.935,NA,NA,NA,NA,NA,2012,NA,14.875,mean_berry_weight,0.8888889,mean_marketability,16.390476,NA,0.9545455,NA,NA,NA,NA,NA,NA,NA,15,19.494,Chao1,763,233,0,325,27,0,50,36,0,19,73,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amber Sciligo, Claire Kremen (UC Berkeley)",amber.sciligo@berkeley.edu
scil01,FE,Fragaria x ananassa,NA,organic,USA,36.8915,-121.745,NA,NA,NA,NA,NA,2012,NA,22.935,mean_berry_weight,0.925,mean_marketability,19.530769,NA,0.725,NA,NA,NA,NA,NA,NA,NA,7,8.988,Chao1,169,144,0,14,8,0,0,2,0,0,1,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amber Sciligo, Claire Kremen (UC Berkeley)",amber.sciligo@berkeley.edu
scil01,LE,Fragaria x ananassa,NA,organic,USA,36.9815,-121.785,NA,NA,NA,NA,NA,2012,NA,19.037143,mean_berry_weight,0.9722222,mean_marketability,15.008824,NA,0.8,NA,NA,NA,NA,NA,NA,NA,15,15.499,Chao1,388,237,0,76,1,0,15,29,0,0,30,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amber Sciligo, Claire Kremen (UC Berkeley)",amber.sciligo@berkeley.edu
scil01,M,Fragaria x ananassa,NA,organic,USA,36.9445,-121.78667,NA,NA,NA,NA,NA,2012,NA,14.077143,mean_berry_weight,0.8857143,mean_marketability,12.96875,NA,0.875,NA,NA,NA,NA,NA,NA,NA,15,22.986,Chao1,555,84,0,370,12,0,7,75,0,1,6,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amber Sciligo, Claire Kremen (UC Berkeley)",amber.sciligo@berkeley.edu
scil01,RB,Fragaria x ananassa,NA,organic,USA,36.67833,-121.68667,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,22.593,Chao1,233,21,3,113,28,0,11,45,0,4,8,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amber Sciligo, Claire Kremen (UC Berkeley)",amber.sciligo@berkeley.edu
scil01,RF,Fragaria x ananassa,NA,organic,USA,36.66467,-121.545,NA,NA,NA,NA,NA,2012,NA,22.815385,mean_berry_weight,0.95,mean_marketability,20.48,NA,0.7560976,NA,NA,NA,NA,NA,NA,NA,18,30.437,Chao1,199,40,26,72,11,0,26,15,0,0,9,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amber Sciligo, Claire Kremen (UC Berkeley)",amber.sciligo@berkeley.edu
