study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Sutt01,S1,brassica.napus,NA,conventional,Switzerland,NA,NA,452908,5264948,NA,NA,NA,2014,NA,6090,kg/ha,28.25,seedset (number of seeds per pod),NA,NA,25,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,2459,391,41,42,105,11,97,1708,0,46,18,NA,288.00000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louis Sutter (Agroscope, Zurich, Switzerland), Project QuESSA",louis.sutter@agroscope.admin.ch
Sutt01,S2,brassica.napus,NA,conventional,Switzerland,NA,NA,460061,5258309,NA,NA,NA,2014,NA,3592.5,kg/ha,17.5,seedset (number of seeds per pod),NA,NA,18.75,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,5537,493,19,28,67,0,2,4731,0,169,28,NA,288.00000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louis Sutter (Agroscope, Zurich, Switzerland), Project QuESSA",louis.sutter@agroscope.admin.ch
Sutt01,S3,brassica.napus,NA,conventional,Switzerland,NA,NA,454012,5257708,NA,NA,NA,2014,NA,3587.5,kg/ha,23.75,seedset (number of seeds per pod),NA,NA,19.5,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2895,1190,5,29,47,0,20,1493,2,33,76,NA,288.00000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louis Sutter (Agroscope, Zurich, Switzerland), Project QuESSA",louis.sutter@agroscope.admin.ch
Sutt01,S4,brassica.napus,NA,conventional,Switzerland,NA,NA,464709,5273298,NA,NA,NA,2014,NA,3862.5,kg/ha,27.5,seedset (number of seeds per pod),NA,NA,23.25,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10257,5053,104,39,9,0,3,4861,0,120,68,NA,288.00000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louis Sutter (Agroscope, Zurich, Switzerland), Project QuESSA",louis.sutter@agroscope.admin.ch
Sutt01,S5,brassica.napus,NA,conventional,Switzerland,NA,NA,462694,5270970,NA,NA,NA,2014,NA,4250,kg/ha,24.25,seedset (number of seeds per pod),NA,NA,19,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,6299,4388,29,27,17,11,2,1731,6,70,18,NA,288.00000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louis Sutter (Agroscope, Zurich, Switzerland), Project QuESSA",louis.sutter@agroscope.admin.ch
Sutt01,S6,brassica.napus,NA,conventional,Switzerland,NA,NA,449278,5264911,NA,NA,NA,2014,NA,4182.5,kg/ha,28.5,seedset (number of seeds per pod),NA,NA,21,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3762,1685,15,13,44,24,35,1786,0,89,71,NA,288.00000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louis Sutter (Agroscope, Zurich, Switzerland), Project QuESSA",louis.sutter@agroscope.admin.ch
Sutt01,S7,brassica.napus,NA,conventional,Switzerland,NA,NA,457928,5260855,NA,NA,NA,2014,NA,4745,kg/ha,25,seedset (number of seeds per pod),NA,NA,20.25,28.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,3206,1620,5,16,27,0,2,1474,0,50,12,NA,288.00000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louis Sutter (Agroscope, Zurich, Switzerland), Project QuESSA",louis.sutter@agroscope.admin.ch
Sutt01,S8,brassica.napus,NA,conventional,Switzerland,NA,NA,464518,5251697,NA,NA,NA,2014,NA,5825,kg/ha,27,seedset (number of seeds per pod),NA,NA,22,35.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,5661,2886,1,8,27,0,16,2438,0,244,41,NA,288.00000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louis Sutter (Agroscope, Zurich, Switzerland), Project QuESSA",louis.sutter@agroscope.admin.ch
Sutt01,S9,brassica.napus,NA,conventional,Switzerland,NA,NA,460582,5270367,NA,NA,NA,2014,NA,2375,kg/ha,16.5,seedset (number of seeds per pod),NA,NA,14.5,19.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,5991,2686,0,74,11,0,10,2956,0,203,51,NA,288.00000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louis Sutter (Agroscope, Zurich, Switzerland), Project QuESSA",louis.sutter@agroscope.admin.ch
Sutt01,S10,brassica.napus,NA,conventional,Switzerland,NA,NA,467260,5270460,NA,NA,NA,2014,NA,5370,kg/ha,31.25,seedset (number of seeds per pod),NA,NA,24.75,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8443,6294,146,26,11,0,7,1865,2,62,30,NA,288.00000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louis Sutter (Agroscope, Zurich, Switzerland), Project QuESSA",louis.sutter@agroscope.admin.ch
Sutt01,S11,brassica.napus,NA,conventional,Switzerland,NA,NA,453566,5260882,NA,NA,NA,2014,NA,1977.5,kg/ha,18.75,seedset (number of seeds per pod),NA,NA,17,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2464,207,1,25,57,0,44,2010,0,74,46,NA,288.00000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louis Sutter (Agroscope, Zurich, Switzerland), Project QuESSA",louis.sutter@agroscope.admin.ch
Sutt01,S12,brassica.napus,NA,conventional,Switzerland,NA,NA,444947,5264329,NA,NA,NA,2014,NA,5537.5,kg/ha,29,seedset (number of seeds per pod),NA,NA,22,27.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,5176,720,175,77,147,36,74,3549,0,220,178,NA,288.00000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louis Sutter (Agroscope, Zurich, Switzerland), Project QuESSA",louis.sutter@agroscope.admin.ch
Sutt01,S13,brassica.napus,NA,conventional,Switzerland,NA,NA,463912,5269929,NA,NA,NA,2014,NA,2725,kg/ha,22.5,seedset (number of seeds per pod),NA,NA,24.75,25.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,6204,3471,10,62,11,2,0,2410,0,208,30,NA,288.00000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louis Sutter (Agroscope, Zurich, Switzerland), Project QuESSA",louis.sutter@agroscope.admin.ch
