study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
vere01,Villebrun-Colza,Brassica napus,NA,Conventional,France,49.22638,0.6455555,NA,NA,NA,4,7,2016,13,NA,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12.991,Chao1,112,13,89,10,NA,NA,NA,NA,NA,NA,NA,13,1440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicolas J. Vereecken, Timothy Weekers","Nicolas.Vereecken@ulb.be, Timothy.Weekers@ulb.ac.be"
vere02,Villebrun-Verger,Malus domestica,NA,Conventional,France,49.255,0.629444,NA,NA,NA,4,7,2016,4.3,NA,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12.991,Chao1,112,13,89,10,NA,NA,NA,NA,NA,NA,NA,4.3,1440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicolas J. Vereecken, Timothy Weekers","Nicolas.Vereecken@ulb.be, Timothy.Weekers@ulb.ac.be"
vere03,Ballat,Malus domestica,Pirouette,Organic,Belgium,50.727846,5.73069,NA,NA,NA,4,4,2019,3,NA,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,37.25,Chao1,98,74,4,20,NA,NA,NA,NA,NA,NA,NA,3,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicolas J. Vereecken, Timothy Weekers","Nicolas.Vereecken@ulb.be, Timothy.Weekers@ulb.ac.be"
vere03,Bianca 18O,Malus domestica,Jonagold,Organic,Belgium,50.926274,4.945741,NA,NA,NA,4,4,2019,1.38,NA,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,Chao1,56,29,4,23,NA,NA,NA,NA,NA,NA,NA,1.38,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicolas J. Vereecken, Timothy Weekers","Nicolas.Vereecken@ulb.be, Timothy.Weekers@ulb.ac.be"
vere03,Bianca 20C,Malus domestica,Jonagold,Non-organic,Belgium,50.876635,4.904523,NA,NA,NA,4,4,2019,6.24,NA,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10.223,Chao1,82,50,26,6,NA,NA,NA,NA,NA,NA,NA,6.24,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicolas J. Vereecken, Timothy Weekers","Nicolas.Vereecken@ulb.be, Timothy.Weekers@ulb.ac.be"
vere03,Bianca 21C,Malus domestica,Jonagold,Non-organic,Belgium,50.853677,5.25143,NA,NA,NA,4,4,2019,6.59,NA,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.986,Chao1,69,61,8,0,NA,NA,NA,NA,NA,NA,NA,6.59,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicolas J. Vereecken, Timothy Weekers","Nicolas.Vereecken@ulb.be, Timothy.Weekers@ulb.ac.be"
vere03,Bianca 21O,Malus domestica,Jonagold,Organic,Belgium,50.92741,5.024766,NA,NA,NA,4,4,2019,1,NA,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.979,Chao1,48,34,10,4,NA,NA,NA,NA,NA,NA,NA,1,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicolas J. Vereecken, Timothy Weekers","Nicolas.Vereecken@ulb.be, Timothy.Weekers@ulb.ac.be"
vere03,Gasi_malus_2019,Malus domestica,NA,Organic,Belgium,50.71021,4.79261,NA,NA,NA,4,4,2019,4.5,NA,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21.749,Chao1,612,322,58,232,NA,NA,NA,NA,NA,NA,NA,4.5,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicolas J. Vereecken, Timothy Weekers","Nicolas.Vereecken@ulb.be, Timothy.Weekers@ulb.ac.be"
vere03,Laduron,Malus domestica,NA,Organic,Belgium,50.733162,5.786554,NA,NA,NA,4,4,2019,7.91,NA,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,57.915,Chao1,377,185,16,176,NA,NA,NA,NA,NA,NA,NA,7.91,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicolas J. Vereecken, Timothy Weekers","Nicolas.Vereecken@ulb.be, Timothy.Weekers@ulb.ac.be"
vere03,Pommeraie_2019,Malus domestica,Jonagold,Organic,Belgium,50.558067,4.708504,NA,NA,NA,4,4,2019,0.3,40,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,22.653,Chao1,198,88,26,84,NA,NA,NA,NA,NA,NA,NA,0.3,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicolas J. Vereecken, Timothy Weekers","Nicolas.Vereecken@ulb.be, Timothy.Weekers@ulb.ac.be"
