study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
4_5_RiccardoBommarco_RedClover_2010,Skåne,Bombus distinguendus,bumblebees,transects,11,2200,NA,NA,Bumble-bees were collected along 1 m wide and 50 m long transects in 14 sites. Each site was visited three to five times (mean 4  visits per site).
4_5_RiccardoBommarco_RedClover_2010,Skåne,Bombus hortorum,bumblebees,transects,21,2200,NA,NA,Bumble-bees were collected along 1 m wide and 50 m long transects in 14 sites. Each site was visited three to five times (mean 4  visits per site).
4_5_RiccardoBommarco_RedClover_2010,Östergötland,Bombus hortorum,bumblebees,transects,24,3400,NA,NA,Bumble-bees were collected along 1 m wide and 50 m long transects in 14 sites. Each site was visited three to five times (mean 4  visits per site).
4_5_RiccardoBommarco_RedClover_2010,Skåne,Bombus lapidarius,bumblebees,transects,53,2200,NA,NA,Bumble-bees were collected along 1 m wide and 50 m long transects in 14 sites. Each site was visited three to five times (mean 4  visits per site).
4_5_RiccardoBommarco_RedClover_2010,Östergötland,Bombus lapidarius,bumblebees,transects,169,3400,NA,NA,Bumble-bees were collected along 1 m wide and 50 m long transects in 14 sites. Each site was visited three to five times (mean 4  visits per site).
4_5_RiccardoBommarco_RedClover_2010,Skåne,Bombus lucorum,bumblebees,transects,84,2200,NA,NA,Bumble-bees were collected along 1 m wide and 50 m long transects in 14 sites. Each site was visited three to five times (mean 4  visits per site).
4_5_RiccardoBommarco_RedClover_2010,Östergötland,Bombus lucorum,bumblebees,transects,79,3400,NA,NA,Bumble-bees were collected along 1 m wide and 50 m long transects in 14 sites. Each site was visited three to five times (mean 4  visits per site).
4_5_RiccardoBommarco_RedClover_2010,Skåne,Bombus muscorum,bumblebees,transects,1,2200,NA,NA,Bumble-bees were collected along 1 m wide and 50 m long transects in 14 sites. Each site was visited three to five times (mean 4  visits per site).
4_5_RiccardoBommarco_RedClover_2010,Östergötland,Bombus muscorum,bumblebees,transects,7,3400,NA,NA,Bumble-bees were collected along 1 m wide and 50 m long transects in 14 sites. Each site was visited three to five times (mean 4  visits per site).
4_5_RiccardoBommarco_RedClover_2010,Östergötland,Bombus spp,bumblebees,transects,69,3400,NA,NA,Bumble-bees were collected along 1 m wide and 50 m long transects in 14 sites. Each site was visited three to five times (mean 4  visits per site).
4_5_RiccardoBommarco_RedClover_2010,Skåne,Bombus pascuorum,bumblebees,transects,6,2200,NA,NA,Bumble-bees were collected along 1 m wide and 50 m long transects in 14 sites. Each site was visited three to five times (mean 4  visits per site).
4_5_RiccardoBommarco_RedClover_2010,Östergötland,Bombus pascuorum,bumblebees,transects,22,3400,NA,NA,Bumble-bees were collected along 1 m wide and 50 m long transects in 14 sites. Each site was visited three to five times (mean 4  visits per site).
4_5_RiccardoBommarco_RedClover_2010,Skåne,Bombus ruderarius,bumblebees,transects,1,2200,NA,NA,Bumble-bees were collected along 1 m wide and 50 m long transects in 14 sites. Each site was visited three to five times (mean 4  visits per site).
4_5_RiccardoBommarco_RedClover_2010,Östergötland,Bombus ruderarius,bumblebees,transects,5,3400,NA,NA,Bumble-bees were collected along 1 m wide and 50 m long transects in 14 sites. Each site was visited three to five times (mean 4  visits per site).
