study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Cunningham_2006,f,Apis_mellifera,honeybees,transects,284,2160,208,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,d,Apis_mellifera,honeybees,transects,201.00000006,1215,117,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,e,Apis_mellifera,honeybees,transects,573.00000002,4725,455,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,a,Apis_mellifera,honeybees,transects,391.99999984,2295,221,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,c,Apis_mellifera,honeybees,transects,59.00000000400001,1485,143,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,b,Apis_mellifera,honeybees,transects,659.0000001599999,2430,234,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,f,syrphidae,syrphids,transects,211,2160,208,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,d,syrphidae,syrphids,transects,111.999999996,1215,117,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,e,syrphidae,syrphids,transects,174.00000002,4725,455,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,a,syrphidae,syrphids,transects,510,2295,221,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,c,syrphidae,syrphids,transects,229.00000002,1485,143,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,b,syrphidae,syrphids,transects,1782,2430,234,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,f,wild_bee_unknown,other_wild_bees,transects,89,2160,208,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,d,wild_bee_unknown,other_wild_bees,transects,14.999999994,1215,117,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,e,wild_bee_unknown,other_wild_bees,transects,70,4725,455,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,a,wild_bee_unknown,other_wild_bees,transects,448.00000006,2295,221,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,c,wild_bee_unknown,other_wild_bees,transects,81.99999999399999,1485,143,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
Cunningham_2006,b,wild_bee_unknown,other_wild_bees,transects,240.00000001200002,2430,234,NA,"22.5 m long by 3 m wide transects, 5-8 min each."
