study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,He1P0,"Paratrigona lineata Lepeletier, 1836",other_wild_bees,sweep net along a transect,1,50,NA,2466,Spatial replicates: two 25m observation transects per plot .  Temporal replicates: 2Lumped sampling rounds per plot in one wet season.
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,He1P0,"Apis mellifera Linnaeus, 1758",honeybees,sweep net along a transect,9,50,NA,2466,Spatial replicates: two 25m observation transects per plot .  Temporal replicates: 2Lumped sampling rounds per plot in one wet season.
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,He1P0,"Bombus (Fervidobombus) morio Swederus, 1787",bumblebees,sweep net along a transect,1,50,NA,2466,Spatial replicates: two 25m observation transects per plot .  Temporal replicates: 2Lumped sampling rounds per plot in one wet season.
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,He2P0,"Apis mellifera Linnaeus, 1758",honeybees,sweep net along a transect,2,50,NA,2530,Spatial replicates: two 25m observation transects per plot .  Temporal replicates: 2Lumped sampling rounds per plot in one wet season.
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A1P1DF,Apoidea sp.1,other_wild_bees,sweep net along a transect,1,50,NA,4451,Spatial replicates: two 25m observation transects per plot .  Temporal replicates: 2Lumped sampling rounds per plot in one wet season.
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A1P1DF,"Paratrigona lineata Lepeletier, 1836",other_wild_bees,sweep net along a transect,10,50,NA,4451,Spatial replicates: two 25m observation transects per plot .  Temporal replicates: 2Lumped sampling rounds per plot in one wet season.
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A1P1DF,Allograpta exotica cf.,syrphids,sweep net along a transect,15,50,NA,4451,"These organisms were classified as biocontrol agents. However, since they were also registered as floral visitors, they may be potential pollinators as well. Spatial replicates: two 25m observation transects per plot .  Temporal replicates: 2Lumped sampling rounds per plot in one wet season."
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A1P1DF,"Trigona spinipes Fabricius, 1793",other_wild_bees,sweep net along a transect,3,50,NA,4451,Spatial replicates: two 25m observation transects per plot .  Temporal replicates: 2Lumped sampling rounds per plot in one wet season.
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A1P1DF,"Apis mellifera Linnaeus, 1758",honeybees,sweep net along a transect,2,50,NA,4451,Spatial replicates: two 25m observation transects per plot .  Temporal replicates: 2Lumped sampling rounds per plot in one wet season.
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A3P1DF,Allograpta exotica cf.,syrphids,sweep net along a transect,14,50,NA,4019,"These organisms were classified as biocontrol agents. However, since they were also registered as floral visitors, they may be potential pollinators as well. Spatial replicates: two 25m observation transects per plot .  Temporal replicates: 2Lumped sampling rounds per plot in one wet season."
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A1P0GO,"Paratrigona lineata Lepeletier, 1836",other_wild_bees,sweep net along a transect,10,50,NA,2206,Spatial replicates: two 25m observation transects per plot .  Temporal replicates: 2Lumped sampling rounds per plot in one wet season.
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A1P0GO,Non identified bee,other_wild_bees,sweep net along a transect,1,50,NA,2206,Spatial replicates: two 25m observation transects per plot .  Temporal replicates: 2Lumped sampling rounds per plot in one wet season.
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A1P0GO,Allograpta exotica cf.,syrphids,sweep net along a transect,2,50,NA,2206,"These organisms were classified as biocontrol agents. However, since they were also registered as floral visitors, they may be potential pollinators as well. Spatial replicates: two 25m observation transects per plot .  Temporal replicates: 2Lumped sampling rounds per plot in one wet season."
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A1P0GO,"Apis mellifera Linnaeus, 1758",honeybees,sweep net along a transect,2,50,NA,2206,Spatial replicates: two 25m observation transects per plot .  Temporal replicates: 2Lumped sampling rounds per plot in one wet season.
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A2P0GO,"Apis mellifera Linnaeus, 1758",honeybees,sweep net along a transect,2,50,NA,1935,Spatial replicates: two 25m observation transects per plot .  Temporal replicates: 2Lumped sampling rounds per plot in one wet season.
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A2P0GO,"Paratrigona lineata Lepeletier, 1836",other_wild_bees,sweep net along a transect,2,50,NA,1935,Spatial replicates: two 25m observation transects per plot .  Temporal replicates: 2Lumped sampling rounds per plot in one wet season.
