study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
David_Crowder_Brassica_napus_USA_2014,beck2,Agapostemon.sp1,other_wild_bees,bee_bowl,2,50,1440,NA,6 bee bowls. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Agapostemon.virescens,other_wild_bees,bee_bowl,1,50,1440,NA,6 bee bowls. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Andrenidae.sp1,other_wild_bees,bee_bowl,3,50,1440,NA,6 bee bowls. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Andrenidae.sp2,other_wild_bees,bee_bowl,6,50,1440,NA,6 bee bowls. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Apidae.sp1,other_wild_bees,bee_bowl,3,50,1440,NA,6 bee bowls. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Bombus.griseocollis,bumblebees,bee_bowl,1,50,1440,NA,6 bee bowls. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Halictini.sp3,other_wild_bees,bee_bowl,5,50,1440,NA,6 bee bowls. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Lasioglossum.sp4,other_wild_bees,bee_bowl,10,50,1440,NA,6 bee bowls. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Megachilidae.sp4,other_wild_bees,bee_bowl,1,50,1440,NA,6 bee bowls. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Agapostemon.sp1,other_wild_bees,blue_vane_trap,9,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Agapostemon.virescens,other_wild_bees,blue_vane_trap,23,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Andrenidae.sp1,other_wild_bees,blue_vane_trap,14,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Andrenidae.sp2,other_wild_bees,blue_vane_trap,4,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Apidae.sp1,other_wild_bees,blue_vane_trap,15,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Apidae.sp2,other_wild_bees,blue_vane_trap,1,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Apidae.sp4,other_wild_bees,blue_vane_trap,2,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Bombus.centralis,bumblebees,blue_vane_trap,2,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Bombus.fervidus,bumblebees,blue_vane_trap,2,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Bombus.nevadensis,bumblebees,blue_vane_trap,12,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Bombus.occidentalis,bumblebees,blue_vane_trap,1,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Eucerini.sp1,other_wild_bees,blue_vane_trap,14,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Eucerini.sp5,other_wild_bees,blue_vane_trap,1,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Eucerini.sp6,other_wild_bees,blue_vane_trap,1,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Halictini.sp2,other_wild_bees,blue_vane_trap,1,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Halictini.sp3,other_wild_bees,blue_vane_trap,14,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Lasioglossum.sp4,other_wild_bees,blue_vane_trap,5,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Megachilidae.sp1,other_wild_bees,blue_vane_trap,1,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Megachilidae.sp10,other_wild_bees,blue_vane_trap,1,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Megachilidae.sp2,other_wild_bees,blue_vane_trap,2,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Megachilidae.sp3,other_wild_bees,blue_vane_trap,2,50,1440,NA,2 blue vane traps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Apis.mellifera,honeybees,sweep_net,1,50,30,NA,100 sweeps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
David_Crowder_Brassica_napus_USA_2014,beck2,Halictini.sp3,other_wild_bees,sweep_net,2,50,30,NA,100 sweeps. Organisms were sampled with sweep nets (100 sweeps) and traps (3 bee bowls and 2 pan traps per site)
