study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
David_Kleijn_Allium_porrum_Italy_2012,1_Prod_Field,Andrena mucida,other_wild_bees,transects,1,5,10,NA,"In each field, bees were surveyed in a single 5 m long transect between two crop rows. During a period of 10 minutes (net observation time), all bees visiting leek umbels were noted."
David_Kleijn_Allium_porrum_Italy_2012,1_Prod_Field,Halictus scabiosae,other_wild_bees,transects,1,5,10,NA,"In each field, bees were surveyed in a single 5 m long transect between two crop rows. During a period of 10 minutes (net observation time), all bees visiting leek umbels were noted."
David_Kleijn_Allium_porrum_Italy_2012,1_Prod_Field,Bombus lapidarius,bumblebees,transects,1,5,10,NA,"In each field, bees were surveyed in a single 5 m long transect between two crop rows. During a period of 10 minutes (net observation time), all bees visiting leek umbels were noted."
David_Kleijn_Allium_porrum_Italy_2012,1_Prod_Field,Hylaeus punctulatissimus,other_wild_bees,transects,1,5,10,NA,"In each field, bees were surveyed in a single 5 m long transect between two crop rows. During a period of 10 minutes (net observation time), all bees visiting leek umbels were noted."
David_Kleijn_Allium_porrum_Italy_2012,1_Prod_Field,Hylaeus punctulatissimus,other_wild_bees,transects,1,5,10,NA,"In each field, bees were surveyed in a single 5 m long transect between two crop rows. During a period of 10 minutes (net observation time), all bees visiting leek umbels were noted."
David_Kleijn_Allium_porrum_Italy_2012,1_Prod_Field,Hylaeus punctulatissimus,other_wild_bees,transects,1,5,10,NA,"In each field, bees were surveyed in a single 5 m long transect between two crop rows. During a period of 10 minutes (net observation time), all bees visiting leek umbels were noted."
David_Kleijn_Allium_porrum_Italy_2012,1_Prod_Field,Hylaeus punctulatissimus,other_wild_bees,transects,1,5,10,NA,"In each field, bees were surveyed in a single 5 m long transect between two crop rows. During a period of 10 minutes (net observation time), all bees visiting leek umbels were noted."
David_Kleijn_Allium_porrum_Italy_2012,1_Prod_Field,Hylaeus punctulatissimus,other_wild_bees,transects,1,5,10,NA,"In each field, bees were surveyed in a single 5 m long transect between two crop rows. During a period of 10 minutes (net observation time), all bees visiting leek umbels were noted."
David_Kleijn_Allium_porrum_Italy_2012,1_Prod_Field,Hylaeus punctulatissimus,other_wild_bees,transects,1,5,10,NA,"In each field, bees were surveyed in a single 5 m long transect between two crop rows. During a period of 10 minutes (net observation time), all bees visiting leek umbels were noted."
David_Kleijn_Allium_porrum_Italy_2012,1_Prod_Field,Andrena flavipes,other_wild_bees,transects,1,5,10,NA,"In each field, bees were surveyed in a single 5 m long transect between two crop rows. During a period of 10 minutes (net observation time), all bees visiting leek umbels were noted."
David_Kleijn_Allium_porrum_Italy_2012,1TT,Hylaeus punctulatissimus,other_wild_bees,transects,1,5,10,NA,"In each field, bees were surveyed in a single 5 m long transect between two crop rows. During a period of 10 minutes (net observation time), all bees visiting leek umbels were noted."
David_Kleijn_Allium_porrum_Italy_2012,1TT,Andrena flavipes,other_wild_bees,transects,1,5,10,NA,"In each field, bees were surveyed in a single 5 m long transect between two crop rows. During a period of 10 minutes (net observation time), all bees visiting leek umbels were noted."
