study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Finbarr_G_Horgan_Cucumis_sativus_Philippines_2015,Bukidnon01_dry,Apis cercana,honeybees,Plant observations,4,12.7,60,NA,"Sampled during at 30 and 60 days after planting, 5 patches were assessed at each sampling for 6 mins"
Finbarr_G_Horgan_Cucumis_sativus_Philippines_2015,Bukidnon01_wet,Apis cercana,honeybees,Plant observations,0,11.25,60,NA,"Sampled during at 30 and 60 days after planting, 5 patches were assessed at each sampling for 6 mins"
Finbarr_G_Horgan_Cucumis_sativus_Philippines_2015,Bukidnon02_dry,Apis cercana,honeybees,Plant observations,0,3.75,60,NA,"Sampled during at 30 and 60 days after planting, 5 patches were assessed at each sampling for 6 mins"
Finbarr_G_Horgan_Cucumis_sativus_Philippines_2015,Bukidnon02_wet,Apis cercana,honeybees,Plant observations,0,4.65,60,NA,"Sampled during at 30 and 60 days after planting, 5 patches were assessed at each sampling for 6 mins"
Finbarr_G_Horgan_Cucumis_sativus_Philippines_2015,Iloilo_dry,Apis cercana,honeybees,Plant observations,0,4.65,60,NA,"Sampled during at 30 and 60 days after planting, 5 patches were assessed at each sampling for 6 mins"
Finbarr_G_Horgan_Cucumis_sativus_Philippines_2015,Iloilo_wet,Apis cercana,honeybees,Plant observations,0,9.85,60,NA,"Sampled during at 30 and 60 days after planting, 5 patches were assessed at each sampling for 6 mins"
Finbarr_G_Horgan_Cucumis_sativus_Philippines_2015,IRRI500_dry,Apis cercana,honeybees,Plant observations,0,12.7,60,NA,"Sampled during at 30 and 60 days after planting, 5 patches were assessed at each sampling for 6 mins"
Finbarr_G_Horgan_Cucumis_sativus_Philippines_2015,IRRI500_wet,Apis cercana,honeybees,Plant observations,0,11.25,60,NA,"Sampled during at 30 and 60 days after planting, 5 patches were assessed at each sampling for 6 mins"
Finbarr_G_Horgan_Cucumis_sativus_Philippines_2015,IRRI700_dry,Apis cercana,honeybees,Plant observations,0,3.75,60,NA,"Sampled during at 30 and 60 days after planting, 5 patches were assessed at each sampling for 6 mins"
Finbarr_G_Horgan_Cucumis_sativus_Philippines_2015,IRRI700_wet,Apis cercana,honeybees,Plant observations,0,4.65,60,NA,"Sampled during at 30 and 60 days after planting, 5 patches were assessed at each sampling for 6 mins"
Finbarr_G_Horgan_Cucumis_sativus_Philippines_2015,Tanay_dry,Apis cercana,honeybees,Plant observations,0,4.65,60,NA,"Sampled during at 30 and 60 days after planting, 5 patches were assessed at each sampling for 6 mins"
