study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,1,Apis cerana,other_wild_bees,netting form flower,2,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,1,Apis mellifera,honeybees,netting form flower,2,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,1,Eristalis (Eoeristaris) cerealis,syrphids,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,1,Eristalis tenax,syrphids,netting form flower,2,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,1,Gametis jucunda,beetles,netting form flower,4,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,1,Lasioglossum sibiriacum,other_wild_bees,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,1,Lucilia papuensis,other_flies,netting form flower,2,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,1,Phytomia zonata,syrphids,netting form flower,3,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,1,Sphaerophoria sp.,syrphids,netting form flower,4,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,1,Stomorhina obsoleta,other_flies,netting form flower,3,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,1,Tachinidae sp.,other_flies,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,2,Apis cerana,other_wild_bees,netting form flower,3,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,2,Apis mellifera,honeybees,netting form flower,4,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,2,Byasa alcinous,lepidoptera,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,2,Chalicodoma sculpturalis,other_wild_bees,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,2,Eupeodes,syrphids,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,2,Formica japonica,non_bee_hymenoptera,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,2,Gametis jucunda,beetles,netting form flower,4,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,2,Hylaeus nippon,other_wild_bees,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,2,Musca hervei,other_flies,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,2,Phytomia zonata,syrphids,netting form flower,4,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,2,Sphaerophoria sp.,syrphids,netting form flower,3,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,2,Stomorhina obsoleta,other_flies,netting form flower,2,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,2,Tachinidae sp.,other_flies,netting form flower,5,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,2,Thoressa varia,lepidoptera,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,2,Vespula flaviceps,non_bee_hymenoptera,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,3,Anterhynchium flavomarginatum,non_bee_hymenoptera,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,3,Apis cerana,other_wild_bees,netting form flower,2,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,3,Apis mellifera,honeybees,netting form flower,7,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,3,Atylotus hasegawai,other_flies,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,3,Aulacophora nigripennis,beetles,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,3,Colletes vogti,other_wild_bees,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,3,Formica japonica,non_bee_hymenoptera,netting form flower,4,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,3,Gametis jucunda,beetles,netting form flower,2,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,3,Lucilia papuensis,other_flies,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,3,Sphaerophoria sp.,syrphids,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,3,Stomorhina obsoleta,other_flies,netting form flower,3,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,4,Apis cerana,other_wild_bees,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,4,Apis mellifera,honeybees,netting form flower,7,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,4,Chrysomya pinguis,other_flies,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,4,Coccinella septempunctata,beetles,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,4,Colletes vogti,other_wild_bees,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,4,Eristalis (Eoeristaris) cerealis,syrphids,netting form flower,2,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,4,Eumenes sp,non_bee_hymenoptera,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,4,Formica japonica,non_bee_hymenoptera,netting form flower,4,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,4,Gametis jucunda,beetles,netting form flower,4,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,4,Lucilia papuensis,other_flies,netting form flower,4,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,4,Megachile tsurugensis,other_wild_bees,netting form flower,1,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,4,Neomyia timorensis,other_flies,netting form flower,2,NA,NA,NA,"Measures per site: 20 plants, 3 sampling rounds in each year
"
