study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Lindstrom_2012,29,Andrena_carantonica,other_wild_bees,NA,1,NA,NA,NA,NA
Lindstrom_2012,32,Andrena_haemorrhoa,other_wild_bees,NA,1,NA,NA,NA,NA
Lindstrom_2012,38,Andrena_haemorrhoa,other_wild_bees,NA,1,NA,NA,NA,NA
Lindstrom_2012,36,Andrena_nigroaenea,other_wild_bees,NA,1,NA,NA,NA,NA
Lindstrom_2012,43,Andrena_nigroaenea,other_wild_bees,NA,1,NA,NA,NA,NA
Lindstrom_2012,46,Andrena_nigroaenea,other_wild_bees,NA,1,NA,NA,NA,NA
Lindstrom_2012,27,Anthomyiidae_sp.,non_bee_hymenoptera,NA,2,NA,NA,NA,NA
Lindstrom_2012,28,Anthomyiidae_sp.,non_bee_hymenoptera,NA,1,NA,NA,NA,NA
Lindstrom_2012,29,Anthomyiidae_sp.,non_bee_hymenoptera,NA,1,NA,NA,NA,NA
Lindstrom_2012,31,Anthomyiidae_sp.,non_bee_hymenoptera,NA,1,NA,NA,NA,NA
Lindstrom_2012,36,Anthomyiidae_sp.,non_bee_hymenoptera,NA,2,NA,NA,NA,NA
Lindstrom_2012,37,Anthomyiidae_sp.,non_bee_hymenoptera,NA,1,NA,NA,NA,NA
Lindstrom_2012,38,Anthomyiidae_sp.,non_bee_hymenoptera,NA,1,NA,NA,NA,NA
Lindstrom_2012,39,Anthomyiidae_sp.,non_bee_hymenoptera,NA,1,NA,NA,NA,NA
Lindstrom_2012,40,Anthomyiidae_sp.,non_bee_hymenoptera,NA,1,NA,NA,NA,NA
Lindstrom_2012,25,Apoidea_sp,other_wild_bees,NA,1,NA,NA,NA,NA
Lindstrom_2012,27,Apoidea_sp,other_wild_bees,NA,5,NA,NA,NA,NA
Lindstrom_2012,29,Apoidea_sp,other_wild_bees,NA,2,NA,NA,NA,NA
Lindstrom_2012,31,Apoidea_sp,other_wild_bees,NA,1,NA,NA,NA,NA
Lindstrom_2012,32,Apoidea_sp,other_wild_bees,NA,1,NA,NA,NA,NA
Lindstrom_2012,34,Apoidea_sp,other_wild_bees,NA,2,NA,NA,NA,NA
Lindstrom_2012,35,Apoidea_sp,other_wild_bees,NA,1,NA,NA,NA,NA
Lindstrom_2012,38,Apoidea_sp,other_wild_bees,NA,3,NA,NA,NA,NA
Lindstrom_2012,46,Apoidea_sp,other_wild_bees,NA,3,NA,NA,NA,NA
Lindstrom_2012,26,Apis_mellifera,honeybees,NA,67,NA,NA,NA,NA
Lindstrom_2012,27,Apis_mellifera,honeybees,NA,157,NA,NA,NA,NA
Lindstrom_2012,28,Apis_mellifera,honeybees,NA,14,NA,NA,NA,NA
Lindstrom_2012,30,Apis_mellifera,honeybees,NA,67,NA,NA,NA,NA
Lindstrom_2012,32,Apis_mellifera,honeybees,NA,64,NA,NA,NA,NA
Lindstrom_2012,33,Apis_mellifera,honeybees,NA,115,NA,NA,NA,NA
Lindstrom_2012,34,Apis_mellifera,honeybees,NA,2,NA,NA,NA,NA
Lindstrom_2012,35,Apis_mellifera,honeybees,NA,56,NA,NA,NA,NA
Lindstrom_2012,37,Apis_mellifera,honeybees,NA,99,NA,NA,NA,NA
Lindstrom_2012,38,Apis_mellifera,honeybees,NA,3,NA,NA,NA,NA
Lindstrom_2012,39,Apis_mellifera,honeybees,NA,1,NA,NA,NA,NA
Lindstrom_2012,40,Apis_mellifera,honeybees,NA,51,NA,NA,NA,NA
Lindstrom_2012,41,Apis_mellifera,honeybees,NA,23,NA,NA,NA,NA
Lindstrom_2012,42,Apis_mellifera,honeybees,NA,65,NA,NA,NA,NA
Lindstrom_2012,43,Apis_mellifera,honeybees,NA,3,NA,NA,NA,NA
Lindstrom_2012,44,Apis_mellifera,honeybees,NA,48,NA,NA,NA,NA
Lindstrom_2012,45,Apis_mellifera,honeybees,NA,118,NA,NA,NA,NA
Lindstrom_2012,46,Apis_mellifera,honeybees,NA,1,NA,NA,NA,NA
Lindstrom_2012,39,Bombus_lucorum_terrestris,bumblebees,NA,2,NA,NA,NA,NA
Lindstrom_2012,40,Bombus_lucorum_terrestris,bumblebees,NA,1,NA,NA,NA,NA
Lindstrom_2012,44,Bombus_lucorum_terrestris,bumblebees,NA,1,NA,NA,NA,NA
Lindstrom_2012,46,Bombus_lucorum_terrestris,bumblebees,NA,1,NA,NA,NA,NA
Lindstrom_2012,28,Bombus_spp.,bumblebees,NA,1,NA,NA,NA,NA
Lindstrom_2012,33,Bombus_spp.,bumblebees,NA,1,NA,NA,NA,NA
Lindstrom_2012,37,Bombus_spp.,bumblebees,NA,1,NA,NA,NA,NA
Lindstrom_2012,25,Bibionidae_sp.,other_flies,NA,2,NA,NA,NA,NA
Lindstrom_2012,29,Bibionidae_sp.,other_flies,NA,2,NA,NA,NA,NA
Lindstrom_2012,31,Bibionidae_sp.,other_flies,NA,22,NA,NA,NA,NA
Lindstrom_2012,32,Bibionidae_sp.,other_flies,NA,1,NA,NA,NA,NA
Lindstrom_2012,34,Bibionidae_sp.,other_flies,NA,4,NA,NA,NA,NA
Lindstrom_2012,25,Bibo_marci,other_flies,NA,3,NA,NA,NA,NA
Lindstrom_2012,29,Bibo_marci,other_flies,NA,1,NA,NA,NA,NA
Lindstrom_2012,31,Bibo_marci,other_flies,NA,1,NA,NA,NA,NA
Lindstrom_2012,33,Bibo_marci,other_flies,NA,1,NA,NA,NA,NA
Lindstrom_2012,34,Bibo_marci,other_flies,NA,1,NA,NA,NA,NA
Lindstrom_2012,37,Bibo_marci,other_flies,NA,1,NA,NA,NA,NA
Lindstrom_2012,41,Bibo_marci,other_flies,NA,2,NA,NA,NA,NA
Lindstrom_2012,43,Bibo_marci,other_flies,NA,1,NA,NA,NA,NA
Lindstrom_2012,33,Dilophilus_febrilis,other_flies,NA,1,NA,NA,NA,NA
Lindstrom_2012,25,Diptera_sp.,other_flies,NA,19,NA,NA,NA,NA
Lindstrom_2012,26,Diptera_sp.,other_flies,NA,5,NA,NA,NA,NA
