study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Malus_domestia_Norway_2013,Close1,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Close2,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Close3,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Close3,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,2,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,3,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,2,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,2,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,2,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,2,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist2,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist4,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist4,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist4,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist4,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist4,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist4,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
Malus_domestia_Norway_2013,Dist4,B..lucorum,bumblebees,sweep net,1,1200,120,6000,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least four dates during the main flowering period"
