study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Mark_Otieno_Cajanus_cajan_Kenya_2009,Athi 2A,Apis mellifera,honeybees,observation,2.6363636363636362,NA,NA,NA,Abundance information refers to the number of flower visits (frequency). Bees were observed along five 100 m-long 2 m-wide transects at field. Each transect was walked twice a day. Observation time was 10 min per transect.
Mark_Otieno_Cajanus_cajan_Kenya_2009,Athi 1A,Ceratina sp.,other_wild_bees,observation,2.6363636363636362,NA,NA,NA,Abundance information refers to the number of flower visits (frequency). Bees were observed along five 100 m-long 2 m-wide transects at field. Each transect was walked twice a day. Observation time was 10 min per transect.
Mark_Otieno_Cajanus_cajan_Kenya_2009,Chyulu 1A,Ceratina sp.,other_wild_bees,observation,2.5454545454545454,NA,NA,NA,Abundance information refers to the number of flower visits (frequency). Bees were observed along five 100 m-long 2 m-wide transects at field. Each transect was walked twice a day. Observation time was 10 min per transect.
Mark_Otieno_Cajanus_cajan_Kenya_2009,Chyulu 1A,Apis mellifera,honeybees,observation,2.3636363636363638,NA,NA,NA,Abundance information refers to the number of flower visits (frequency). Bees were observed along five 100 m-long 2 m-wide transects at field. Each transect was walked twice a day. Observation time was 10 min per transect.
Mark_Otieno_Cajanus_cajan_Kenya_2009,Kala 1A,Megachile flavipennis,other_wild_bees,observation,2.090909090909091,NA,NA,NA,Abundance information refers to the number of flower visits (frequency). Bees were observed along five 100 m-long 2 m-wide transects at field. Each transect was walked twice a day. Observation time was 10 min per transect.
Mark_Otieno_Cajanus_cajan_Kenya_2009,Chyulu 1A,Meliponula sp.,other_wild_bees,observation,2.090909090909091,NA,NA,NA,Abundance information refers to the number of flower visits (frequency). Bees were observed along five 100 m-long 2 m-wide transects at field. Each transect was walked twice a day. Observation time was 10 min per transect.
Mark_Otieno_Cajanus_cajan_Kenya_2009,Kala 1A,Ceratina sp.,other_wild_bees,observation,1.9090909090909092,NA,NA,NA,Abundance information refers to the number of flower visits (frequency). Bees were observed along five 100 m-long 2 m-wide transects at field. Each transect was walked twice a day. Observation time was 10 min per transect.
Mark_Otieno_Cajanus_cajan_Kenya_2009,Kala 1B,Ceratina sp.,other_wild_bees,observation,1.9090909090909092,NA,NA,NA,Abundance information refers to the number of flower visits (frequency). Bees were observed along five 100 m-long 2 m-wide transects at field. Each transect was walked twice a day. Observation time was 10 min per transect.
Mark_Otieno_Cajanus_cajan_Kenya_2009,Athi 1A,Apis mellifera,honeybees,observation,1.8181818181818181,NA,NA,NA,Abundance information refers to the number of flower visits (frequency). Bees were observed along five 100 m-long 2 m-wide transects at field. Each transect was walked twice a day. Observation time was 10 min per transect.
Mark_Otieno_Cajanus_cajan_Kenya_2009,Athi 1B,Apis mellifera,honeybees,observation,1.8181818181818181,NA,NA,NA,Abundance information refers to the number of flower visits (frequency). Bees were observed along five 100 m-long 2 m-wide transects at field. Each transect was walked twice a day. Observation time was 10 min per transect.
Mark_Otieno_Cajanus_cajan_Kenya_2009,Kala 1A,Apis mellifera,honeybees,observation,1.6363636363636365,NA,NA,NA,Abundance information refers to the number of flower visits (frequency). Bees were observed along five 100 m-long 2 m-wide transects at field. Each transect was walked twice a day. Observation time was 10 min per transect.
