study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Taki01,1,Apis cerana,other_wild_bees,netting form flower,3,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,1,Apis mellifera,honeybees,netting form flower,14,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,1,Chrysomya pinguis,other_flies,netting form flower,1,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,1,Eristalis (Eoeristaris) cerealis,syrphids,netting form flower,2,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,1,Erythrocera genalis,other_flies,netting form flower,1,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,1,Formica japonica,non_bee_hymenoptera,netting form flower,3,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,1,Gametis jucunda,beetles,netting form flower,5,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,1,Megacampsomeris grossa,non_bee_hymenoptera,netting form flower,1,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,1,Parnara guttata,lepidoptera,netting form flower,2,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,1,Phytomia zonata,syrphids,netting form flower,4,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,1,Stomorhina obsoleta,other_flies,netting form flower,2,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,2,Apis cerana,other_wild_bees,netting form flower,2,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,2,Apis mellifera,honeybees,netting form flower,15,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,2,Boettcherisca peregrina,other_flies,netting form flower,1,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,2,Bradysia sp.,other_flies,netting form flower,1,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,2,Epeolus japonicus,other_wild_bees,netting form flower,1,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,2,Eristalis tenax,syrphids,netting form flower,1,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,2,Formica japonica,non_bee_hymenoptera,netting form flower,2,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,2,Gametis jucunda,beetles,netting form flower,2,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,2,Megacampsomeris grossa,non_bee_hymenoptera,netting form flower,1,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,2,Neophryxe psychidis,other_flies,netting form flower,1,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,2,Parnara guttata,lepidoptera,netting form flower,3,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,2,Phytomia zonata,syrphids,netting form flower,3,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,2,Stomorhina obsoleta,other_flies,netting form flower,1,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,3,Apis cerana,other_wild_bees,netting form flower,6,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,3,Apis mellifera,honeybees,netting form flower,15,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,3,Coelioxys hiroba,other_wild_bees,netting form flower,1,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
Taki01,3,Eumenes sp,non_bee_hymenoptera,netting form flower,1,NA,NA,NA,"Measures per site: 10 plants, 3 sampling rounds in each year
"
