study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Taylor_Ricketts_Coffea_arabica_Costa_Rica_2001,1,Apis mellifera,honeybees,samples of flower visitors,32,NA,110,2750,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
Taylor_Ricketts_Coffea_arabica_Costa_Rica_2001,1,Nannotrigona mellaria,other_wild_bees,samples of flower visitors,12,NA,110,2750,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
Taylor_Ricketts_Coffea_arabica_Costa_Rica_2001,1,Partamona cupira / Trigona fussipennis / Trigona corvina,other_wild_bees,samples of flower visitors,3,NA,110,2750,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
Taylor_Ricketts_Coffea_arabica_Costa_Rica_2001,1,Plebeia jatiformis,other_wild_bees,samples of flower visitors,31,NA,110,2750,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
Taylor_Ricketts_Coffea_arabica_Costa_Rica_2001,1,Plebia frontalis,other_wild_bees,samples of flower visitors,7,NA,110,2750,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
Taylor_Ricketts_Coffea_arabica_Costa_Rica_2001,1,Trigona (Tetragona) clavipes,other_wild_bees,samples of flower visitors,3,NA,110,2750,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
Taylor_Ricketts_Coffea_arabica_Costa_Rica_2001,1,Trigona (tetragonisca) angustula,other_wild_bees,samples of flower visitors,9,NA,110,2750,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
Taylor_Ricketts_Coffea_arabica_Costa_Rica_2001,1,Trigona dorsalis,other_wild_bees,samples of flower visitors,1,NA,110,2750,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
Taylor_Ricketts_Coffea_arabica_Costa_Rica_2001,1,Trigona fulviventris,other_wild_bees,samples of flower visitors,5,NA,110,2750,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
Taylor_Ricketts_Coffea_arabica_Costa_Rica_2001,1,Trigonisca sp.,other_wild_bees,samples of flower visitors,5,NA,110,2750,"At each site, on each day in which coffee was in flower, 2 simultaneous samples of flower visitors were taken. Each sample involved recording each visitor and the number of flowers visited for 10 minutes on an area of one bush comprising approximately 250 flowers."
