study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Yael_Mandelik_Citrullus_lanatus_Israel_2010,8,Halictus sp.,other_wild_bees,netting,1,NA,NA,NA,"Fields have one or two study plots (25 × 25 m). Each plot was sampled between one and three times (mostly twice), each time on a separate day. In each sampling day, two sampling sessions were carried out. Each session included 15 min of bee netting."
Yael_Mandelik_Citrullus_lanatus_Israel_2010,2,Nomioides sp. 1,other_wild_bees,netting,1,NA,NA,NA,"Fields have one or two study plots (25 × 25 m). Each plot was sampled between one and three times (mostly twice), each time on a separate day. In each sampling day, two sampling sessions were carried out. Each session included 15 min of bee netting."
Yael_Mandelik_Citrullus_lanatus_Israel_2010,2,Nomioidinae sp.,other_wild_bees,netting,1,NA,NA,NA,"Fields have one or two study plots (25 × 25 m). Each plot was sampled between one and three times (mostly twice), each time on a separate day. In each sampling day, two sampling sessions were carried out. Each session included 15 min of bee netting."
Yael_Mandelik_Citrullus_lanatus_Israel_2010,5,Tarsalia sp. 1,other_wild_bees,netting,1,NA,NA,NA,"Fields have one or two study plots (25 × 25 m). Each plot was sampled between one and three times (mostly twice), each time on a separate day. In each sampling day, two sampling sessions were carried out. Each session included 15 min of bee netting."
Yael_Mandelik_Citrullus_lanatus_Israel_2010,1,Hylaeus aff. dinkleri,other_wild_bees,netting,1,NA,NA,NA,"Fields have one or two study plots (25 × 25 m). Each plot was sampled between one and three times (mostly twice), each time on a separate day. In each sampling day, two sampling sessions were carried out. Each session included 15 min of bee netting."
Yael_Mandelik_Citrullus_lanatus_Israel_2010,4,Lasioglossum aff. morio,other_wild_bees,netting,1,NA,NA,NA,"Fields have one or two study plots (25 × 25 m). Each plot was sampled between one and three times (mostly twice), each time on a separate day. In each sampling day, two sampling sessions were carried out. Each session included 15 min of bee netting."
Yael_Mandelik_Citrullus_lanatus_Israel_2010,2,Megachile cf. fertoni,other_wild_bees,netting,1,NA,NA,NA,"Fields have one or two study plots (25 × 25 m). Each plot was sampled between one and three times (mostly twice), each time on a separate day. In each sampling day, two sampling sessions were carried out. Each session included 15 min of bee netting."
Yael_Mandelik_Citrullus_lanatus_Israel_2010,10,Andrena flavipes,other_wild_bees,netting,1,NA,NA,NA,"Fields have one or two study plots (25 × 25 m). Each plot was sampled between one and three times (mostly twice), each time on a separate day. In each sampling day, two sampling sessions were carried out. Each session included 15 min of bee netting."
Yael_Mandelik_Citrullus_lanatus_Israel_2010,8,Ceratina bispinosa,other_wild_bees,netting,1,NA,NA,NA,"Fields have one or two study plots (25 × 25 m). Each plot was sampled between one and three times (mostly twice), each time on a separate day. In each sampling day, two sampling sessions were carried out. Each session included 15 min of bee netting."
Yael_Mandelik_Citrullus_lanatus_Israel_2010,3,Ceratina bispinosa,other_wild_bees,netting,1,NA,NA,NA,"Fields have one or two study plots (25 × 25 m). Each plot was sampled between one and three times (mostly twice), each time on a separate day. In each sampling day, two sampling sessions were carried out. Each session included 15 min of bee netting."
