study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
bore01,3,Apis_cerana,other_wild_bees,"observations (15min/observation, simulatenous)",0,NA,45,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,3,Apis_dorsata,other_wild_bees,"observations (15min/observation, simulatenous)",0,NA,45,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,3,Tetragonula_iridipennis,other_wild_bees,"observations (15min/observation, simulatenous)",0,NA,45,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,13,Apis_cerana,other_wild_bees,"observations (15min/observation, simulatenous)",4,NA,75,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,13,Apis_dorsata,other_wild_bees,"observations (15min/observation, simulatenous)",116,NA,75,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,13,Ceratina_sp1,other_wild_bees,"observations (15min/observation, simulatenous)",1,NA,75,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,13,Tetragonula_iridipennis,other_wild_bees,"observations (15min/observation, simulatenous)",50,NA,75,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,16,Apis_cerana,other_wild_bees,"observations (15min/observation, simulatenous)",14,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,16,Apis_dorsata,other_wild_bees,"observations (15min/observation, simulatenous)",117,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,16,Ceratina_sp1,other_wild_bees,"observations (15min/observation, simulatenous)",1,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,16,Tetragonula_iridipennis,other_wild_bees,"observations (15min/observation, simulatenous)",5,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,18,Apis_cerana,other_wild_bees,"observations (15min/observation, simulatenous)",0,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,18,Apis_dorsata,other_wild_bees,"observations (15min/observation, simulatenous)",0,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,18,Tetragonula_iridipennis,other_wild_bees,"observations (15min/observation, simulatenous)",2,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,20,Apis_cerana,other_wild_bees,"observations (15min/observation, simulatenous)",60,NA,75,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,20,Apis_dorsata,other_wild_bees,"observations (15min/observation, simulatenous)",161,NA,75,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,20,Tetragonula_iridipennis,other_wild_bees,"observations (15min/observation, simulatenous)",23,NA,75,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,21,Ceratina_sp1,other_wild_bees,"observations (15min/observation, simulatenous)",1,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,21,Ceratina_sp2,other_wild_bees,"observations (15min/observation, simulatenous)",1,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,24,Apis_cerana,other_wild_bees,"observations (15min/observation, simulatenous)",0,NA,45,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,24,Apis_dorsata,other_wild_bees,"observations (15min/observation, simulatenous)",0,NA,45,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,24,Tetragonula_iridipennis,other_wild_bees,"observations (15min/observation, simulatenous)",0,NA,45,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,27,Apis_cerana,other_wild_bees,"observations (15min/observation, simulatenous)",15,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,27,Apis_dorsata,other_wild_bees,"observations (15min/observation, simulatenous)",79,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,27,Tetragonula_iridipennis,other_wild_bees,"observations (15min/observation, simulatenous)",15,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,28,Apis_cerana,other_wild_bees,"observations (15min/observation, simulatenous)",0,NA,45,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,28,Apis_dorsata,other_wild_bees,"observations (15min/observation, simulatenous)",1,NA,45,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,28,Tetragonula_iridipennis,other_wild_bees,"observations (15min/observation, simulatenous)",8,NA,45,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,40,Apis_cerana,other_wild_bees,"observations (15min/observation, simulatenous)",0,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,40,Apis_dorsata,other_wild_bees,"observations (15min/observation, simulatenous)",0,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,40,Tetragonula_iridipennis,other_wild_bees,"observations (15min/observation, simulatenous)",0,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,46,Apis_cerana,other_wild_bees,"observations (15min/observation, simulatenous)",0,NA,45,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,46,Apis_dorsata,other_wild_bees,"observations (15min/observation, simulatenous)",0,NA,45,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,46,Tetragonula_iridipennis,other_wild_bees,"observations (15min/observation, simulatenous)",2,NA,45,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,53,Apis_cerana,other_wild_bees,"observations (15min/observation, simulatenous)",0,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,53,Apis_dorsata,other_wild_bees,"observations (15min/observation, simulatenous)",0,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
bore01,53,Tetragonula_iridipennis,other_wild_bees,"observations (15min/observation, simulatenous)",3,NA,60,NA,"for insect observation: 3 to 8x15min observations, encompassing 5 branches of 6 clusters each. "
