study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
carv02,carv02_01,Apis mellifera L.,honeybees,sweep net,196.875,NA,24,NA,"Total numbe of visitors per 90 sunflower heads. Note that flower abundance (hence sampling effort) varied between sites. 6 (3 x 4min censuses, repeated in the morning and afternoon. Total observation time per plant = 24min)"
carv02,carv02_01,Astylus atromaculatus Blanchard *,beetles,sweep net,45,NA,24,NA,"Total numbe of visitors per 90 sunflower heads. Note that flower abundance (hence sampling effort) varied between sites. 6 (3 x 4min censuses, repeated in the morning and afternoon. Total observation time per plant = 24min)"
carv02,carv02_01,Carpophilus sp.,beetles,sweep net,11.25,NA,24,NA,"Total numbe of visitors per 90 sunflower heads. Note that flower abundance (hence sampling effort) varied between sites. 6 (3 x 4min censuses, repeated in the morning and afternoon. Total observation time per plant = 24min)"
carv02,carv02_01,Heteroptera sp.,other,sweep net,22.5,NA,24,NA,"Total numbe of visitors per 90 sunflower heads. Note that flower abundance (hence sampling effort) varied between sites. 6 (3 x 4min censuses, repeated in the morning and afternoon. Total observation time per plant = 24min)"
carv02,carv02_01,Lasioglossum sp.,other_wild_bees,sweep net,0.01,NA,24,NA,"Total numbe of visitors per 90 sunflower heads. Note that flower abundance (hence sampling effort) varied between sites. 6 (3 x 4min censuses, repeated in the morning and afternoon. Total observation time per plant = 24min)"
carv02,carv02_01,Sarcophagidae sp.,other_flies,sweep net,0.01,NA,24,NA,"Total numbe of visitors per 90 sunflower heads. Note that flower abundance (hence sampling effort) varied between sites. 6 (3 x 4min censuses, repeated in the morning and afternoon. Total observation time per plant = 24min)"
carv02,carv02_01,Syrphidae sp1,syrphids,sweep net,0.01,NA,24,NA,"Total numbe of visitors per 90 sunflower heads. Note that flower abundance (hence sampling effort) varied between sites. 6 (3 x 4min censuses, repeated in the morning and afternoon. Total observation time per plant = 24min)"
carv02,carv02_10,Apis mellifera L.,honeybees,sweep net,144,NA,24,NA,"Total numbe of visitors per 90 sunflower heads. Note that flower abundance (hence sampling effort) varied between sites. 6 (3 x 4min censuses, repeated in the morning and afternoon. Total observation time per plant = 24min)"
carv02,carv02_10,"Baris cf. atrocoerulea (Boheman, 1844)",beetles,sweep net,6,NA,24,NA,"Total numbe of visitors per 90 sunflower heads. Note that flower abundance (hence sampling effort) varied between sites. 6 (3 x 4min censuses, repeated in the morning and afternoon. Total observation time per plant = 24min)"
carv02,carv02_10,Caliophoridae sp.,other_flies,sweep net,6,NA,24,NA,"Total numbe of visitors per 90 sunflower heads. Note that flower abundance (hence sampling effort) varied between sites. 6 (3 x 4min censuses, repeated in the morning and afternoon. Total observation time per plant = 24min)"
carv02,carv02_11,Apis mellifera L.,honeybees,sweep net,108,NA,24,NA,"Total numbe of visitors per 90 sunflower heads. Note that flower abundance (hence sampling effort) varied between sites. 6 (3 x 4min censuses, repeated in the morning and afternoon. Total observation time per plant = 24min)"
carv02,carv02_11,Dioxyna sororcula,other_flies,sweep net,12,NA,24,NA,"Total numbe of visitors per 90 sunflower heads. Note that flower abundance (hence sampling effort) varied between sites. 6 (3 x 4min censuses, repeated in the morning and afternoon. Total observation time per plant = 24min)"
carv02,carv02_11,Lasioglossum sp.,other_wild_bees,sweep net,0.01,NA,24,NA,"Total numbe of visitors per 90 sunflower heads. Note that flower abundance (hence sampling effort) varied between sites. 6 (3 x 4min censuses, repeated in the morning and afternoon. Total observation time per plant = 24min)"
carv02,carv02_12,“Lagria” cf. aeneipennis Fåhraeus,beetles,sweep net,10,NA,24,NA,"Total numbe of visitors per 90 sunflower heads. Note that flower abundance (hence sampling effort) varied between sites. 6 (3 x 4min censuses, repeated in the morning and afternoon. Total observation time per plant = 24min)"
