study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
chac04,B1CAS 1,Abeja abdomen naranja,other_wild_bees,35 census of 15 minutes observation to a flowering branch,1,NA,525,NA,NA
chac04,B1CAS 1,Abeja brillante sin pelos rayas en abdomen,other_wild_bees,35 census of 15 minutes observation to a flowering branch,1,NA,525,NA,NA
chac04,B1CAS 1,Abeja negra,other_wild_bees,35 census of 15 minutes observation to a flowering branch,1,NA,525,NA,NA
chac04,B1CAS 1,Aphididae,other,35 census of 15 minutes observation to a flowering branch,1,NA,525,NA,NA
chac04,B1CAS 1,Apis melifera,honeybees,35 census of 15 minutes observation to a flowering branch,141,NA,525,NA,NA
chac04,B1CAS 1,Avispa negra copada,non_bee_hymenoptera,35 census of 15 minutes observation to a flowering branch,1,NA,525,NA,NA
chac04,B1CAS 1,Avispa pequeña,non_bee_hymenoptera,35 census of 15 minutes observation to a flowering branch,1,NA,525,NA,NA
chac04,B1CAS 1,Bombus atratus,bumblebees,35 census of 15 minutes observation to a flowering branch,16,NA,525,NA,NA
chac04,B1CAS 1,Bombus negro,bumblebees,35 census of 15 minutes observation to a flowering branch,3,NA,525,NA,NA
chac04,B1CAS 1,Diptero 1,other_flies,35 census of 15 minutes observation to a flowering branch,1,NA,525,NA,NA
chac04,B1CAS 1,Halictidae 1,other_wild_bees,35 census of 15 minutes observation to a flowering branch,1,NA,525,NA,NA
chac04,B1CAS 1,Halictidae 2,other_wild_bees,35 census of 15 minutes observation to a flowering branch,1,NA,525,NA,NA
chac04,B1CAS 1,Halictidae 3,other_wild_bees,35 census of 15 minutes observation to a flowering branch,1,NA,525,NA,NA
chac04,B1CAS 1,Ligaidae,other,35 census of 15 minutes observation to a flowering branch,3,NA,525,NA,NA
chac04,B1CAS 1,Mariposa alas transparentes,lepidoptera,35 census of 15 minutes observation to a flowering branch,1,NA,525,NA,NA
chac04,B1CAS 1,Mariposa monarca,lepidoptera,35 census of 15 minutes observation to a flowering branch,1,NA,525,NA,NA
chac04,B1CAS 1,Mosca brillante,other_flies,35 census of 15 minutes observation to a flowering branch,2,NA,525,NA,NA
chac04,B1CAS 1,Mosca domestica,other_flies,35 census of 15 minutes observation to a flowering branch,2,NA,525,NA,NA
chac04,B1CAS 1,Mosca gris lomo rayado,other_flies,35 census of 15 minutes observation to a flowering branch,1,NA,525,NA,NA
chac04,B1CAS 1,Papilio thoas,lepidoptera,35 census of 15 minutes observation to a flowering branch,1,NA,525,NA,NA
chac04,B1CAS 1,Plebeia sp,other_wild_bees,35 census of 15 minutes observation to a flowering branch,24,NA,525,NA,NA
chac04,B1CAS 1,Syrphido,syrphids,35 census of 15 minutes observation to a flowering branch,2,NA,525,NA,NA
chac04,B1CAS 1,Xylocopa eximia,other_wild_bees,35 census of 15 minutes observation to a flowering branch,3,NA,525,NA,NA
chac04,B2CAS 2,Apis melifera,honeybees,42 census of 15 minutes observation to a flowering branch,275,NA,630,NA,NA
chac04,B2CAS 2,Avispa marron,non_bee_hymenoptera,42 census of 15 minutes observation to a flowering branch,1,NA,630,NA,NA
chac04,B2CAS 2,Bombus atratus,bumblebees,42 census of 15 minutes observation to a flowering branch,5,NA,630,NA,NA
chac04,B2CAS 2,Bombus negro,bumblebees,42 census of 15 minutes observation to a flowering branch,11,NA,630,NA,NA
chac04,B2CAS 2,Coleoptera 1,beetles,42 census of 15 minutes observation to a flowering branch,1,NA,630,NA,NA
chac04,B2CAS 2,Diptero 1,other_flies,42 census of 15 minutes observation to a flowering branch,1,NA,630,NA,NA
chac04,B2CAS 2,Diptero 2,other_flies,42 census of 15 minutes observation to a flowering branch,1,NA,630,NA,NA
chac04,B2CAS 2,Diptero 3,other_flies,42 census of 15 minutes observation to a flowering branch,1,NA,630,NA,NA
chac04,B2CAS 2,Diptero 5,other_flies,42 census of 15 minutes observation to a flowering branch,1,NA,630,NA,NA
chac04,B2CAS 2,Halictidae 1,other_wild_bees,42 census of 15 minutes observation to a flowering branch,1,NA,630,NA,NA
chac04,B2CAS 2,Ligaidae,other,42 census of 15 minutes observation to a flowering branch,1,NA,630,NA,NA
chac04,B2CAS 2,Mariposa alas transparentes,lepidoptera,42 census of 15 minutes observation to a flowering branch,1,NA,630,NA,NA
chac04,B2CAS 2,Mariposa marron grande,lepidoptera,42 census of 15 minutes observation to a flowering branch,2,NA,630,NA,NA
chac04,B2CAS 2,Mosca brillante,other_flies,42 census of 15 minutes observation to a flowering branch,3,NA,630,NA,NA
chac04,B2CAS 2,Mosca domestica,other_flies,42 census of 15 minutes observation to a flowering branch,1,NA,630,NA,NA
chac04,B2CAS 2,Papilio thoas,lepidoptera,42 census of 15 minutes observation to a flowering branch,1,NA,630,NA,NA
chac04,B2CAS 2,Pirpinto amarillo,lepidoptera,42 census of 15 minutes observation to a flowering branch,1,NA,630,NA,NA
chac04,B2CAS 2,Plebeia sp,other_wild_bees,42 census of 15 minutes observation to a flowering branch,11,NA,630,NA,NA
chac04,B2CAS 2,Syrphido,syrphids,42 census of 15 minutes observation to a flowering branch,1,NA,630,NA,NA
chac04,B2CAS 2,Xylocopa eximia,other_wild_bees,42 census of 15 minutes observation to a flowering branch,3,NA,630,NA,NA
chac04,B3CAS 7,Apis melifera,honeybees,29 census of 15 minutes observation to a flowering branch,36,NA,435,NA,NA
chac04,B3CAS 7,Bombus atratus,bumblebees,29 census of 15 minutes observation to a flowering branch,1,NA,435,NA,NA
chac04,B3CAS 7,Diptero 2,other_flies,29 census of 15 minutes observation to a flowering branch,1,NA,435,NA,NA
chac04,B3CAS 7,Mariposa gris chiquita,lepidoptera,29 census of 15 minutes observation to a flowering branch,1,NA,435,NA,NA
chac04,B3CAS 7,Plebeia sp,other_wild_bees,29 census of 15 minutes observation to a flowering branch,1,NA,435,NA,NA
chac04,B4MON 1,Abeja abdomen naranja,other_wild_bees,32 census of 15 minutes observation to a flowering branch,1,NA,480,NA,NA
chac04,B4MON 1,Apis melifera,honeybees,32 census of 15 minutes observation to a flowering branch,53,NA,480,NA,NA
chac04,B4MON 1,Avispa rayada ,non_bee_hymenoptera,32 census of 15 minutes observation to a flowering branch,1,NA,480,NA,NA
chac04,B4MON 1,Bombus atratus,bumblebees,32 census of 15 minutes observation to a flowering branch,3,NA,480,NA,NA
chac04,B4MON 1,Bombus negro ,bumblebees,32 census of 15 minutes observation to a flowering branch,13,NA,480,NA,NA
chac04,B4MON 1,Coleoptera 2,beetles,32 census of 15 minutes observation to a flowering branch,3,NA,480,NA,NA
chac04,B4MON 1,Diptero 1,other_flies,32 census of 15 minutes observation to a flowering branch,1,NA,480,NA,NA
chac04,B4MON 1,Diptero 4,other_flies,32 census of 15 minutes observation to a flowering branch,1,NA,480,NA,NA
chac04,B4MON 1,Halictidae 1,other_wild_bees,32 census of 15 minutes observation to a flowering branch,1,NA,480,NA,NA
chac04,B4MON 1,Halictidae 2,other_wild_bees,32 census of 15 minutes observation to a flowering branch,1,NA,480,NA,NA
chac04,B4MON 1,Mosca gris lomo rayado,other_flies,32 census of 15 minutes observation to a flowering branch,1,NA,480,NA,NA
chac04,B4MON 1,Plebeia sp,other_wild_bees,32 census of 15 minutes observation to a flowering branch,1,NA,480,NA,NA
chac04,B4MON 1,Xylocopa eximia,other_wild_bees,32 census of 15 minutes observation to a flowering branch,1,NA,480,NA,NA
chac04,CA1CAS 5,Apis melifera,honeybees,23 census of 15 minutes observation to a flowering branch,44,NA,345,NA,NA
chac04,CA1CAS 5,Diptero 1,other_flies,23 census of 15 minutes observation to a flowering branch,2,NA,345,NA,NA
chac04,CA1CAS 5,Plebeia sp,other_wild_bees,23 census of 15 minutes observation to a flowering branch,1,NA,345,NA,NA
chac04,CA2CAS 3,Apis melifera,honeybees,45 census of 15 minutes observation to a flowering branch,420,NA,675,NA,NA
chac04,CA2CAS 3,Bombus atratus,bumblebees,45 census of 15 minutes observation to a flowering branch,4,NA,675,NA,NA
chac04,CA2CAS 3,Coleoptera 2,beetles,45 census of 15 minutes observation to a flowering branch,2,NA,675,NA,NA
chac04,CA2CAS 3,Diptero 2,other_flies,45 census of 15 minutes observation to a flowering branch,1,NA,675,NA,NA
chac04,CA2CAS 3,Diptero 4,other_flies,45 census of 15 minutes observation to a flowering branch,2,NA,675,NA,NA
chac04,CA2CAS 3,Diptero 6,other_flies,45 census of 15 minutes observation to a flowering branch,1,NA,675,NA,NA
chac04,CA2CAS 3,Hormiga,non_bee_hymenoptera,45 census of 15 minutes observation to a flowering branch,1,NA,675,NA,NA
chac04,CA2CAS 3,Ligaidae,other,45 census of 15 minutes observation to a flowering branch,1,NA,675,NA,NA
chac04,CA2CAS 3,Mariposa alas transparentes,lepidoptera,45 census of 15 minutes observation to a flowering branch,2,NA,675,NA,NA
chac04,CA2CAS 3,Mariposa gris chiquita,lepidoptera,45 census of 15 minutes observation to a flowering branch,1,NA,675,NA,NA
chac04,CA2CAS 3,Mariposa marron grande,lepidoptera,45 census of 15 minutes observation to a flowering branch,1,NA,675,NA,NA
chac04,CA2CAS 3,Mariposa marron pequeña,lepidoptera,45 census of 15 minutes observation to a flowering branch,3,NA,675,NA,NA
chac04,CA2CAS 3,Mariposa monarca,lepidoptera,45 census of 15 minutes observation to a flowering branch,1,NA,675,NA,NA
chac04,CA2CAS 3,Mosca brillante,other_flies,45 census of 15 minutes observation to a flowering branch,3,NA,675,NA,NA
chac04,CA2CAS 3,Mosca brillante  ,other_flies,45 census of 15 minutes observation to a flowering branch,1,NA,675,NA,NA
chac04,CA2CAS 3,Mosca domestica,other_flies,45 census of 15 minutes observation to a flowering branch,1,NA,675,NA,NA
chac04,CA2CAS 3,Mosca gris lomo rayado,other_flies,45 census of 15 minutes observation to a flowering branch,1,NA,675,NA,NA
chac04,CA2CAS 3,Papilio thoas,lepidoptera,45 census of 15 minutes observation to a flowering branch,6,NA,675,NA,NA
chac04,CA2CAS 3,Pirpinto amarillo,lepidoptera,45 census of 15 minutes observation to a flowering branch,1,NA,675,NA,NA
chac04,CA2CAS 3,Plebeia sp,other_wild_bees,45 census of 15 minutes observation to a flowering branch,6,NA,675,NA,NA
chac04,CA2CAS 3,Syrphido,syrphids,45 census of 15 minutes observation to a flowering branch,4,NA,675,NA,NA
chac04,CA2CAS 3,Xylocopa eximia,other_wild_bees,45 census of 15 minutes observation to a flowering branch,2,NA,675,NA,NA
chac04,CA2CAS 3,Xylocopa negro,other_wild_bees,45 census of 15 minutes observation to a flowering branch,1,NA,675,NA,NA
chac04,CA3CAS 8,Apis melifera,honeybees,27 census of 15 minutes observation to a flowering branch,13,NA,405,NA,NA
chac04,CA3CAS 8,Coleoptera 2,beetles,27 census of 15 minutes observation to a flowering branch,15,NA,405,NA,NA
chac04,CA3CAS 8,Plebeia sp,other_wild_bees,27 census of 15 minutes observation to a flowering branch,2,NA,405,NA,NA
