study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
cuss01,Chris,Agapostemon texana,other_wild_bees,Ariel Netting from cotton flowers,3,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
cuss01,Chris,Allograpta exotica,syrphids,Ariel Netting from cotton flowers,7,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
cuss01,Chris,Apis mellifera,honeybees,Ariel Netting from cotton flowers,28,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
cuss01,Chris,Lasioglossum tegulare,other_wild_bees,Ariel Netting from cotton flowers,1,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
cuss01,Chris,Lerodae eufala,lepidoptera,Ariel Netting from cotton flowers,1,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
cuss01,Chris,Melissodes tepanaca,other_wild_bees,Ariel Netting from cotton flowers,40,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
cuss01,Chris,Toxomerus politus,syrphids,Ariel Netting from cotton flowers,3,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
cuss01,Chris,Ladybird sp1,beetles,Ariel Netting from cotton flowers,2,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
cuss01,Chris,Lasioglossum dialictus sp.,other_wild_bees,Ariel Netting from cotton flowers,6,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
cuss01,House.Block,Allograpta exotica,syrphids,Ariel Netting from cotton flowers,2,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
cuss01,House.Block,Ancyloscelis apiformis,other_wild_bees,Ariel Netting from cotton flowers,1,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
cuss01,House.Block,Apis mellifera,honeybees,Ariel Netting from cotton flowers,38,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
cuss01,House.Block,Diadasia diminuta,other_wild_bees,Ariel Netting from cotton flowers,1,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
cuss01,House.Block,Lasioglossum coactum,other_wild_bees,Ariel Netting from cotton flowers,4,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
cuss01,House.Block,Lasioglossum tegulare,other_wild_bees,Ariel Netting from cotton flowers,1,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
cuss01,House.Block,Melissodes tepanaca,other_wild_bees,Ariel Netting from cotton flowers,9,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
cuss01,House.Block,Strymon melinus,lepidoptera,Ariel Netting from cotton flowers,1,600,180,NA,"Measures per site: four 50m transects per plot (pooled), 3 temporal replicates"
