study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
hipo02,C01,Apis mellifera,honeybees,sweepnet,4,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C01,Lepidoptera sp 1,lepidoptera,sweepnet,2,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C01,Lepidoptera sp 2,lepidoptera,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C01,Lepidoptera sp 3,lepidoptera,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C03,Bombus brevivillus,bumblebees,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C03,Bombus brevivillus,bumblebees,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C03,Geotrigona subterranea,other_wild_bees,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C03,Partamona sp.1,other_wild_bees,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C03,Plebeia sp.1,other_wild_bees,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C03,Trigona spinipes,other_wild_bees,sweepnet,3,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C04,Apis mellifera,honeybees,sweepnet,5,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C04,Bombus brevivillus,bumblebees,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C04,Bombus brevivillus,bumblebees,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C04,Trigona spinipes,other_wild_bees,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C05,Apis mellifera,honeybees,sweepnet,4,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C05,Crabronidae sp1,non_bee_hymenoptera,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C05,Crabronidae sp2,non_bee_hymenoptera,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C07,Apis mellifera,honeybees,sweepnet,14,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C07,Apis mellifera,honeybees,sweepnet,5,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C07,Bombus brevivillus,bumblebees,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C07,Ceratitis capitata,other_flies,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C07,Coleoptera sp1,beetles,sweepnet,3,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C07,Lepidoptera sp3,lepidoptera,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C07,Lepidoptera sp4,lepidoptera,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
hipo02,C07,Palpada furcata,syrphids,sweepnet,1,200,40,120,4 transects (25 m long) for 5 minutes each per plot. 2 sampling rounds in one season
