study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
krish02,kushal org1,Apis cerana indica,other_wild_bees,Direct ocular observations,1,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,kushal org1,Thysanoptera (Thrips),other,Direct ocular observations,3,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,kushal org2,Thysanoptera (Thrips),other,Direct ocular observations,29,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,kushal org3,Apis florea,honeybees,Direct ocular observations,1,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,kushal org3,Tetragonula iridipennis,other_wild_bees,Direct ocular observations,6,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,kushal org3,Thysanoptera (Thrips),other,Direct ocular observations,8,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,bharath1,Apis cerana indica,other_wild_bees,Direct ocular observations,1,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,bharath1,Tetragonula iridipennis,other_wild_bees,Direct ocular observations,7,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,bharath1,Thysanoptera (Thrips),other,Direct ocular observations,13,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,bharath2,Eumenine,non_bee_hymenoptera,Direct ocular observations,1,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,bharath2,Thysanoptera (Thrips),other,Direct ocular observations,3,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,bharath3,Apis cerana indica,other_wild_bees,Direct ocular observations,12,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,bharath3,Apis dorsata,honeybees,Direct ocular observations,5,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,bharath3,Coleoptera,beetles,Direct ocular observations,2,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,bharath3,Diptera2,other_flies,Direct ocular observations,1,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,bharath3,Syrphidae (hover fly),syrphids,Direct ocular observations,1,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,bharath3,Tetragonula iridipennis,other_wild_bees,Direct ocular observations,25,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,bharath3,Thysanoptera (Thrips),other,Direct ocular observations,28,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,govindan1,Thysanoptera (Thrips),other,Direct ocular observations,14,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,govindan3,Thysanoptera (Thrips),other,Direct ocular observations,4,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,hamsa2,Apis cerana indica,other_wild_bees,Direct ocular observations,1,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,hamsa2,Apis dorsata,honeybees,Direct ocular observations,6,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,hamsa3,Apis cerana indica,other_wild_bees,Direct ocular observations,4,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,hamsa3,Apis dorsata,honeybees,Direct ocular observations,4,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,vasanti2,Apis cerana indica,other_wild_bees,Direct ocular observations,7,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,vasanti2,Ceratina hieroglyphica,other_wild_bees,Direct ocular observations,3,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,vasanti2,Tetragonula iridipennis,other_wild_bees,Direct ocular observations,43,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,vasanti2,Thysanoptera (Thrips),other,Direct ocular observations,1,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,vasanti3,Apis cerana indica,other_wild_bees,Direct ocular observations,5,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,vasanti3,Ceratina hieroglyphica,other_wild_bees,Direct ocular observations,1,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,vasanti3,Tetragonula iridipennis,other_wild_bees,Direct ocular observations,30,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,vasanti3,Thysanoptera (Thrips),other,Direct ocular observations,9,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,uthaiah1,Thysanoptera (Thrips),other,Direct ocular observations,2,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,uthaiah2,Apis cerana indica,other_wild_bees,Direct ocular observations,1,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,BBtC org1,Tetragonula iridipennis,other_wild_bees,Direct ocular observations,3,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,BBtC org1,Thysanoptera (Thrips),other,Direct ocular observations,8,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,BBtC org2,Apis cerana indica,other_wild_bees,Direct ocular observations,13,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
krish02,BBtC org2,Apis dorsata,honeybees,Direct ocular observations,78,NA,45,NA,The abundance is the total abundance of replications of 15 minute observations on each of the 3 plants observed (7 branches/plant with 4 floral clusters/branch)
