study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
sutt01,S1,apis.mellifera,honeybees,obs,96,NA,288.00000000000006,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,Bombylidae,humbleflies,obs,8,NA,288.00000000000006,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,episyrphus.balteatus,syrphids,obs,3,NA,288.00000000000006,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,eristalis.sp,syrphids,obs,25,NA,288.00000000000006,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,other.diptera,other_flies,obs,49,NA,288.00000000000006,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,other.syrphidae,syrphids,obs,13,NA,288.00000000000006,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,solitary.bee,other_wild_bees,obs,9,NA,288.00000000000006,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,Andrena.cineraria,other_wild_bees,sweep,1,NA,0,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,Andrena.flavipes,other_wild_bees,sweep,1,NA,0,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,Andrena.subopaca,other_wild_bees,sweep,1,NA,0,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,Coccinellidae,beetles,sweep,1,NA,0,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,Heteropt,other,sweep,3,NA,0,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,Meligethies.anaeus,beetles,sweep,504,NA,0,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,Parasitica,non_bee_hymenoptera,sweep,18,NA,0,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,Syrphidae,syrphids,sweep,1,NA,0,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,Syrphidae,syrphids,sweep,1,NA,0,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,Amara.aenea,beetles,pitfall,1,NA,161280,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,Amara.familiaris,beetles,pitfall,1,NA,161280,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
sutt01,S1,Amara.ovata,beetles,pitfall,1,NA,161280,NA,"4x(2 observatiosn, 2 sweep, and 4 pitfalls) per site"
