"study_id","site_id","crop","variety","management","country","latitude","longitude","X_UTM","Y_UTM","zone_UTM","sampling_start_month","sampling_end_month","sampling_year","field_size","yield","yield_units","yield2","yield2_units","yield_treatments_no_pollinators","yield_treatments_pollen_supplement","yield_treatments_no_pollinators2","yield_treatments_pollen_supplement2","fruits_per_plant","fruit_weight","plant_density","seeds_per_fruit","seeds_per_plant","seed_weight","sampling_richness","observed_pollinator_richness","other_pollinator_richness","other_richness_estimator_method","richness_restriction","sampling_abundance","abundance","ab_honeybee","ab_bombus","ab_wildbees","ab_syrphids","ab_humbleflies","ab_other_flies","ab_beetles","ab_lepidoptera","ab_nonbee_hymenoptera","ab_others","total_sampled_area","total_sampled_time","sampling_visitation","visitation_rate_units","visitation_rate","visit_honeybee","visit_bombus","visit_wildbees","visit_syrphids","visit_humbleflies","visit_other_flies","visit_beetles","visit_lepidoptera","visit_nonbee_hymenoptera","visit_others","Publication","Credit","Email_contact","notes"
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Arroyo Claro","Rubus idaeus","Autumn bliss","organic","Argentina",-41.945183,-71.520683,NA,NA,NA,1,2,"2014",1.2,7098.032432,"kg per hectare",3.53,"individual fruit weight (grams)",NA,NA,3.21,NA,NA,3.53,NA,NA,NA,NA,"sweep net",4,4,"Chao 1","only bees","sweep net",194,107,67,20,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.1126/science.aac7287","Agustin Saez/CONICET (Universidad Nacional del Comahue)","agustinsaez@live.com.ar",NA
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Miguel","Rubus idaeus","Autumn bliss","organic","Argentina",-42.01035,-71.52805,NA,NA,NA,1,2,"2014",0.28,8690.22,"kg per hectare",3.39,"individual fruit weight (grams)",NA,NA,3.25,NA,NA,3.39,NA,NA,NA,NA,"sweep net",4,4,"Chao 1","only bees","sweep net",345,231,104,10,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.1126/science.aac7287","Agustin Saez/CONICET (Universidad Nacional del Comahue)","agustinsaez@live.com.ar",NA
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Marcelino","Rubus idaeus","Autumn bliss","organic","Argentina",-42.115781,-71.43862,NA,NA,NA,1,2,"2014",0.27,5091.727143,"kg per hectare",2.07,"individual fruit weight (grams)",NA,NA,2.27,NA,NA,2.07,NA,NA,NA,NA,"sweep net",4,4,"Chao 1","only bees","sweep net",66,19,42,5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.1126/science.aac7287","Agustin Saez/CONICET (Universidad Nacional del Comahue)","agustinsaez@live.com.ar",NA
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Valle del Medio","Rubus idaeus","Autumn bliss","organic","Argentina",-41.99975,-71.552483,NA,NA,NA,1,2,"2014",0.9,6681.742737,"kg per hectare",3.01,"individual fruit weight (grams)",NA,NA,3.43,NA,NA,3.01,NA,NA,NA,NA,"sweep net",3,3,"Chao 1","only bees","sweep net",185,136,47,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.1126/science.aac7287","Agustin Saez/CONICET (Universidad Nacional del Comahue)","agustinsaez@live.com.ar",NA
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Omar","Rubus idaeus","Autumn bliss","organic","Argentina",-42.125874,-71.42318,NA,NA,NA,1,2,"2014",0.25,3132.088,"kg per hectare",2.73,"individual fruit weight (grams)",NA,NA,2.36,NA,NA,2.73,NA,NA,NA,NA,"sweep net",4,4,"Chao 1","only bees","sweep net",123,15,77,31,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.1126/science.aac7287","Agustin Saez/CONICET (Universidad Nacional del Comahue)","agustinsaez@live.com.ar",NA
"Agustin_Saez_Rubus_idaeus_Argentina_2014","El Inca","Rubus idaeus","Autumn bliss","organic","Argentina",-41.895272,-71.549982,NA,NA,NA,1,2,"2014",0.07,4795.581,"kg per hectare",3.12,"individual fruit weight (grams)",NA,NA,2.03,NA,NA,3.12,NA,NA,NA,NA,"sweep net",5,5,"Chao 1","only bees","sweep net",218,24,178,16,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.1126/science.aac7287","Agustin Saez/CONICET (Universidad Nacional del Comahue)","agustinsaez@live.com.ar",NA
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Nelson","Rubus idaeus","Autumn bliss","organic","Argentina",-41.924705,-71.514139,NA,NA,NA,1,2,"2014",0.22,4770.696,"kg per hectare",2.89,"individual fruit weight (grams)",NA,NA,2.41,NA,NA,2.89,NA,NA,NA,NA,"sweep net",6,6.996,"Chao 1","only bees","sweep net",265,102,141,22,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.1126/science.aac7287","Agustin Saez/CONICET (Universidad Nacional del Comahue)","agustinsaez@live.com.ar",NA
"Agustin_Saez_Rubus_idaeus_Argentina_2014","CEPA","Rubus idaeus","Autumn bliss","organic","Argentina",-42.114368,-71.560604,NA,NA,NA,1,2,"2014",0.42,2757.71875,"kg per hectare",1.99,"individual fruit weight (grams)",NA,NA,2.2,NA,NA,1.99,NA,NA,NA,NA,"sweep net",4,4.496,"Chao 1","only bees","sweep net",136,53,81,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.1126/science.aac7287","Agustin Saez/CONICET (Universidad Nacional del Comahue)","agustinsaez@live.com.ar",NA
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Silva","Rubus idaeus","Autumn bliss","organic","Argentina",-42.046983,-71.510317,NA,NA,NA,1,2,"2014",0.12,3851.267933,"kg per hectare",2.29,"individual fruit weight (grams)",NA,NA,2.66,NA,NA,2.29,NA,NA,NA,NA,"sweep net",4,4,"Chao 1","only bees","sweep net",213,164,40,9,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.1126/science.aac7287","Agustin Saez/CONICET (Universidad Nacional del Comahue)","agustinsaez@live.com.ar",NA
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Andrea","Rubus idaeus","Autumn bliss","organic","Argentina",-42.127667,-71.581217,NA,NA,NA,1,2,"2014",0.09,2634.057692,"kg per hectare",2.17,"individual fruit weight (grams)",NA,NA,1.79,NA,NA,2.17,NA,NA,NA,NA,"sweep net",3,3,"Chao 1","only bees","sweep net",96,6,88,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.1126/science.aac7287","Agustin Saez/CONICET (Universidad Nacional del Comahue)","agustinsaez@live.com.ar",NA
