study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
David_Kleijn_Malus_domestica_Netherlands_2013,E1,Apis_ mellifera,honeybees,"sweepnet, flower visiting individuals only",17,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Malus_domestica_Netherlands_2013,E1,Bombus_ lapidarius,bumblebees,"sweepnet, flower visiting individuals only",2,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Malus_domestica_Netherlands_2013,E1,Bombus_ terrestris/lucorum,bumblebees,"sweepnet, flower visiting individuals only",3,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Malus_domestica_Netherlands_2013,E1,Eristalis_ nemorum,syrphids,"sweepnet, flower visiting individuals only",2,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Malus_domestica_Netherlands_2013,E1,Eupeodes_ cf. corollae,syrphids,"sweepnet, flower visiting individuals only",1,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Malus_domestica_Netherlands_2013,E10,Apis_ mellifera,honeybees,"sweepnet, flower visiting individuals only",185,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Malus_domestica_Netherlands_2013,E10,Bombus_ pascuorum,bumblebees,"sweepnet, flower visiting individuals only",2,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Malus_domestica_Netherlands_2013,E10,Bombus_ terrestris/lucorum,bumblebees,"sweepnet, flower visiting individuals only",17,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Malus_domestica_Netherlands_2013,E10,Eristalis_ horticola,syrphids,"sweepnet, flower visiting individuals only",1,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Malus_domestica_Netherlands_2013,E10,Eristalis_ pertinax,syrphids,"sweepnet, flower visiting individuals only",1,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
