study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B16,Andrena haemorrhoa,other_wild_bees,"sweepnet, flower visiting individuals only",1,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B16,Apis mellifera,honeybees,"sweepnet, flower visiting individuals only",183,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B16,Bombus hortorum,bumblebees,"sweepnet, flower visiting individuals only",4,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B16,Bombus hypnorum,bumblebees,"sweepnet, flower visiting individuals only",1,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B16,Bombus lapidarius,bumblebees,"sweepnet, flower visiting individuals only",18,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B16,Bombus pascuorum,bumblebees,"sweepnet, flower visiting individuals only",31,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B16,Bombus pratorum,bumblebees,"sweepnet, flower visiting individuals only",13,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B16,Bombus terrestris,bumblebees,"sweepnet, flower visiting individuals only",102,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B16,Bombus vestalis,bumblebees,"sweepnet, flower visiting individuals only",1,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B16,Eupeodes corollae,syrphids,"sweepnet, flower visiting individuals only",1,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B16,Syrphus ribesii,syrphids,"sweepnet, flower visiting individuals only",1,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B17,Andrena carantonica,other_wild_bees,"sweepnet, flower visiting individuals only",1,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B17,Andrena haemorrhoa,other_wild_bees,"sweepnet, flower visiting individuals only",2,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B17,Apis mellifera,honeybees,"sweepnet, flower visiting individuals only",387,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B17,Bombus hypnorum,bumblebees,"sweepnet, flower visiting individuals only",3,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B17,Bombus lapidarius,bumblebees,"sweepnet, flower visiting individuals only",5,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B17,Bombus pascuorum,bumblebees,"sweepnet, flower visiting individuals only",4,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B17,Bombus pratorum,bumblebees,"sweepnet, flower visiting individuals only",1,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B17,Bombus terrestris,bumblebees,"sweepnet, flower visiting individuals only",47,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B17,Episyrhpus balteatus,syrphids,"sweepnet, flower visiting individuals only",3,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B17,Eupeodes corollae,syrphids,"sweepnet, flower visiting individuals only",1,NA,NA,NA,"within one crop field, 3 plots for crop measurements and 12 inventory transects were randomly located.	2 inventory rounds per transect (1x morning, 1x afternoon)"
