study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Georg_Andersson_Brassica_rapa_Sweden_2010,1.1,Brassica rapa,NA,organic,Sweden,55.981034,13.11472,NA,NA,NA,NA,NA,2010,NA,47.732719926154296,seed set (Percentage developed seed per siliqua),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,92.791,Chao1,NA,160,32,27,8,91,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
Georg_Andersson_Brassica_rapa_Sweden_2010,2.0.1,Brassica rapa,NA,conventional,Sweden,56.21922,13.86215,NA,NA,NA,NA,NA,2010,NA,18.9011995777483,seed set (Percentage developed seed per siliqua),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,39.791,Chao1,NA,86,0,10,4,70,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
Georg_Andersson_Brassica_rapa_Sweden_2010,2.0.2,Brassica rapa,NA,conventional,Sweden,55.806788,13.861388,NA,NA,NA,NA,NA,2010,NA,49.0991226966375,seed set (Percentage developed seed per siliqua),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,30.154,Chao1,NA,65,0,10,5,50,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
Georg_Andersson_Brassica_rapa_Sweden_2010,2.1,Brassica rapa,NA,organic,Sweden,56.20546,13.755509,NA,NA,NA,NA,NA,2010,NA,48.110607520539,seed set (Percentage developed seed per siliqua),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,20.393,Chao1,NA,42,0,7,5,27,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
Georg_Andersson_Brassica_rapa_Sweden_2010,2.4,Brassica rapa,NA,organic,Sweden,55.937886,13.290105,NA,NA,NA,NA,NA,2010,NA,77.20505225032551,seed set (Percentage developed seed per siliqua),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,78.266,Chao1,NA,173,4,23,4,139,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
Georg_Andersson_Brassica_rapa_Sweden_2010,2.4.2,Brassica rapa,NA,organic,Sweden,55.773553,13.861608,NA,NA,NA,NA,NA,2010,NA,21.7138427689471,seed set (Percentage developed seed per siliqua),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,48.633,Chao1,NA,160,33,20,11,93,0,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
Georg_Andersson_Brassica_rapa_Sweden_2010,4.1,Brassica rapa,NA,organic,Sweden,55.506062,13.864372,NA,NA,NA,NA,NA,2010,NA,64.8269902236877,seed set (Percentage developed seed per siliqua),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,42.216,Chao1,NA,147,7,35,13,89,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
Georg_Andersson_Brassica_rapa_Sweden_2010,4.1.2,Brassica rapa,NA,organic,Sweden,55.635744,13.751394,NA,NA,NA,NA,NA,2010,NA,61.8532425689583,seed set (Percentage developed seed per siliqua),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,24.638,Chao1,NA,94,6,23,24,36,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
Georg_Andersson_Brassica_rapa_Sweden_2010,4.4,Brassica rapa,NA,organic,Sweden,55.83502,13.518199,NA,NA,NA,NA,NA,2010,NA,22.0797728841207,seed set (Percentage developed seed per siliqua),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,113.235,Chao1,NA,119,5,70,3,39,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
Georg_Andersson_Brassica_rapa_Sweden_2010,5.0.1,Brassica rapa,NA,conventional,Sweden,55.425796,13.196088,NA,NA,NA,NA,NA,2010,NA,28.3729399288399,seed set (Percentage developed seed per siliqua),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,20.151,Chao1,NA,63,0,34,1,28,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
