study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,FLZ,Agapostemon sericeus,other_wild_bees,sweep netting,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,FLZ,Agapostemon sericeus,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,WBT,Agapostemon virescens,other_wild_bees,sweep netting,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,LAG,Agapostemon virescens,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,GS,Agapostemon virescens,other_wild_bees,pan trap,27,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,FLZ,Andrena allegheniensis,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,WH,Andrena allegheniensis,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,DAR,Andrena carlini,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,GS,Andrena carlini,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,WBT,Andrena carlini,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,REV,Andrena carlini,other_wild_bees,pan trap,6,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,SLD,Andrena crataegi,other_wild_bees,sweep netting,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,WBT,Andrena crataegi,other_wild_bees,sweep netting,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,WBT,Andrena crataegi,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,ELD,Andrena crataegi,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,FV,Andrena crataegi,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,GS,Andrena crataegi,other_wild_bees,pan trap,2,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,BT,Andrena cressonii,other_wild_bees,sweep netting,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,FLZ,Andrena cressonii,other_wild_bees,sweep netting,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,WH,Andrena cressonii,other_wild_bees,sweep netting,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,FV,Andrena cressonii,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,KP,Andrena cressonii,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,LAG,Andrena cressonii,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,BH,Andrena cressonii,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,BS,Andrena cressonii,other_wild_bees,pan trap,2,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,ELD,Andrena cressonii,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,ELD,Andrena cressonii,other_wild_bees,pan trap,4,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,FLZ,Andrena cressonii,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,GS,Andrena cressonii,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,WBT,Andrena cressonii,other_wild_bees,pan trap,5,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,ELD,Andrena erigeniae,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,FLZ,Andrena erigeniae,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,SQ,Andrena erigeniae,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,WH,Andrena erigeniae,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,BT,Andrena erythronii,other_wild_bees,pan trap,3,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
Heather_Lee_Grab_Fragaria_ananassa_USA_2012,GRS,Andrena erythronii,other_wild_bees,pan trap,1,NA,NA,NA,5 pan traps per site 2 m apart.Temporal replicates: 2x per season
