study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_D49,Anoplolepis_sp_2_,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_G12-K,Anoplolepis_sp_2_,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",40,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_D50,Anoplolepis_sp_2_,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",10,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_D49,Camponotus_sp_1__,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",5,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_G12-K,Camponotus_sp_1__,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",65,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Moriah_B53/54,Camponotus_sp_1__,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Bavaria_L_LE3/6,Camponotus_sp_1__,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_G34,Camponotus_sp_1__,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",2,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Moriah_B48,Camponotus_sp_1__,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Moriah_B48,Camponotus_sp_1__,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",2,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Moriah_B53/54,Formicidae_sp2__bunduda_,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Moriah_B48,Formicidae_sp2__bunduda_,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",2,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_D50,Tetramorium_sp_1_,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",2,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_D24,Tetramorium_sp_1_,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_G12-K,Lepisiota_sp_2_,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",4,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Bavaria_A_AM7,Lepisiota_sp_2_,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Bavaria_L_FA1,Lepisiota_sp_2_,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Bavaria_A_AM7,Macrocoma_sp__near_apicicornis,beetles,"sweep net, note that flower abundance (hence sampling effort) varied between sites",2,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Bavaria_L_LB1,Apionidae_sp1,beetles,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Bavaria_L_LG2,Apis_mellifera,honeybees,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_D49,Apis_mellifera,honeybees,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_G12-K,Apis_mellifera,honeybees,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1.01,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_G12-K,Apis_mellifera,honeybees,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Moriah_A24,Apis_mellifera,honeybees,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Moriah_C21,Apis_mellifera,honeybees,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Bavaria_A_AL2,Apis_mellifera,honeybees,"sweep net, note that flower abundance (hence sampling effort) varied between sites",2,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Bavaria_A_AU4,Apis_mellifera,honeybees,"sweep net, note that flower abundance (hence sampling effort) varied between sites",3,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Bavaria_L_FA1,Apis_mellifera,honeybees,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Moriah_B48,Apis_mellifera,honeybees,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_D50,Belanogaster_sp_,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_D50,Braconidae_sp,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Bavaria_A_AU4,Bruchidius_sp__2,beetles,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Bavaria_A_AU4,Bruchidius_sp__near_mendosus__Gyllenhal_,beetles,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Bavaria_L_LG2,Caliophoridae_sp1,other_flies,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Bavaria_A_AM7,Caliophoridae_sp1,other_flies,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_G12-K,Caliophoridae_sp2,other_flies,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Moriah_B53/54,Caliophoridae_sp3,other_flies,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Moriah_A24,Ceratina.sp...inc._labrosa_Friese.,other_wild_bees,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Moriah_B53/54,Ceratina.sp...inc._labrosa_Friese.,other_wild_bees,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Moriah_B30,Ceratina.sp...inc._labrosa_Friese.,other_wild_bees,"sweep net, note that flower abundance (hence sampling effort) varied between sites",2,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Moriah_B48,Ceratina.sp...inc._labrosa_Friese.,other_wild_bees,"sweep net, note that flower abundance (hence sampling effort) varied between sites",3,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Moriah_B53/54,Chalcidoidea_sp_,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_D50,Chalcidoidea_sp_,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Bavaria_L_LE3/6,Chrysidae,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2009,carv03_Grovedale_D50,Chrysidae,non_bee_hymenoptera,"sweep net, note that flower abundance (hence sampling effort) varied between sites",1,NA,NA,NA,"sweep net, note that flower abundance (hence sampling effort) varied between sites"
