study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,citrus salta,Apis mellifera,honeybees,18 censuses of 15 minutes observation to a flowering branch,0.22928709055876687,NA,270,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,citrus salta,Coleoptera,beetles,18 censuses of 15 minutes observation to a flowering branch,9.633911368015414e-4,NA,270,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,citrus salta,Diptera,other_flies,18 censuses of 15 minutes observation to a flowering branch,0.002890173410404624,NA,270,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,citrus salta,Halictini,other_wild_bees,18 censuses of 15 minutes observation to a flowering branch,9.633911368015414e-4,NA,270,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,citrus salta,Meliponini,other_wild_bees,18 censuses of 15 minutes observation to a flowering branch,0.027938342967244702,NA,270,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,citrus salta500,Apis mellifera,honeybees,12 censuses of 15 minutes observation to a flowering branch,0.25,NA,180,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,citrus salta1000,Apis mellifera,honeybees,15 censuses of 15 minutes observation to a flowering branch,0.167427701674277,NA,225,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,manero,Apis mellifera,honeybees,21 censuses of 15 minutes observation to a flowering branch,0.19350811485642946,NA,315,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,manero,Vespid,non_bee_hymenoptera,21 censuses of 15 minutes observation to a flowering branch,0.003745318352059925,NA,315,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,manero,Coleoptera,beetles,21 censuses of 15 minutes observation to a flowering branch,0.0012484394506866417,NA,315,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,manero,Diptera,other_flies,21 censuses of 15 minutes observation to a flowering branch,0.0012484394506866417,NA,315,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,manero,Meliponini,other_wild_bees,21 censuses of 15 minutes observation to a flowering branch,0.018726591760299626,NA,315,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,manero500,Apis mellifera,honeybees,18 censuses of 15 minutes observation to a flowering branch,0.19221967963386727,NA,270,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,manero1000,Apis mellifera,honeybees,19 censuses of 15 minutes observation to a flowering branch,0.20044543429844097,NA,285,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,manero1000,Diptera,other_flies,19 censuses of 15 minutes observation to a flowering branch,0.008908685968819599,NA,285,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,penia colorada,Apis mellifera,honeybees,16 censuses of 15 minutes observation to a flowering branch,0.2383281458425967,NA,240,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,penia colorada,Vespid,non_bee_hymenoptera,16 censuses of 15 minutes observation to a flowering branch,4.4464206313917296e-4,NA,240,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,penia colorada,Meliponini,other_wild_bees,16 censuses of 15 minutes observation to a flowering branch,8.892841262783459e-4,NA,240,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,penia500,Apis mellifera,honeybees,14 censuses of 15 minutes observation to a flowering branch,0.279,NA,210,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,penia1000,Apis mellifera,honeybees,16 censuses of 15 minutes observation to a flowering branch,0.21592649310872894,NA,240,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,la toma,Apis mellifera,honeybees,14 censuses of 15 minutes observation to a flowering branch,0.23299565846599132,NA,210,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,la toma,Vespid,non_bee_hymenoptera,14 censuses of 15 minutes observation to a flowering branch,0.00723589001447178,NA,210,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,la toma,Meliponini,other_wild_bees,14 censuses of 15 minutes observation to a flowering branch,0.004341534008683068,NA,210,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,la toma500,Apis mellifera,honeybees,15 censuses of 15 minutes observation to a flowering branch,0.18495297805642633,NA,225,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,la toma1000,Apis mellifera,honeybees,16 censuses of 15 minutes observation to a flowering branch,0.14705882352941177,NA,240,NA,Abundance here reflects: no. visits per 15 min and flower
Natacha_Chacoff_Citrus_paradisi_Argentina_2001,la toma1000,Vespid,non_bee_hymenoptera,16 censuses of 15 minutes observation to a flowering branch,0.0032679738562091504,NA,240,NA,Abundance here reflects: no. visits per 15 min and flower
