study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AB,Apis mellifera,honeybees,Census of 5 minutes,63,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AB,Bombus atratus,bumblebees,Census of 5 minutes,5,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AB,Bombus belicoso,bumblebees,Census of 5 minutes,1,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AB,Vespidae sp2,non_bee_hymenoptera,Census of 5 minutes,3,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AB,Allograpta sp1,syrphids,Census of 5 minutes,6,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AB,Allograpta sp2,syrphids,Census of 5 minutes,1,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AB,Syrphus ribessi,syrphids,Census of 5 minutes,9,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AB,Eristalis sp1,syrphids,Census of 5 minutes,1,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AB,Eristalis sp2,syrphids,Census of 5 minutes,1,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AB,Toxomerus sp1,syrphids,Census of 5 minutes,3,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AB,Ornidia obessa,syrphids,Census of 5 minutes,3,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AB,Doclichopodidae,other_flies,Census of 5 minutes,1,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AB,Syrphidae sp3,syrphids,Census of 5 minutes,2,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AB,Muscidae,other_flies,Census of 5 minutes,1,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AR,Apis mellifera,honeybees,Census of 5 minutes,39,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AR,Bombus atratus,bumblebees,Census of 5 minutes,1,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AR,Vespidae sp2,non_bee_hymenoptera,Census of 5 minutes,1,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AR,Allograpta sp3,syrphids,Census of 5 minutes,1,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AR,Syrphus ribessi,syrphids,Census of 5 minutes,6,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AR,Toxomerus sp1,syrphids,Census of 5 minutes,2,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AR,Toxomerus sp2,syrphids,Census of 5 minutes,1,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,AR,Vanessa braziliensis,lepidoptera,Census of 5 minutes,3,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,BB,Apis mellifera,honeybees,Census of 5 minutes,77,NA,150,NA,"Observation: 5 minutes per plant, 6 plant observations  per site, and	5 rounds per site in season"
