study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Rachael_Winfree_Vaccinium_corymbosum_USA_2011,AH,Vaccinium corymbosum,NA,NA,USA, 39.547799,-74.780821,NA,NA,NA,4,5,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.471,Chao1,only non-Apis bees,17,0,2,15,0,0,0,0,0,0,0,1800,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12198,"Faye E. Benjamin, James R. Reilly, Rachael Winfree",rwinfree@rutgers.edu
Rachael_Winfree_Vaccinium_corymbosum_USA_2011,AML,Vaccinium corymbosum,NA,NA,USA, 39.478388,-74.727364,NA,NA,NA,4,4,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.333,Chao1,only non-Apis bees,3,0,0,3,0,0,0,0,0,0,0,1800,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12198,"Faye E. Benjamin, James R. Reilly, Rachael Winfree",rwinfree@rutgers.edu
Rachael_Winfree_Vaccinium_corymbosum_USA_2011,BER,Vaccinium corymbosum,NA,NA,USA, 39.611428,-74.818625,NA,NA,NA,5,5,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Chao1,only non-Apis bees,15,0,0,15,0,0,0,0,0,0,0,1800,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12198,"Faye E. Benjamin, James R. Reilly, Rachael Winfree",rwinfree@rutgers.edu
Rachael_Winfree_Vaccinium_corymbosum_USA_2011,DEL,Vaccinium corymbosum,NA,NA,USA, 39.644322,-74.751574,NA,NA,NA,4,4,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5,Chao1,only non-Apis bees,2,0,0,2,0,0,0,0,0,0,0,1800,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12198,"Faye E. Benjamin, James R. Reilly, Rachael Winfree",rwinfree@rutgers.edu
Rachael_Winfree_Vaccinium_corymbosum_USA_2011,DEM,Vaccinium corymbosum,NA,NA,USA, 39.663066,-74.733103,NA,NA,NA,5,5,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,16.051,Chao1,only non-Apis bees,42,0,14,28,0,0,0,0,0,0,0,1800,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12198,"Faye E. Benjamin, James R. Reilly, Rachael Winfree",rwinfree@rutgers.edu
Rachael_Winfree_Vaccinium_corymbosum_USA_2011,DH,Vaccinium corymbosum,NA,NA,USA, 39.662869,-74.771815,NA,NA,NA,4,5,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14.889,Chao1,only non-Apis bees,9,0,2,7,0,0,0,0,0,0,0,1800,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12198,"Faye E. Benjamin, James R. Reilly, Rachael Winfree",rwinfree@rutgers.edu
Rachael_Winfree_Vaccinium_corymbosum_USA_2011,DON,Vaccinium corymbosum,NA,NA,USA, 39.648970,-74.737931,NA,NA,NA,4,5,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.45,Chao1,only non-Apis bees,10,0,0,10,0,0,0,0,0,0,0,1800,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12198,"Faye E. Benjamin, James R. Reilly, Rachael Winfree",rwinfree@rutgers.edu
Rachael_Winfree_Vaccinium_corymbosum_USA_2011,GLO,Vaccinium corymbosum,NA,NA,USA, 39.653023,-74.762916,NA,NA,NA,4,5,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.955,Chao1,only non-Apis bees,22,0,0,22,0,0,0,0,0,0,0,1800,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12198,"Faye E. Benjamin, James R. Reilly, Rachael Winfree",rwinfree@rutgers.edu
Rachael_Winfree_Vaccinium_corymbosum_USA_2011,GRA,Vaccinium corymbosum,NA,NA,USA, 39.684197,-74.816985,NA,NA,NA,4,5,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7.857,Chao1,only non-Apis bees,14,0,2,12,0,0,0,0,0,0,0,1800,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12198,"Faye E. Benjamin, James R. Reilly, Rachael Winfree",rwinfree@rutgers.edu
Rachael_Winfree_Vaccinium_corymbosum_USA_2011,LEE,Vaccinium corymbosum,NA,NA,USA, 39.783986,-74.847539,NA,NA,NA,4,5,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,14.885,Chao1,only non-Apis bees,52,0,5,47,0,0,0,0,0,0,0,1800,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12198,"Faye E. Benjamin, James R. Reilly, Rachael Winfree",rwinfree@rutgers.edu
