study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,He1P0,Phaseolus vulgaris L.,NA,conventional,Brazil,-16.124894,-47.877333,NA,NA,NA,NA,NA,2015/2016,167.83177,5051.2,kg/hectare,344,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.909,Chao1,NA,11,9,1,1,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,He2P0,Phaseolus vulgaris L.,NA,conventional,Brazil,-16.121561,-47.882889,NA,NA,NA,NA,NA,2015/2016,167.83177,7800.000000000002,kg/hectare,486.4,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,NA,2,2,0,0,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A1P1DF,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.918783,-47.411775,NA,NA,NA,NA,NA,2015/2016,37.26628,3515.2,kg/hectare,440,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.484,Chao1,NA,31,2,0,14,15,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A3P1DF,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.909617,-47.435386,NA,NA,NA,NA,NA,2015/2016,37.26628,8155.2,kg/hectare,736,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,NA,14,0,0,0,14,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A1P0GO,Phaseolus vulgaris L.,NA,conventional,Brazil,-16.217118,-47.54622,NA,NA,NA,NA,NA,2015/2016,136.52415,10473.600000000002,kg/hectare,755.1999999999999,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.233,Chao1,NA,15,2,0,11,2,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A2P0GO,Phaseolus vulgaris L.,NA,conventional,Brazil,-16.211006,-47.54372,NA,NA,NA,NA,NA,2015/2016,136.52415,6553.6,kg/hectare,638.4000000000001,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,Chao1,NA,6,2,0,2,2,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,A3P0GO,Phaseolus vulgaris L.,NA,conventional,Brazil,-16.207117,-47.541498,NA,NA,NA,NA,NA,2015/2016,136.52415,6998.4000000000005,kg/hectare,556.8,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,J2P0,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.86406,-47.609831,NA,NA,NA,NA,NA,2015/2016,76.18732,4355.2,kg/hectare,636.8000000000001,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,NA,5,0,0,0,5,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,J1P0,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.860727,-47.601498,NA,NA,NA,NA,NA,2015/2016,76.18732,4665.5999999999995,kg/hectare,590.4000000000001,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10.295,Chao1,NA,22,0,1,7,13,0,0,0,0,1,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,W1P1NN,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.855172,-47.554553,NA,NA,NA,NA,NA,2015/2016,117.3135,945.5999999999999,kg/hectare,280,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4.5,Chao1,NA,4,1,0,3,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,W1P0NN,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.854061,-47.556498,NA,NA,NA,NA,NA,2015/2016,117.3135,1387.1999999999998,kg/hectare,412.79999999999995,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5,Chao1,NA,2,1,0,1,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,W2P1N,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.858783,-47.556498,NA,NA,NA,NA,NA,2015/2016,117.3135,1844.8,kg/hectare,302.4,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,W2P0N,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.857949,-47.558164,NA,NA,NA,NA,NA,2015/2016,117.3135,2044.8,kg/hectare,313.6,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,W1P0S,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.871561,-47.557886,NA,NA,NA,NA,NA,2015/2016,117.3135,1651.1999999999998,kg/hectare,299.2,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Chao1,NA,6,0,0,1,5,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,W1P0NS,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.864338,-47.558442,NA,NA,NA,NA,NA,2015/2016,117.3135,1305.6,kg/hectare,321.6,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5,Chao1,NA,2,1,0,0,1,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,W1P1NS,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.861283,-47.555109,NA,NA,NA,NA,NA,2015/2016,117.3135,790.3999999999997,kg/hectare,336,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5,Chao1,NA,2,0,1,1,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,W2P0S,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.868227,-47.56122,NA,NA,NA,NA,NA,2015/2016,117.3135,1540.8000000000002,kg/hectare,372.8,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,L1P1,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.972117,-47.572609,NA,NA,NA,NA,NA,2015/2016,142.18242,4791.999999999999,kg/hectare,523.2,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6.615,Chao1,NA,13,2,0,4,5,0,0,0,0,2,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,L1P0,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.969894,-47.575942,NA,NA,NA,NA,NA,2015/2016,142.18242,5870.4,kg/hectare,699.2,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18.5,Chao1,NA,6,1,0,2,1,0,0,0,0,2,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,L2P1,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.974617,-47.573998,NA,NA,NA,NA,NA,2015/2016,142.18242,3825.6000000000004,kg/hectare,456,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,NA,2,0,0,0,2,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,L2P0,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.977394,-47.577331,NA,NA,NA,NA,NA,2015/2016,142.18242,2536,kg/hectare,459.2,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Chao1,NA,4,2,0,0,2,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,L3P1,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.984339,-47.568442,NA,NA,NA,NA,NA,2015/2016,142.18242,3798.399999999999,kg/hectare,507.2,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Chao1,NA,6,1,0,0,5,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,R1P0,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.695727,-47.511219,NA,NA,NA,NA,NA,2015/2016,437.45887,5060.8,kg/hectare,408,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10.143,Chao1,NA,7,0,5,2,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,R2P0,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.697671,-47.503997,NA,NA,NA,NA,NA,2015/2016,437.45887,2715.2000000000003,kg/hectare,320,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Chao1,NA,6,5,0,0,1,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,R3P0,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.696282,-47.501497,NA,NA,NA,NA,NA,2015/2016,437.45887,3275.2,kg/hectare,292.79999999999995,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4.5,Chao1,NA,4,2,0,1,1,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
Davi_L_Ramos_Phaseolus_vulgaris L_Brazil_2015_2016,D1P0,Phaseolus vulgaris L.,NA,conventional,Brazil,-15.765449,-47.332885,NA,NA,NA,NA,NA,2015/2016,110.02293,2632,kg/hectare,624,fruit set (number of pods per m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.239,Chao1,NA,22,17,2,0,2,0,0,0,0,1,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),davilramos91@gmail.com
