Date,Time,observationtime_min,Landscape_ID,Number_flowers,Pot_ID,Syrphids_hairy,Syrphids_bald,Other_diptera,Wild_bees,Honeybees,Bumblebees_Long-toungued,Bumblebees_short-toungued,Other_Hymenoptera,total_visits,obsrate
100621,09.48 - 10.48,60,1.1,1,1,0,0,0,0,0,0,0,0,0,0
100621,09.48 - 10.48,60,1.1,6,2,0,0,1,0,0,0,0,0,1,1
100621,09.48 - 10.48,60,1.1,2,3,0,0,0,0,0,0,0,0,0,0
100621,09.48 - 10.48,60,1.1,5,4,0,0,0,0,0,0,0,0,0,0
100621,11.20 - 12.20,60,2.42,1,1,0,0,1,0,0,0,0,0,1,1
100621,11.20 - 12.20,60,2.42,1,2,0,1,1,0,0,0,0,0,2,2
100621,11.20 - 12.20,60,2.42,1,3,0,0,0,0,0,0,0,0,0,0
100621,11.20 - 12.20,60,2.42,5,4,0,1,2,2,0,0,0,0,5,5
100621,13.26 - 14.16,50,4.01,0,1,0,0,0,0,0,0,0,0,0,0
100621,,,4.01,,2,,,,,,,,,0,#DIV/0!
100621,13.26 - 14.16,50,4.01,11,3,0,0,0,2,0,0,0,0,2,2.4
100621,,,4.01,,4,,,,,,,,,0,#DIV/0!
100621,,,4.4,,1,,,,,,,,,0,#DIV/0!
100621,14.33 - 15.18,45,4.4,9,2,0,0,0,0,0,0,0,0,0,0
100621,14.33 - 15.18,45,4.4,3,3,0,0,0,0,0,0,0,0,0,0
100621,14.33 - 15.18,45,4.4,5,4,0,0,1,0,0,0,0,0,1,1.33
100622,13.37 - 14.37,60,2.01,7,1,0,0,1,3,0,0,0,0,4,4
100622,13.37 - 14.37,60,2.01,2,2,0,0,2,4,0,0,0,0,6,6
100622,13.37 - 14.37,60,2.01,3,3,0,0,0,1,0,0,0,0,1,1
100622,13.37 - 14.37,60,2.01,5,4,0,0,0,0,0,0,0,1,1,1
100622,15.11 - 15.51,40,2.1,0,1,,,,,,,,,0,0
100622,15.11 - 15.51,40,2.1,3,2,0,0,0,0,0,0,0,0,0,0
100622,15.11 - 15.51,40,2.1,0,3,,,,,,,,,0,0
100622,15.11 - 15.51,40,2.1,0,4,,,,,,,,,0,0
100623,09.33 - 10.33,60,4.12,5,1,0,0,0,4,0,0,0,0,4,4
100623,09.33 - 10.33,60,4.12,9,2,0,0,0,9,0,0,1,0,10,10
100623,09.33 - 10.33,60,4.12,3,3,0,0,0,2,0,0,0,0,2,2
100623,09.33 - 10.33,60,4.12,2,4,0,0,0,4,0,0,0,0,4,4
100623,11.50 - 12.40,50,4.1,2,1,0,0,0,1,0,0,0,0,1,1.2
100623,11.50 - 12.40,50,4.1,1,2,0,0,0,0,0,0,0,0,0,0
100623,11.50 - 12.40,50,4.1,1,3,0,0,0,0,0,0,0,0,0,0
100623,11.50 - 12.40,50,4.1,1,4,0,0,1,0,0,0,0,0,1,1.2
100623,14.11 -14.51,40,5.01,9,1,0,0,0,3,0,0,0,0,3,4.5
100623,14.11 -14.51,40,5.01,7,2,0,0,0,6,0,0,0,0,6,9
100623,14.11 -14.51,40,5.01,5,3,0,0,1,2,0,0,0,0,3,4.5
100623,14.11 -14.51,40,5.01,3,4,0,0,0,5,0,0,0,0,5,7.5
100623,15.10 - 15.50,40,5.4,0,1,0,0,0,0,0,0,0,0,0,0
100623,15.10 - 15.50,40,5.4,0,2,0,0,0,0,0,0,0,0,0,0
100623,15.10 - 15.50,40,5.4,14,3,0,0,0,0,0,0,0,0,0,0
100623,15.10 - 15.50,40,5.4,0,4,0,0,0,0,0,0,0,0,0,0
100624,10.45 - 11.45,60,2.4,5,1,0,1,1,1,0,0,0,0,3,3
100624,10.45 - 11.45,60,2.4,4,2,0,2,0,1,0,0,0,0,3,3
100624,10.45 - 11.45,60,2.4,1,3,0,0,0,2,0,0,0,0,2,2
100624,10.45 - 11.45,60,2.4,8,4,0,3,1,1,0,0,0,0,5,5
100624,12.58 - 13.48,50,2.02,8,1,0,6,0,0,0,0,0,0,6,7.2
100624,12.58 - 13.48,50,2.02,12,2,0,2,0,0,0,0,0,0,2,2.4
100624,12.58 - 13.48,50,2.02,5,3,3,5,0,0,0,0,0,0,8,9.6
100624,12.58 - 13.48,50,2.02,11,4,3,3,3,0,0,0,0,0,9,10.8
100628,09.49 - 09.49,60,4.4,1,1,0,0,0,0,0,0,0,0,0,0
100628,09.49 - 09.49,60,4.4,2,2,0,0,0,1,0,0,0,0,1,1
100628,,,4.4,,3,,,,,,,,,0,#DIV/0!
100628,09.49 - 09.49,60,4.4,13,4,0,1,,3,0,0,0,0,4,4
100628,11.04 - 11.54,50,4.01,1,1,0,0,0,0,0,0,0,0,0,0
