study_id,sampling_method,Organism_ID,rank
Agustin_Saez_Rubus_idaeus_Argentina_2014,transects (in each transect I observed the number and identity of pollinatior visiting 200 flowers).,Bombus terrestris,specie
Agustin_Saez_Rubus_idaeus_Argentina_2014,transects (in each transect I observed the number and identity of pollinatior visiting 200 flowers).,Apis mellifera,specie
Agustin_Saez_Rubus_idaeus_Argentina_2014,transects (in each transect I observed the number and identity of pollinatior visiting 200 flowers).,Ruizanthedella mutabilis,specie
Agustin_Saez_Rubus_idaeus_Argentina_2014,transects (in each transect I observed the number and identity of pollinatior visiting 200 flowers).,Ruizantheda proxima,specie
Agustin_Saez_Rubus_idaeus_Argentina_2014,transects (in each transect I observed the number and identity of pollinatior visiting 200 flowers).,Manuelia gayi,specie
Agustin_Saez_Rubus_idaeus_Argentina_2014,transects (in each transect I observed the number and identity of pollinatior visiting 200 flowers).,Manuelia gayatina,specie
Agustin_Saez_Rubus_idaeus_Argentina_2014,transects (in each transect I observed the number and identity of pollinatior visiting 200 flowers).,Halictidae sp.1,family
Agustin_Saez_Rubus_idaeus_Argentina_2014,transects (in each transect I observed the number and identity of pollinatior visiting 200 flowers).,Bombus dahlbomii,specie
Alice_Claßen_Coffea_arabica_Tanzania_2011_2012,Pantrap,Lasioglossum sp. 2,morphospecies
Alice_Claßen_Coffea_arabica_Tanzania_2011_2012,Pantrap,Lasioglossum sp. 1,morphospecies
Alice_Claßen_Coffea_arabica_Tanzania_2011_2012,Pantrap,Lasioglossum sp. 26f,morphospecies
Alice_Claßen_Coffea_arabica_Tanzania_2011_2012,Pantrap,Lasioglossum sp. 36f,morphospecies
Alice_Claßen_Coffea_arabica_Tanzania_2011_2012,Pantrap,Halictus sp. 6f,morphospecies
Alice_Claßen_Coffea_arabica_Tanzania_2011_2012,Pantrap,Apis mellifera,species
Alice_Claßen_Coffea_arabica_Tanzania_2011_2012,Pantrap,Lasioglossum sp. 10f,morphospecies
Alice_Claßen_Coffea_arabica_Tanzania_2011_2012,Pantrap,Lipotriches sp. 8,morphospecies
Alice_Claßen_Coffea_arabica_Tanzania_2011_2012,Pantrap,Lasioglossum sp. 14,morphospecies
Alice_Claßen_Coffea_arabica_Tanzania_2011_2012,Pantrap,Hypotrigona sp. 1,morphospecies
Alice_Claßen_Coffea_arabica_Tanzania_2011_2012,Pantrap,Lasioglossum sp. 3,morphospecies
Alice_Claßen_Coffea_arabica_Tanzania_2011_2012,Pantrap,Meliponula ferruginea,species
Alice_Claßen_Coffea_arabica_Tanzania_2011_2012,Pantrap,Pseudapis sp. 1,morphospecies
Alice_Claßen_Coffea_arabica_Tanzania_2011_2012,Pantrap,Lasioglossum sp. 4,morphospecies
Alice_Claßen_Coffea_arabica_Tanzania_2011_2012,Pantrap,Lasioglossum sp. 11,morphospecies
Alice_Claßen_Coffea_arabica_Tanzania_2011_2012,Pantrap,Lithurgus pullatus (Vachal),species
