study_id;site_id;crop;variety;management;country;latitude;longitude;X_UTM;Y_UTM;zone_UTM;sampling_start_month;sampling_end_month;sampling_year;field_size;yield;yield_units;yield2;yield2_units;yield_treatments_no_pollinators;yield_treatments_pollen_supplement;yield_treatments_no_pollinators2;yield_treatments_pollen_supplement2;fruits_per_plant;fruit_weight;plant_density;seeds_per_fruit;seeds_per_plant;seed_weight;observed_pollinator_richness;other_pollinator_richness;other_richness_estimator_method;richness_restriction;abundance;ab_honeybee;ab_bombus;ab_wildbees;ab_syrphids;ab_humbleflies;ab_other_flies;ab_beetles;ab_lepidoptera;ab_nonbee_hymenoptera;ab_others;total_sampled_area;total_sampled_time;visitation_rate_units;visitation_rate;visit_honeybee;visit_bombus;visit_wildbees;visit_syrphids;visit_humbleflies;visit_other_flies;visit_beetles;visit_lepidoptera;visit_nonbee_hymenoptera;visit_others;Publication;Credit;Email_contact
Sandra_Lindstrom_Brassica_napus_Sweden_2011;1;Brassica napus;Galileo;conventional;Sweden;55.596337;14.066991;NA;NA;NA;5;6;2011;6.92;5.437202;tonnes ha-1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;354;236;8;14;3;0;83;5;0;2;3;600;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.1007/s00442-015-3517-x;Sandra Lindstrom;Sandra.Lindstrom@hushallningssallskapet.se
Sandra_Lindstrom_Brassica_napus_Sweden_2011;2;Brassica napus;Galileo;conventional;Sweden;55.589944;14.018528;NA;NA;NA;5;6;2011;8.57;2.691751;tonnes ha-2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;8;3;5;6;0;53;4;0;1;0;600;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.1007/s00442-015-3517-x;Sandra Lindstrom;Sandra.Lindstrom@hushallningssallskapet.se
Sandra_Lindstrom_Brassica_napus_Sweden_2011;4;Brassica napus;Galileo;conventional;Sweden;NA;NA;NA;NA;NA;5;6;2011;8.14;NA;tonnes ha-3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;600;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.1007/s00442-015-3517-x;Sandra Lindstrom;Sandra.Lindstrom@hushallningssallskapet.se
Sandra_Lindstrom_Brassica_napus_Sweden_2011;5;Brassica napus;Galileo;conventional;Sweden;55.893511;14.130531;NA;NA;NA;5;6;2011;19.97;3.385553;tonnes ha-4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;418;350;1;2;0;0;64;1;0;0;0;600;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.1007/s00442-015-3517-x;Sandra Lindstrom;Sandra.Lindstrom@hushallningssallskapet.se
Sandra_Lindstrom_Brassica_napus_Sweden_2011;6;Brassica napus;Galileo;conventional;Sweden;56.130065;13.102656;NA;NA;NA;5;6;2011;22.0;3.504696;tonnes ha-5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;167;127;9;5;1;0;22;1;1;1;0;600;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.1007/s00442-015-3517-x;Sandra Lindstrom;Sandra.Lindstrom@hushallningssallskapet.se
Sandra_Lindstrom_Brassica_napus_Sweden_2011;7;Brassica napus;Excalibur;conventional;Sweden;56.214972;13.006222;NA;NA;NA;5;6;2011;9.0;3.913452;tonnes ha-6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;228;171;35;6;4;0;10;1;1;0;0;600;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.1007/s00442-015-3517-x;Sandra Lindstrom;Sandra.Lindstrom@hushallningssallskapet.se
Sandra_Lindstrom_Brassica_napus_Sweden_2011;8;Brassica napus;Excalibur;conventional;Sweden;55.724425;13.516826;NA;NA;NA;5;6;2011;9.0;4.465331;tonnes ha-7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;110;30;4;6;0;0;65;0;0;3;2;600;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.1007/s00442-015-3517-x;Sandra Lindstrom;Sandra.Lindstrom@hushallningssallskapet.se
Sandra_Lindstrom_Brassica_napus_Sweden_2011;10;Brassica napus;Galileo;conventional;Sweden;55.740348;13.424400;NA;NA;NA;5;6;2011;9.77;4.855583;tonnes ha-8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;165;73;8;7;9;0;65;1;0;0;2;600;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.1007/s00442-015-3517-x;Sandra Lindstrom;Sandra.Lindstrom@hushallningssallskapet.se
Sandra_Lindstrom_Brassica_napus_Sweden_2011;11;Brassica napus;Excalibur;conventional;Sweden;56.101285;14.171707;NA;NA;NA;5;6;2011;18.87;3.399409;tonnes ha-9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;224;184;25;4;0;0;8;2;0;0;1;600;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.1007/s00442-015-3517-x;Sandra Lindstrom;Sandra.Lindstrom@hushallningssallskapet.se
Sandra_Lindstrom_Brassica_napus_Sweden_2011;12;Brassica napus;Excalibur;conventional;Sweden;56.161395;14.180455;NA;NA;NA;5;6;2011;10.87;4.147161;tonnes ha-10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;238;133;54;5;4;0;35;2;2;0;3;600;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.1007/s00442-015-3517-x;Sandra Lindstrom;Sandra.Lindstrom@hushallningssallskapet.se
