crop,state,site,year,transect,honey_bee,bumble_bee,other_bee,syrphid,wasp,wild_bees,all_bees,number_of_fruit_mean,number_of_flowers_mean,number_fruit_per_flower_mean
cherry_tart,pa,1,2015,0,27,5,26,5,0,31,58,118.9,347.7,0.3337746
cherry_tart,pa,1,2015,25,34,14,27,6,0,41,75,157.3,278.4,0.555322
cherry_tart,pa,1,2015,50,21,5,15,7,0,20,41,79.2,263.6,0.3489609
cherry_tart,pa,1,2015,100,13,2,0,0,0,2,15,159.1,346.4,0.4715279
cherry_tart,pa,2,2015,0,263,0,27,8,0,27,290,167.2,579,0.2898497
cherry_tart,pa,2,2015,25,268,1,8,0,0,9,277,229.1,536.7,0.5553541
cherry_tart,pa,2,2015,50,204,0,6,1,0,6,210,357.2,955.7,0.3970721
cherry_tart,pa,2,2015,100,232,0,6,4,0,6,238,214.2,636.2,0.346855
cherry_tart,pa,3,2015,0,54,9,117,19,0,126,180,132.2,565.7,0.2586502
cherry_tart,pa,3,2015,25,68,11,39,6,0,50,118,193.2222,369.3333,0.5779303
cherry_tart,pa,3,2015,50,141,4,30,8,0,34,175,359.3,629.5,0.6380732
cherry_tart,pa,3,2015,100,83,2,32,3,0,34,117,133.8,435.5,0.3628577
cherry_tart,pa,4,2015,0,53,3,63,11,0,66,119,174.9,592.5,0.2767469
cherry_tart,pa,4,2015,25,38,0,27,6,0,27,65,257.4,555.3,0.5177649
cherry_tart,pa,4,2015,50,83,0,20,3,0,20,103,268.8,461.1,0.6685248
cherry_tart,pa,4,2015,100,76,0,12,0,0,12,88,240.3,475.4,0.5886985
