study_id,sampling_method,type,sampling_richness,sampling_abundance,notes
Timothy_Weekers_Malus_domestica_France_2019,Blue pan trap,"pan trap, bee bowl, blue vane trap, pitfall",0,0,NA
Timothy_Weekers_Malus_domestica_France_2019,Net,sweep net,1,1,NA
Timothy_Weekers_Malus_domestica_France_2019,White pan trap,"pan trap, bee bowl, blue vane trap, pitfall",0,0,NA
Timothy_Weekers_Malus_domestica_France_2019,Yellow pan trap,"pan trap, bee bowl, blue vane trap, pitfall",0,0,NA
Timothy_Weekers_Malus_domestica_Morocco_2019,Blue pan trap,"pan trap, bee bowl, blue vane trap, pitfall",0,0,NA
Timothy_Weekers_Malus_domestica_Morocco_2019,Net,sweep net,1,1,NA
Timothy_Weekers_Malus_domestica_Morocco_2019,White pan trap,"pan trap, bee bowl, blue vane trap, pitfall",0,0,NA
Timothy_Weekers_Malus_domestica_Morocco_2019,Yellow pan trap,"pan trap, bee bowl, blue vane trap, pitfall",0,0,NA
Timothy_Weekers_Malus_domestica_Netherlands_2019,Blue pan trap,"pan trap, bee bowl, blue vane trap, pitfall",0,0,NA
Timothy_Weekers_Malus_domestica_Netherlands_2019,Net,sweep net,1,1,NA
Timothy_Weekers_Malus_domestica_Netherlands_2019,White pan trap,"pan trap, bee bowl, blue vane trap, pitfall",0,0,NA
Timothy_Weekers_Malus_domestica_Netherlands_2019,Yellow pan trap,"pan trap, bee bowl, blue vane trap, pitfall",0,0,NA
Timothy_Weekers_Malus_domestica_Spain_2019,Blue pan trap,"pan trap, bee bowl, blue vane trap, pitfall",0,0,NA
Timothy_Weekers_Malus_domestica_Spain_2019,Net,sweep net,1,1,NA
Timothy_Weekers_Malus_domestica_Spain_2019,White pan trap,"pan trap, bee bowl, blue vane trap, pitfall",0,0,NA
Timothy_Weekers_Malus_domestica_Spain_2019,Yellow pan trap,"pan trap, bee bowl, blue vane trap, pitfall",0,0,NA
Timothy_Weekers_Malus_domestica_UK_2019,Blue pan trap,"pan trap, bee bowl, blue vane trap, pitfall",0,0,NA
Timothy_Weekers_Malus_domestica_UK_2019,Net,sweep net,1,1,NA
Timothy_Weekers_Malus_domestica_UK_2019,White pan trap,"pan trap, bee bowl, blue vane trap, pitfall",0,0,NA
Timothy_Weekers_Malus_domestica_UK_2019,Yellow pan trap,"pan trap, bee bowl, blue vane trap, pitfall",0,0,NA
