study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Amparo_Lázaro_Prunus_dulcis_Spain_2016,CanBeia,Prunus dulcis,"Progressos, Lluquers, Pou",NA,Spain,39.6778333333333,2.56405555555555,NA,NA,NA,1,2,2016,0.74713,NA,NA,NA,NA,NA,NA,NA,NA,213.484004586537,NA,NA,NA,NA,NA,6,NA,NA,NA,1309,940,328,1,14,0,9,0,17,0,NA,20 almond individuals; 5-10  meters separation between individuals,145,visits per 100 flowers and hour,1.54745356801929,1.11123480056389,0.387750015515911,0.00118216468145095,0.0165503055403133,0,0.0106394821330585,0,0.0200967995846661,0,NA,10.1016/j.agee.2018.05.004; 10.1016/j.agee.2019.02.009,Amparo Lázaro; David Alomar; Miguel A. González-Estévez,amparo.lazaro@imedea.uib-csic.es
Amparo_Lázaro_Prunus_dulcis_Spain_2016,Cooperativa,Prunus dulcis,Over 60 varieties,NA,Spain,39.6903611111111,2.86172222222222,NA,NA,NA,2,2,2016,1.389571,NA,NA,NA,NA,NA,NA,NA,NA,337.335934255817,NA,NA,NA,NA,NA,5,NA,NA,NA,822,712,0,12,0,0,7,0,91,0,NA,20 almond individuals; 5-10  meters separation between individuals,235,visits per 100 flowers and hour,1.11931914893617,0.969531914893617,0,0.0163404255319149,0,0,0.00953191489361702,0,0.123914893617021,0,NA,10.1016/j.agee.2018.05.004; 10.1016/j.agee.2019.02.009,Amparo Lázaro; David Alomar; Miguel A. González-Estévez,amparo.lazaro@imedea.uib-csic.es
Amparo_Lázaro_Prunus_dulcis_Spain_2016,EsRafal,Prunus dulcis,NA,NA,Spain,39.64775,2.76172222222222,NA,NA,NA,2,2,2016,1.30553,NA,NA,NA,NA,NA,NA,NA,NA,120.500239678271,NA,NA,NA,NA,NA,3,NA,NA,NA,347,332,0,1,0,0,14,0,0,0,NA,20 almond individuals; 5-10  meters separation between individuals,255,visits per 100 flowers and hour,0.443830500236624,0.424644743742246,0,0.00127905043295857,0,0,0.01790670606142,0,0,0,NA,10.1016/j.agee.2018.05.004; 10.1016/j.agee.2019.02.009,Amparo Lázaro; David Alomar; Miguel A. González-Estévez,amparo.lazaro@imedea.uib-csic.es
Amparo_Lázaro_Prunus_dulcis_Spain_2016,FestivalPark,Prunus dulcis,NA,NA,Spain,39.6452222222222,2.74675,NA,NA,NA,2,2,2016,4.64483,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,4,NA,NA,NA,340,275,0,43,0,0,21,1,0,0,NA,20 almond individuals; 5-10  meters separation between individuals,180,visits per 100 flowers and hour,0.738712901403555,0.597488376135228,0,0.0934254551775084,0,0,0.0456263850866901,0.0021726850041281,0,0,NA,10.1016/j.agee.2018.05.004; 10.1016/j.agee.2019.02.009,Amparo Lázaro; David Alomar; Miguel A. González-Estévez,amparo.lazaro@imedea.uib-csic.es
Amparo_Lázaro_Prunus_dulcis_Spain_2016,SaCanova,Prunus dulcis,Over 60 varieties,NA,Spain,39.74625,3.01677777777777,NA,NA,NA,2,2,2016,1.097149,NA,NA,NA,NA,NA,NA,NA,NA,301.979556607982,NA,NA,NA,NA,NA,5,NA,NA,NA,796,751,0,18,11,0,4,0,8,4,NA,20 almond individuals; 5-10  meters separation between individuals,295,visits per 100 flowers and hour,0.909898865198369,0.858459858999968,0,0.0205756024793601,0.0125739792929423,0,0.00457235610652447,0,0.00914471221304893,0.00457235610652447,NA,10.1016/j.agee.2018.05.004; 10.1016/j.agee.2019.02.009,Amparo Lázaro; David Alomar; Miguel A. González-Estévez,amparo.lazaro@imedea.uib-csic.es
Amparo_Lázaro_Prunus_dulcis_Spain_2016,SaFillola,Prunus dulcis,"Pou, Pons, Canaleta",NA,Spain,39.7063055555555,3.08586111111111,NA,NA,NA,1,2,2016,1.17294,NA,NA,NA,NA,NA,NA,NA,NA,184.790481045629,NA,NA,NA,NA,NA,7,NA,NA,NA,799,643,0,127,2,0,14,0,10,3,NA,20 almond individuals; 5-10  meters separation between individuals,285,visits per 100 flowers and hour,0.44399125353901,0.357304600782958,0,0.0705718262821706,0.00111136734302631,0,0.00777957140118416,0,0.00555683671513154,0.00166705101453946,NA,10.1016/j.agee.2018.05.004; 10.1016/j.agee.2019.02.009,Amparo Lázaro; David Alomar; Miguel A. González-Estévez,amparo.lazaro@imedea.uib-csic.es
Amparo_Lázaro_Prunus_dulcis_Spain_2016,SaMarineta,Prunus dulcis,NA,NA,Spain,39.5815833333333,3.34894444444444,NA,NA,NA,2,2,2016,4.23366,NA,NA,NA,NA,NA,NA,NA,NA,20.8471518360182,NA,NA,NA,NA,NA,1,NA,NA,NA,170,164,0,0,3,0,3,0,0,0,NA,20 almond individuals; 5-10  meters separation between individuals,100,visits per 100 flowers and hour,3.7117903930131,3.58078602620087,0,0,0.0655021834061135,0,0.0655021834061135,0,0,0,NA,10.1016/j.agee.2018.05.004; 10.1016/j.agee.2019.02.009,Amparo Lázaro; David Alomar; Miguel A. González-Estévez,amparo.lazaro@imedea.uib-csic.es
Amparo_Lázaro_Prunus_dulcis_Spain_2016,SesCabanasses,Prunus dulcis,"Ferragnès, Masbovera, Glorieta, Pou",NA,Spain,39.6796666666666,3.22822222222222,NA,NA,NA,3,3,2016,30,NA,NA,NA,NA,NA,NA,NA,NA,210.304310712862,NA,NA,NA,NA,NA,7,NA,NA,NA,608,554,14,25,1,0,7,1,5,1,NA,20 almond individuals; 5-10  meters separation between individuals,300,visits per 100 flowers and hour,0.815560026827633,0.743125419181757,0.0187793427230047,0.0335345405767941,0.00134138162307176,0,0.00938967136150235,0.00134138162307176,0.00670690811535882,0.00134138162307176,NA,10.1016/j.agee.2018.05.004; 10.1016/j.agee.2019.02.009,Amparo Lázaro; David Alomar; Miguel A. González-Estévez,amparo.lazaro@imedea.uib-csic.es
Amparo_Lázaro_Prunus_dulcis_Spain_2016,Shospitalet,Prunus dulcis,"Pou, Canaleta",NA,Spain,39.4909444444444,3.25575,NA,NA,NA,1,2,2016,2.37756,NA,NA,NA,NA,NA,NA,NA,NA,100.865019158411,NA,NA,NA,NA,NA,5,NA,NA,NA,612,562,0,1,22,0,14,0,13,0,NA,20 almond individuals; 5-10  meters separation between individuals,240,visits per 100 flowers and hour,0.512082468706071,0.470245665707209,0,8.36736059977241e-4,0.0184081933194993,0,0.0117143048396814,0,0.0108775687797041,0,NA,10.1016/j.agee.2018.05.004; 10.1016/j.agee.2019.02.009,Amparo Lázaro; David Alomar; Miguel A. González-Estévez,amparo.lazaro@imedea.uib-csic.es
Amparo_Lázaro_Prunus_dulcis_Spain_2016,Sindioteria,Prunus dulcis,"Canaleta, Agrills, Mollars, Potes",NA,Spain,39.6169166666666,2.67766666666666,NA,NA,NA,2,2,2016,1.49166,NA,NA,NA,NA,NA,NA,NA,NA,328.245142640364,NA,NA,NA,NA,NA,6,NA,NA,NA,455,405,0,39,1,0,1,1,8,0,NA,20 almond individuals; 5-10  meters separation between individuals,195,visits per 100 flowers and hour,1.02346662767746,0.910997767493125,0,0.0877257109437824,0.00224937720368673,0,0.00224937720368673,0.00224937720368673,0.0179950176294938,0,NA,10.1016/j.agee.2018.05.004; 10.1016/j.agee.2019.02.009,Amparo Lázaro; David Alomar; Miguel A. González-Estévez,amparo.lazaro@imedea.uib-csic.es
